,Unnamed: 0.1,Unnamed: 0,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,target_events_order,target_new_events_order,new_paragraph,explanation
360,360,2272,1295How does a filtration system remove impurities from air?,1295,How does a desalination plant remove salt from water?,Engineering,Engineering,How does a filtration system remove impurities from air?,Mechanical Engineering,"(salt, dissolves in, water) like (impurities, dissolves in, air). (seawater, pumped through, membranes) like (polluted air, pumped through, filters). (saltwater, filtered out, other side of membranes) like (impure air, filtered out, other side of filters)","Salt dissolves in water and forms a solution known as seawater. In a desalination plant, seawater is pumped through a series of membranes that are designed to filter out the saltwater. The saltwater is then filtered out on the other side of the membranes, leaving fresh drinking water on the other side.","Impurities in the air dissolve in the air and become part of the air flow. The polluted air is then pumped through the filters in a filtration system. The filters act as a barrier and separate out the impure air on one side, while allowing clean air to pass through to the other side. The impure air is filtered out on the other side of the filters, leaving clean air on the other side.","[1]: Impurities in the air dissolve and become part of the air flow.
[2]: The polluted air is pumped through the filters in a filtration system.
[3]: The filters act as a barrier and separate out the impure air on one side, allowing clean air to pass through to the other side.
[4]: The impure air is filtered out on the other side of the filters, leaving clean air on the other side.","[1]: Impurities in the air dissolve and become part of the air flow.
[2]: The impure air is filtered out on the other side of the filters, leaving clean air on the other side.
[3]: The polluted air is pumped through the filters in a filtration system.
[4]: The filters act as a barrier and separate out the impure air on one side, allowing clean air to pass through to the other side."," Impurities in the air dissolve and become part of the air flow. The impure air is then filtered out on the other side of the filters, leaving clean air on the other side. After the air has been filtered, the polluted air is pumped through the filters in a filtration system. Finally, the filters act as a barrier and separate out the impure air on one side, allowing clean air to pass through to the other side.","By looking at INPUT_PARAGRAPH_ORDER, I noticed that ""[3]: The polluted air is pumped through the filters in a filtration system."" should happen before ""[4]: The impure air is filtered out on the other side of the filters, leaving clean air on the other side."" because it is only logical to first pass the air through the filtration system and then collect the impure air on the other side. Swapping these two events makes the order illogical because it is impossible to filter the air before it has been pumped through the filtration system."
361,361,2273,1077Describe the process of cell division.,1077,Describe the process of DNA replication.,Biomedical and Health Sciences,Biomedical and Health Sciences,Describe the process of cell division.,Biomedical and Health Sciences,"(DNA, replicates, itself) like (cell, divides, itself) . (DNA strands, unzip, themselves) like (chromosomes, separate, themselves) . (DNA strands, serve, as templates) like (chromosomes, serve, as templates)","DNA replication is the process by which DNA replicates itself. The double-stranded DNA molecule is unzipped at the origin of replication, and each of the unzipped strands serves as a template for the production of a new complementary strand. The original two strands of DNA are referred to as the parental strands, while the newly replicated strands are referred to as the daughter strands.","Cell division is a process whereby a cell divides itself into two or more cells. During this process, the chromosome material within the cell must separate itself into two equal parts. The chromosomes serve as templates for the division, ensuring that each daughter cell will have the same genetic material as the original cell.","[1]: The cell is preparing to divide itself.
[2]: The chromosome material within the cell separates itself into two equal parts.
[3]: The chromosomes serve as templates for the division.
[4]: Cell division occurs, producing two or more cells with identical genetic material.","[1]: The cell is preparing to divide itself.
[2]: Cell division occurs, producing two or more cells with identical genetic material.
[3]: The chromosome material within the cell separates itself into two equal parts.
[4]: The chromosomes serve as templates for the division."," The cell is preparing to divide itself. Then, cell division occurs, producing two or more cells with identical genetic material. After the division, the chromosome material within the cell separates itself into two equal parts. Finally, the chromosomes serve as templates for the division.","In the original INPUT_PARAGRAPH_ORDER, ""[2]: The chromosome material within the cell separates itself into two equal parts."" and ""[3]: The chromosomes serve as templates for the division."" must occur before ""[4]: Cell division occurs, producing two or more cells with identical genetic material."" These processes are essential for ensuring that each of the resulting cells has the same genetic information as the original cell. If cell division happened before the chromosomes separated or served as templates, the resulting cells wouldn't have evenly divided genetic material, thereby making the NEW_PARAGRAPH_ORDER illogical."
362,362,2274,652Describe the life cycle of a family,652,Describe the life cycle of a rabbit,Natural Sciences,Social Sciences,Describe the life cycle of a family,Sociology,"(doe, gives birth to, litter) like (parents, give birth to, children). (juvenile rabbit, matures, into adult) like (child, matures, into adult). (adult rabbit, reproduces, new litter) like (parent, reproduces, new family)","A doe gives birth to a litter of juvenile rabbits. As the juvenile rabbits mature, they become adults. Once the adult rabbits are mature, they are capable of reproducing and creating a new litter of rabbits. The life cycle of a rabbit starts with a doe giving birth and continues with an adult rabbit reproducing and beginning the cycle again.","The life cycle of a family begins with the parents giving birth to children. The child matures into an adult and then reproduces, creating a new family. The parents then start the cycle again, giving birth to more children who will mature into adults and reproduce, creating a new family.","[1]: Parents give birth to children.
[2]: The child matures into an adult.
[3]: The now adult child reproduces, creating a new family.
[4]: Parents give birth to more children.
[5]: These children also mature into adults and reproduce, creating new families.","[1]: Parents give birth to children.
[2]: The now adult child reproduces, creating a new family.
[3]: The child matures into an adult.
[4]: Parents give birth to more children.
[5]: These children also mature into adults and reproduce, creating new families."," Parents give birth to children. Then, the now adult child reproduces, creating a new family. After creating a new family, the child matures into an adult. Following this, parents give birth to more children. Finally, these children also mature into adults and reproduce, creating new families.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The child matures into an adult."" must happen before ""[3]: The now adult child reproduces, creating a new family."" because the natural progression is that a child grows and turns into an adult before they are mature enough to reproduce. After an adult child has reproduced and already created a new family, they cannot regress back to the point where they ""mature into an adult"". Hence, this is illogical as it is reversing the direction of time."
363,363,2276,318What happens during erosion?,318,What happens during weathering?,Natural Sciences,Natural Sciences,What happens during erosion?,Earth Science,"(water, breaks down, rocks) like (wind, breaks down, rocks). (rain, wears away, soil) like (flowing water, wears away, soil). (sunlight, causes, chemical reactions) like (sunlight, causes, chemical reactions)",Weathering is the process of breaking down rocks and other materials over time. Water is one of the main agents responsible for weathering as it seeps into the crevices of rocks and breaks them down. Rain also wears away the soil over time. Sunlight also contributes to the weathering process as it causes various chemical reactions that further break down rocks and other materials.,"Erosion is the process by which natural forces like wind, water, and sunlight shape the earth's surface. Wind breaks down rocks, while flowing water wears away soil. Sunlight also causes chemical reactions that can further erode the land. All of these forces combine to form the process of erosion.","[1]: Natural forces including wind, water, and sunlight begin to shape the earth's surface.
[2]: Wind breaks down rocks.
[3]: Flowing water wears away soil.
[4]: Sunlight causes chemical reactions that further erode the land.
[5]: All of these forces combine to form the process of erosion.","[1]: Natural forces including wind, water, and sunlight begin to shape the earth's surface.
[2]: All of these forces combine to form the process of erosion.
[3]: Wind breaks down rocks.
[4]: Flowing water wears away soil.
[5]: Sunlight causes chemical reactions that further erode the land."," Natural forces including wind, water, and sunlight begin to shape the earth's surface. All of these forces combine to form the process of erosion. After the process of erosion has formed, wind breaks down rocks. Then, flowing water wears away soil. Finally, sunlight causes chemical reactions that further erode the land.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Wind breaks down rocks."", ""[3]: Flowing water wears away soil."", and ""[4]: Sunlight causes chemical reactions that further erode the land."" must happen before ""[5]: All of these forces combine to form the process of erosion."" because the erosion process is a consequence of those individual natural forces working on the earth surface. Hence, having the process of erosion occurring before the individual actions in the NEW_PARAGRAPH_ORDER is illogical because the erosion process could not have formed without the prior actions of wind, water and sunlight."
364,364,2287,526Describe the development of a human from a single cell,526,Describe the life cycle of a human,Biomedical and Health Sciences,Biomedical and Health Sciences,Describe the development of a human from a single cell,Biomedical and Health Sciences,"(Fertilization, initiates, zygote) like (Cell division, initiates, embryo). (Embryo, matures, fetus) like (Fetus, matures, newborn). (Newborn, transitions, toddler) like (Toddler, transitions, child). (Child, matures, adolescent) like (Adolescent, matures, adult). (Adult, ages, elderly) like (Elderly, ages, senescent)","The life cycle of a human begins with fertilization, which initiates the zygote. The zygote develops into an embryo and matures into a fetus. Once the fetus is born, it transitions into a newborn and then a toddler. As the child matures, they become an adolescent. As they reach adulthood, they will continue to age until they become an elderly individual.","The development of a human from a single cell begins with cell division, which initiates the formation of the embryo. As the fetus matures, it transitions into a newborn. As the newborn grows, it transitions into a toddler and eventually a child. As the child matures, it transitions into an adolescent and then an adult. As the adult ages, it transitions into the elderly and eventually reaches a senescent state.","[1]: The development of a human from a single cell starts with cell division, creating an embryo.
[2]: The embryo matures into a fetus and eventually becomes a newborn.
[3]: The newborn grows and gradually transitions into a toddler and then a child.
[4]: The child matures and becomes an adolescent.
[5]: The adolescent transitions into an adult.
[6]: The adult ages, becomes elderly, and finally reaches senescence.","[1]: The development of a human from a single cell starts with cell division, creating an embryo.
[2]: The embryo matures into a fetus and eventually becomes a newborn.
[3]: The child matures and becomes an adolescent.
[4]: The newborn grows and gradually transitions into a toddler and then a child.
[5]: The adolescent transitions into an adult.
[6]: The adult ages, becomes elderly, and finally reaches senescence."," The development of a human from a single cell starts with cell division, creating an embryo. The embryo matures into a fetus and eventually becomes a newborn. The child then matures and becomes an adolescent. After becoming an adolescent, the newborn grows and gradually transitions into a toddler and then a child. The adolescent transitions into an adult. The adult ages, becomes elderly, and finally reaches senescence.","By examining the INPUT_PARAGRAPH_ORDER, it's clear that ""[3]: The newborn grows and gradually transitions into a toddler and then a child."" must happen before ""[4]: The child matures and becomes an adolescent."" because you can't have a child become an adolescent before being a toddler and a child. It's illogical since in the human growth stages, after being a newborn, the human needs to be a toddler and a child first before becoming an adolescent."
365,365,2288,1204How does a cell produce hormones?,1204,How are proteins synthesized in a cell?,Biomedical and Health Sciences,Social Sciences,How does a cell produce hormones?,Biomedical and Health Sciences,"(amino acids, combine to form, proteins) like (steroids, combine to form, hormones). (ribosomes, assemble, proteins) like (glands, assemble, hormones). (enzymes, catalyze, protein synthesis) like (enzymes, catalyze, hormone synthesis)","Proteins are synthesized in a cell when amino acids combine to form chains of amino acid molecules. These chains are then assembled by ribosomes, which are molecular machines that can read the information encoded in the DNA molecule. Additionally, enzymes act as catalysts to speed up the process of protein synthesis.","The production of hormones in a cell begins with the synthesis of steroid molecules. These steroids combine to form the hormones, which are then assembled in the glands. Enzymes in the cell then catalyze the synthesis of the hormones, which are then released into the bloodstream.","[1]: Synthesis of steroid molecules occurs in a cell.
[2]: The steroid molecules combine to form hormones.
[3]: The hormones are assembled in the glands.
[4]: Enzymes in the cell catalyze the synthesis of hormones.
[5]: The hormones are released into the bloodstream.","[1]: Synthesis of steroid molecules occurs in a cell.
[2]: The hormones are assembled in the glands.
[3]: The steroid molecules combine to form hormones.
[4]: Enzymes in the cell catalyze the synthesis of hormones.
[5]: The hormones are released into the bloodstream."," The production of hormones in a cell begins with the synthesis of steroid molecules. These hormones are then assembled in the glands before the steroid molecules combine to form hormones. Enzymes in the cell then catalyze the synthesis of the hormones, which are then released into the bloodstream.","According to INPUT_PARAGRAPH_ORDER, ""[2]: The steroid molecules combine to form hormones."" has to occur before ""[3]: The hormones are assembled in the glands."" because there need to be hormones that can be assembled in the glands. If the hormones are assembled in the glands before the steroid molecules combine to form hormones, it is illogical as there aren't hormones yet to be assembled. Hence, the NEW_PARAGRAPH_ORDER is illogical."
366,366,2292,665Describe the process of purifying water,665,Describe the process of desalination,Engineering,Biomedical and Health Sciences,Describe the process of purifying water,Biomedical and Health Sciences,"(seawater, removes, salt) like (contaminated water, removes, impurities). (reverse osmosis, filters, salt) like (filtration, filters, pollutants). (evaporation, concentrates, salt) like (distillation, concentrates, contaminants)","Desalination is the process of removing salt from seawater. Reverse osmosis is a process that filters the salt out of the water. This filtered salt-free water is then passed through an evaporation process, which concentrates the salt in a different container. The salt-free water is then available for use.","The process of purifying water involves removing impurities and pollutants from contaminated water. Filtration is a common method of purification -- it involves filtering out pollutants like dirt, debris, and chemicals. Distillation is another method of purification which concentrates contaminants and separates them from the water. By using a combination of these two processes, it is possible to purify contaminated water and make it safe for consumption.","[1]: Impurities and pollutants are removed from contaminated water.
[2]: The water is filtered to remove pollutants like dirt, debris, and chemicals.
[3]: The water is distilled to concentrate contaminants and separate them from the water.
[4]: The combination of filtration and distillation makes the water safe for consumption.","[1]: Impurities and pollutants are removed from contaminated water.
[2]: The combination of filtration and distillation makes the water safe for consumption.
[3]: The water is filtered to remove pollutants like dirt, debris, and chemicals.
[4]: The water is distilled to concentrate contaminants and separate them from the water."," The process of purifying water begins by removing impurities and pollutants from contaminated water. After this initial step, the combination of filtration and distillation makes the water safe for consumption. However, the water is then filtered to remove pollutants like dirt, debris, and chemicals. Finally, the water is distilled to concentrate contaminants and separate them from the water.","In the INPUT_PARAGRAPH_ORDER, ""[2]: The water is filtered to remove pollutants like dirt, debris, and chemicals."" must happen before ""[4]: The combination of filtration and distillation makes the water safe for consumption."", as the filtration process is part of the purification process before the water is declared safe for consumption. Similarly, ""[3]: The water is distilled to concentrate contaminants and separate them from the water."" must also happen before ""[4]: The combination of filtration and distillation makes the water safe for consumption."" Both filtration and distillation are procedures involved in purification, and should be completed before the water is deemed safe to consume. Therefore, it is illogical in the NEW_PARAGRAPH_ORDER where these procedures are performed after the water is already declared as purified and safe to consume."
367,367,2294,1265How does a bee construct a hive?,1265,How does a bird build a nest?,Natural Sciences,Social Sciences,How does a bee construct a hive?,Social Sciences,"(bird, collects, twigs) like (bee, collects, wax). (bird, lines, nest) like (bee, lines, hive). (bird, weaves, nest) like (bee, weaves, hive)","A bird builds a nest by collecting twigs from its surroundings. It then uses these twigs to line the nest and weave it together. Through this process, the bird is able to create a sturdy place to lay its eggs and rest. The twigs provide stability and insulation for the nest, allowing the bird to keep its eggs safe and warm.","A bee collects wax from flowers and transports them back to the hive. The bee then lines the hive with the wax, forming a structure. The bee then weaves the wax together to create the walls and hexagonal cells of the hive.","[1]: A bee collects wax from flowers.
[2]: The bee transports the wax back to the hive.
[3]: The bee lines the hive with the wax, forming a structure.
[4]: The bee weaves the wax together to create the walls and hexagonal cells of the hive.","[1]: A bee lines the hive with the wax, forming a structure.
[2]: The bee collects wax from flowers.
[3]: The bee transports the wax back to the hive.
[4]: The bee weaves the wax together to create the walls and hexagonal cells of the hive."," A bee starts by lining the hive with wax, forming a structure. After forming the structure, the bee then goes out to collect wax from flowers. The bee then transports the collected wax back to the hive. Finally, the bee weaves the wax together to create the walls and hexagonal cells of the hive.","By observing the INPUT_PARAGRAPH_ORDER, it is clear that ""[1]: A bee collects wax from flowers."" must happen before ""[3]: The bee lines the hive with the wax, forming a structure."" This is because the bee needs to have the wax before it can use it to line the hive. Thus, if it lines the hive before collecting the wax, as shown in the NEW_PARAGRAPH_ORDER, it fails to align with logical causality, making it an illogical sequence of events."
368,368,2296,1184How does a fuel cell generate power?,1184,How does does a battery produce electricity?,Engineering,Biomedical and Health Sciences,How does a fuel cell generate power?,Biomedical and Health Sciences,"(battery, stores, chemical energy) like (fuel cell, stores, chemical energy). (electrons, move through, electrodes) like (ions, move through, electrodes). (electrolyte, facilitates, electron transfer) like (electrolyte solution, facilitates, ion transfer)","A battery is a device that stores chemical energy. When a circuit is completed, electrical energy is produced as electrons move through the electrodes. The electrolyte, which is a liquid or paste, facilitates the transfer of electrons from one electrode to the other. This process of electron transfer produces electricity that can be used to power a device.","A fuel cell stores chemical energy from a fuel source, such as hydrogen or methane. When a current is applied, the fuel cell undergoes an electrochemical reaction and the chemical energy is converted into electrical energy. The ions move through the electrodes, and the electrolyte solution facilitates this ion transfer. The electrons are pulled through an external circuit, producing a current that can be used to power an electrical device.","[1]: A fuel cell stores chemical energy from a fuel source, such as hydrogen or methane.
[2]: Current is applied, and the fuel cell undergoes an electrochemical reaction and the chemical energy is converted into electrical energy.
[3]: The ions move through the electrodes, and the electrolyte solution facilitates this ion transfer.
[4]: The electrons are pulled through an external circuit, producing a current that can be used to power an electrical device.","[1]: A fuel cell stores chemical energy from a fuel source, such as hydrogen or methane.
[2]: The electrons are pulled through an external circuit, producing a current that can be used to power an electrical device.
[3]: Current is applied, and the fuel cell undergoes an electrochemical reaction and the chemical energy is converted into electrical energy.
[4]: The ions move through the electrodes, and the electrolyte solution facilitates this ion transfer."," A fuel cell stores chemical energy from a fuel source, such as hydrogen or methane. Then, the electrons are pulled through an external circuit, producing a current that can be used to power an electrical device. After that, a current is applied, and the fuel cell undergoes an electrochemical reaction and the chemical energy is converted into electrical energy. Finally, the ions move through the electrodes, and the electrolyte solution facilitates this ion transfer.","In INPUT_PARAGRAPH_ORDER, ""[2]: Current is applied, and the fuel cell undergoes an electrochemical reaction and the chemical energy converted into electrical energy"" should happen before ""[4]: The electrons are pulled through an external circuit, producing a current that can be used to power an electrical device."" This is because the electrochemical reaction has to occur first for the ions to move and the electrons to be pulled through a circuit to produce an electric current. So when this sequence is reversed in NEW_PARAGRAPH_ORDER, it becomes illogical as you cannot have current produced without first having the electrochemical reactions."
369,369,2308,772How does the human heart work?,772,How do lungs work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the human heart work?,Cardiology,"(lungs, take in, oxygen) like (heart, take in, oxygen). (lungs, release, carbon dioxide) like (heart, release, carbon dioxide). (alveoli, exchange, gases) like (ventricles, exchange, blood)","The lungs take in oxygen and release carbon dioxide. The oxygen is then transferred to the alveoli, small air sacs in the lungs, where it is exchanged for carbon dioxide. The alveoli then release the carbon dioxide, which is expelled when we exhale. The oxygen is then circulated through the body to provide energy to the cells.","The human heart is a complex organ that takes in oxygen and releases carbon dioxide. The heart is composed of four chambers: two atria, which take in the oxygen-rich blood, and two ventricles, which exchange the oxygen-rich blood with the carbon dioxide-rich blood. The oxygen-rich blood is then sent out to the body, while the carbon dioxide-rich blood is sent back to the heart to be released.  The ventricles play an important role in this process by controlling the flow of blood and exchanging the blood between the two chambers.","[1]: The heart takes in oxygen and releases carbon dioxide.
[2]: The heart is composed of four chambers: two atria, which take in the oxygen-rich blood and two ventricles, which exchange the oxygen-rich blood with the carbon dioxide-rich blood.
[3]: The oxygen-rich blood is sent out to the body.
[4]: The carbon dioxide-rich blood is sent back to the heart to be released.
[5]: The ventricles play an important role in this process by controlling the flow of blood and exchanging the blood between the two chambers.","[1]: The heart takes in oxygen and releases carbon dioxide.
[2]: The oxygen-rich blood is sent out to the body.
[3]: The heart is composed of four chambers: two atria, which take in the oxygen-rich blood and two ventricles, which exchange the oxygen-rich blood with the carbon dioxide-rich blood.
[4]: The carbon dioxide-rich blood is sent back to the heart to be released.
[5]: The ventricles play an important role in this process by controlling the flow of blood and exchanging the blood between the two chambers."," The human heart takes in oxygen and releases carbon dioxide. Immediately, the oxygen-rich blood is sent out to the body. It is important to note that the heart is composed of four chambers: two atria, which take in the oxygen-rich blood and two ventricles, which exchange the oxygen-rich blood with the carbon dioxide-rich blood. The carbon dioxide-rich blood is then sent back to the heart to be released. The ventricles play an important role in this process by controlling the flow of blood and exchanging the blood between the two chambers.","Based on INPUT_PARAGRAPH_ORDER, point ""[2]: The heart is composed of four chambers: two atria, which take in the oxygen-rich blood, and two ventricles, which exchange the oxygen-rich blood with the carbon dioxide-rich blood."" must happen before ""[3]: The oxygen-rich blood is sent out to the body."" because the explanation and understanding of the heart's structure needs to precede the explanation of blood flow. In the NEW_PARAGRAPH_ORDER, these two points are swapped, which makes it illogical as the process of oxygen-rich blood being sent around the body is described before explaining how the heart is structured and how it enables this process."
370,370,2315,441How does an air conditioning system keep a room cool?,441,Describe how perspiration helps to keep someone cool.,Biomedical and Health Sciences,Engineering,How does an air conditioning system keep a room cool?,Electrical Engineering,"(sweat, evaporates, surface of skin) like (refrigerant, evaporates, coils). (evaporation, absorbs, heat) like (condensation, absorbs, heat). (body, cools, down) like (room, cools, down)","When someone perspires, sweat is released from their body onto the surface of their skin. The evaporation of this sweat absorbs the heat from their skin, helping to keep the body cool. As the sweat evaporates, it takes the heat away from the body, which causes the body to cool down.","An air conditioning system works by using a refrigerant that evaporates in the coils. The evaporating refrigerant absorbs the heat from the air and then condenses. The condensation releases the heat to the outside air, which causes the room to cool down.","[1]: The air conditioning system uses a refrigerant that evaporates in the coils.
[2]: The evaporating refrigerant absorbs the heat from the air.
[3]: The refrigerant then condenses.
[4]: The condensation releases the heat to the outside air.
[5]: The room cools down as a result of the heat release.","[1]: The air conditioning system uses a refrigerant that evaporates in the coils.
[2]: The evaporating refrigerant absorbs the heat from the air.
[3]: The room cools down as a result of the heat release.
[4]: The refrigerant then condenses.
[5]: The condensation releases the heat to the outside air."," The air conditioning system works by using a refrigerant that evaporates in the coils. The evaporating refrigerant absorbs the heat from the air. As a result of the heat absorption, the room cools down. Following the cooling of the room, the refrigerant then condenses. Finally, the condensation releases the heat to the outside air.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[4]: The condensation releases the heat to the outside air."" must happen before ""[5]: The room cools down as a result of the heat release."". This is because the release of heat to the outside air causes the room to cool down. The cooling of the room cannot occur until after this release of heat happens. Therefore, swapping these events creates an illogical sequence in the process of how an air conditioning system works."
371,371,2316,232How does radar work?,232,How does echolocation work?,Natural Sciences,Engineering,How does radar work?,Electrical Engineering,"(sonar, emits, sound waves) like (radar, emits, radio waves). (echo, reflects off, object) like (radio wave, reflects off, object). (echoes, detected by, bat) like (radio waves, detected by, radar)","Echolocation is a technique used by some animals like bats to find their way in the dark. The bat uses sonar to emit sound waves. These sound waves then travel outward until they hit an object and reflect back as an echo. The echoes are then detected by the bat, allowing it to determine the location, size, and shape of the object.","Radar works by emitting radio waves. These radio waves are sent out into the environment and then reflect off of any object in the area. The reflected radio waves are then detected by the radar, giving it information about the object. The radio waves can also measure the distance, size, speed, and direction of the object, allowing the radar to provide detailed information about its surroundings.","[1]: Radar emits radio waves.
[2]: The radio waves are sent out into the environment.
[3]: Radio waves reflect off of any object in the area.
[4]: The reflected radio waves are detected by the radar.
[5]: Information is gathered about the object including distance, size, speed and direction.","[1]: Radar emits radio waves.
[2]: The reflected radio waves are detected by the radar.
[3]: The radio waves are sent out into the environment.
[4]: Radio waves reflect off of any object in the area.
[5]: Information is gathered about the object including distance, size, speed and direction."," Radar emits radio waves. Then, the reflected radio waves are detected by the radar. After detection, the radio waves are sent out into the environment. Subsequently, the radio waves reflect off of any object in the area. Finally, information is gathered about the object including distance, size, speed and direction.","In the INPUT_PARAGRAPH_ORDER, ""[2]: The radio waves are sent out into the environment."" needs to occur before ""[4]: The reflected radio waves are detected by the radar."" The reason for this is that in order for the radar to detect the reflected waves, these waves first have to be transmitted and reflect off an object. In the NEW_PARAGRAPH_ORDER, the detection of reflection happens before the waves are transmitted, making it illogical."
372,372,2317,721How does condensation occur in the atmosphere?,721,How are clouds formed?,Natural Sciences,Natural Sciences,How does condensation occur in the atmosphere?,Atmospheric Science,"(water vapor, rises, higher altitudes) like (air, rises, higher altitudes) . (temperature, drops, saturated level) like (humidity, drops, saturated level) . (water droplets, form, clouds) like (water molecules, condense, clouds)","Clouds are formed when water vapor rises up to the higher altitudes in the atmosphere. As the water vapor rises, the temperature drops, causing it to reach its saturated level. At this point, the water droplets condense and form clouds.","When air rises to higher altitudes, the pressure drops and the humidity drops below the saturated level. This creates a decrease in temperature and causes water molecules to condense together. The condensed water molecules form clouds in the atmosphere.","[1]: Air rises to higher altitudes.
[2]: The pressure drops and the humidity drops below the saturated level, creating a decrease in temperature.
[3]: Water molecules condense together.
[4]: The condensed water molecules form clouds in the atmosphere.","[1]: Air rises to higher altitudes.
[2]: The condensed water molecules form clouds in the atmosphere.
[3]: The pressure drops and the humidity drops below the saturated level, creating a decrease in temperature.
[4]: Water molecules condense together."," When air rises to higher altitudes, the condensed water molecules form clouds in the atmosphere. Following this, the pressure drops and the humidity drops below the saturated level, creating a decrease in temperature. Finally, water molecules condense together.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The pressure drops and the humidity drops below the saturated level, creating a decrease in temperature."" must happen before ""[3]: Water molecules condense together."" because the decrease in temperature is what causes the water molecules to condense. Contrarily, when cloud form first and water molecules condense later, it's illogical. Water molecules should condense first to form cloud, not the other way around."
373,373,2321,1250Describe how data is transmitted from one computer to another over the internet,1250,Describe how a message travels from one person to another over via telephone,Engineering,Engineering,Describe how data is transmitted from one computer to another over the internet,Computer Engineering,"(sound waves, travel along, telephone line) like (data packets, travel along, internet connection). (microphone, converts, sound) like (transmitter, converts, digital signal). (receiver, amplifies, sound) like (receiver, amplifies, digital signal)","When a person speaks into the telephone, sound waves travel along the telephone line. The microphone converts the sound into electrical signals. The electrical signals are then amplified by the receiver before being sent through the telephone line to the other person. The receiver at the other end then amplifies the signals and converts them back into sound waves that can be heard.","Data is transmitted from one computer to another over the internet by sending data packets along an internet connection. The transmitter converts the data into a digital signal, which is then sent over the internet. The receiver amplifies the digital signal before it is received by the computer. This allows for data to be transmitted from one computer to another without any loss of information.","[1]: Data is transmitted from one computer to another over the internet by sending data packets along an internet connection.
[2]: The transmitter converts the data into a digital signal, which is then sent over the internet.
[3]: The receiver amplifies the digital signal before it is received by the computer.","[1]: The receiver amplifies the digital signal before it is received by the computer.
[2]: The transmitter converts the data into a digital signal, which is then sent over the internet.
[3]: Data is transmitted from one computer to another over the internet by sending data packets along an internet connection."," The receiver amplifies the digital signal before it is received by the computer. After amplification, the transmitter converts the data into a digital signal, which is then sent over the internet. Finally, data is transmitted from one computer to another over the internet by sending data packets along an internet connection.","Looking at the INPUT_PARAGRAPH_ORDER, it's clear that ""[1]: Data is transmitted from one computer to another over the internet by sending data packets along an internet connection."" must occur first, followed by ""[2]: The transmitter converts the data into a digital signal, which is then sent over the internet."" Given this, ""[3]: The receiver amplifies the digital signal before it is received by the computer"" should logically occur last. The receiver can't amplify a digital signal before it is even transmitted and sent over the internet. Therefore, the NEW_PARAGRAPH_ORDER is illogical."
374,374,2330,1005How does a device for cooling water works?,1005,How do you make ice cubes?,Engineering,Engineering,How does a device for cooling water works?,Mechanical Engineering,"(freezer, cools, water) like (cooling device, cools, water). (ice trays, freeze, water) like (cooling coils, freeze, water). (temperature, decreases, water) like (temperature, decreases, water)","Making ice cubes is a fairly easy process. You will need an ice tray and a freezer. The freezer cools the water, which causes the temperature of the water to decrease. The ice trays then help to freeze the water into cubes. Once the water is frozen, the ice cubes can be removed from the tray and used as desired.","A cooling device is used to cool water. The device consists of several cooling coils that are used to freeze the water. The water is passed through the coils, and as a result, the temperature of the water decreases. The cooled water is then circulated through the cooling device, which helps to keep the water at a lower temperature.","[1]: A cooling device is used.
[2]: Water is passed through the cooling coils of the device.
[3]: The water cools as it passes through the cold coils.
[4]: The cooled water is then circulated through the cooling device, maintaining its lower temperature.","[1]: The cooled water is then circulated through the cooling device, maintaining its lower temperature.
[2]: Water is passed through the cooling coils of the device.
[3]: The water cools as it passes through the cold coils.
[4]: A cooling device is used."," The cooled water is then circulated through the cooling device, maintaining its lower temperature. After that, water is passed through the cooling coils of the device. As a result, the water cools as it passes through the cold coils. Finally, a cooling device is used.","By comparing the INPUT_PARAGRAPH_ORDER, I switched the events ""[1]: A cooling device is used"" and ""[4]: The cooled water is then circulated through the cooling device, maintaining its lower temperature"". This sequence is illogical because for the water to cool down and be circulated through the cooling device (now at the first place), we would first need the cooling device to be used. As it stands, the cooling device is mentioned for the first time after the complete cooling process is done, making it illogical."
