,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,distractor_target_paragraph
168,900How does the human visual system work?,900,How does the human auditory system work?,Biomedical and Health Sciences,Social Sciences,How does the human visual system work?,Psychology,"(ears, capture, sound waves) like (eyes, capture, light waves). (cochlea, transforms, sound waves) like (retina, transforms, light waves). (auditory nerve, sends, information) like (optic nerve, sends, information)",The human auditory system is responsible for interpreting sound. The ears capture sound waves and pass them to the cochlea. The cochlea is a spiral-shaped organ that transforms the sound waves into electrical signals. These signals are then sent to the auditory nerve which carries the information to the brain. The brain interprets the signals and processes them as sound.,"The human visual system starts with the eyes, which capture light waves and send them to the retina. The retina then transforms the light waves into electrical signals, which are sent to the brain through the optic nerve. The optic nerve sends the information to the brain to be processed, allowing us to experience vision."," Initially, the retina transforms the light waves into electrical signals. Then, the eyes capture light waves and send them to the retina. Following this, the optic nerve sends these signals to the brain. Finally, the brain processes the signals, allowing us to experience vision."
169,641Describe the life cycle of a human,641,Describe the life cycle of a frog,Natural Sciences,Social Sciences,Describe the life cycle of a human,Social Sciences,"(egg, develops, tadpole) like (fetus, develops, infant). (tadpole, matures, frog) like (infant, matures, adult). (adult frog, reproduces, eggs) like (adult human, reproduces, fetus)","The life cycle of a frog begins with the laying of eggs. Once the eggs are laid, they develop into a tadpole. The tadpole matures and eventually turns into an adult frog. Once the frog has reached adulthood, it will reproduce and lay eggs to begin the cycle anew. The adult frogs lay eggs which then develop into tadpoles and eventually mature into frogs.","The life cycle of a human begins with a fetus, which then develops into an infant. As the infant matures, they become a child, then a teenager and eventually an adult human. At this point, an adult human is capable of reproducing, and thus a new fetus is created, completing the life cycle."," The life cycle of a human begins with a fetus. As the fetus matures, it becomes a child. The child then grows into a teenager. Surprisingly, the fetus then develops into an infant. The teenager evolves into an adult human. The adult human is capable of reproducing. A new fetus is created, completing the life cycle."
170,315How does erosion cause soil to become thinner?,315,How does weathering cause rocks to break apart?,Natural Sciences,Natural Sciences,How does erosion cause soil to become thinner?,Geology,"(rain, erodes, rocks) like (rain, erodes, soil). (wind, wears down, rocks) like (wind, wears down, soil). (sun, weakens, rocks) like (sun, weakens, soil)","Weathering is a natural process that causes rocks to break apart. Rain erodes rocks, washing away minerals and causing it to break down. Wind also wears down rocks as it blows dust and sand particles against it. Sunlight can also weaken rocks by heating them up and causing cracks to form. All of these factors combined can cause rocks to break apart over time.","Erosion is responsible for the thinning of soil. Rain, wind, and sun all contribute to the erosion process. Rain erodes the soil by carrying away particles, while wind wears down the soil through abrasion. Sunlight weakens the soil by allowing water to evaporate, leaving behind only the smallest particles. As a result, the soil becomes thinner and less fertile."," The erosion process starts and is responsible for the thinning of soil. As a result, the soil becomes thinner and less fertile. Then, rain, wind, and sun all contribute to the erosion process. Rain erodes the soil by carrying away particles. Wind wears down the soil through abrasion. Finally, sunlight weakens the soil by allowing water to evaporate, leaving behind only the smallest particles."
171,667Describe the process of dialysis,667,Describe the process of desalination,Engineering,Biomedical and Health Sciences,Describe the process of dialysis,Biomedical and Health Sciences,"(Salt water, is separated from, fresh water) like (Toxins, are separated from, blood). (Evaporation, removes, salt) like (Membrane, removes, waste). (Pure water, is collected, at the end) like (Clean blood, is collected, at the end)","Desalination is the process of separating salt water from fresh water. It is achieved by evaporating the salt water, which removes the salt from the water. The evaporated water then condenses and the condensed water is collected. At the end of the desalination process, pure water is collected.","Dialysis is a process in which harmful toxins are separated from the bloodstream. The toxins are removed from the blood by a semipermeable membrane. The membrane allows certain particles to pass through, while trapping the waste and toxins. The clean blood is then collected at the end of the process."," The process of dialysis begins, aimed at separating harmful toxins from the bloodstream. The clean blood is collected at the end of the process. After the blood is collected, a semipermeable membrane is used to remove these toxins from the blood. The membrane allows certain particles to pass through, trapping the waste and toxins."
172,852How does a shipment of goods get from the factory to its destination?,852,How does coal get from the ground to a power station?,Engineering,Social Sciences,How does a shipment of goods get from the factory to its destination?,Logistics,"(coal, extract, from the ground) like (goods, transport, from the factory). (truck, transport, coal) like (truck, transport, goods). (power station, receives, coal) like (destination, receives, shipment)","Coal is extracted from the ground through mining. It is then transported to a power station via truck. The power station receives the coal, which is then burned in order to generate electrical energy.","The goods are transported from the factory to the destination. This is usually done using a truck, which can carry the shipment from the origin to its destination. Once the goods have been loaded onto the truck, it is driven to the destination where it delivers the shipment. Once the shipment arrives, the destination receives the goods."," The goods are first loaded onto the truck. Then, the goods are transported from the factory. After leaving the factory, the truck carries the shipment to its destination. Finally, the destination receives the goods."
173,743How do bumblebees transfer pollen between flowers?,743,How do bees pollinate plants?,Natural Sciences,Natural Sciences,How do bumblebees transfer pollen between flowers?,Natural Sciences,"(bees, collect, nectar) like (bumblebees, collect, pollen). (bees, transfer, pollen) like (bumblebees, transfer, pollen). (bees, pollinate, plants) like (bumblebees, pollinate, flowers)","Bees are some of the most important pollinators in the world. They collect nectar from flowers, and as they move from flower to flower, they transfer pollen from one plant to another. This process, known as pollination, is essential for the reproduction of many plants. Without bees, many plants would not be able to reproduce, leading to a decrease in biodiversity.","Bumblebees collect pollen from the flower's anthers and transfer it to the stigma of another flower in order to pollinate it. This transfer of pollen is essential for the process of fertilization, as it ensures that the flower produces a seed. The bumblebee, with its fuzzy body and long tongue, is able to effectively transfer the pollen from one flower to another, thus ensuring that the flowers are pollinated."," Bumblebees collect pollen from the flower's anthers. This ensures that the flower produces a seed. After the seed is produced, the pollen is transferred to the stigma of another flower in order to pollinate it. This transfer of pollen is essential for the process of fertilization."
174,1099How does a vaccine induce an immune response?,1099,How do vaccinations work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does a vaccine induce an immune response?,Biomedical and Health Sciences,"(virus, triggers, antibodies) like (vaccine, triggers, antibodies). (virus, stimulates, T cells) like (vaccine, stimulates, T cells). (virus, activates, B cells) like (vaccine, activates, B cells)","Vaccinations work by introducing a weakened virus into the body. This triggers the body's immune system to produce antibodies and stimulates the production of T cells. The virus also activates B cells, which help to fight the virus and create more antibodies. The antibodies created by the body help to protect against future infection by the same virus.","A vaccine triggers an immune response by stimulating the production of antibodies and activating both T cells and B cells. Antibodies created by the body help fight the infection and destroy any foreign particles, while T cells help identify and destroy infected cells and B cells produce more antibodies. By stimulating these components of the immune system, the vaccine helps the body defend itself against infections and diseases."," The vaccine helps the body defend itself against infections and diseases. Following this, the vaccine stimulates the production of antibodies and activates both T cells and B cells. Then, T cells help identify and destroy infected cells and B cells produce more antibodies. Finally, antibodies fight the infection and destroy any foreign particles."
175,1080How does a nuclear reactor work?,1080,How does a coal-fired power plant work?,Engineering,Biomedical and Health Sciences,How does a nuclear reactor work?,Biomedical and Health Sciences,"(coal, combusts, to produce heat) like (nuclear fuel, fissions, to produce heat) . (heat, boils, water) like (heat, boils, water) . (steam, drives, turbine) like (steam, drives, turbine) . (turbine, spins, generator) like (turbine, spins, generator)","In a coal-fired power plant, coal is combusted to produce heat. This heat is used to boil water. The steam produced from the boiling water is used to drive a turbine. The turbine spins a generator that produces electricity. The heat generated from the combustion of coal is essential for this process, as it is the energy that boils the water and drives the turbine.","A nuclear reactor works by fissioning the nuclear fuel, which produces heat. This heat is then used to boil water, creating steam. The steam then drives the turbine, which spins the generator and produces electricity. The fission of the nuclear fuel is what causes the heat that boils the water, which in turn drives the turbine and spins the generator."," Initially, the steam drives a turbine. Following this, the fissioning process produces heat. This heat is then used to boil water, creating steam. Subsequently, nuclear fuel is fissioned. Finally, the spinning turbine powers a generator to produce electricity."
176,925How does a human body's respiratory system function?,925,What do lungs do?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does a human body's respiratory system function?,Biomedical and Health Sciences,"(lungs, take in, oxygen) like (respiratory system, take in, oxygen). (lungs, release, carbon dioxide) like (respiratory system, release, carbon dioxide). (lungs, filter, impurities) like (respiratory system, filter, impurities)","Lungs are responsible for taking in oxygen from the air and releasing carbon dioxide. The oxygen enters the bloodstream and is transported to different parts of the body. At the same time, the lungs filter out any impurities in the air, such as dust particles and other pollutants. The oxygen is then used by the body's cells to produce energy, while the carbon dioxide is expelled from the body.","The human body's respiratory system is responsible for taking in oxygen and releasing carbon dioxide. The process of respiration begins when the respiratory system intakes oxygen from the air and filters out impurities. The oxygen is then delivered to the lungs, where it is exchanged for carbon dioxide which is then released back into the atmosphere. This exchange of oxygen and carbon dioxide is necessary for the body to function properly."," The process of respiration begins when the respiratory system intakes oxygen from the air and filters out impurities. Then, the lungs exchange the oxygen for carbon dioxide. After the exchange, the oxygen is then delivered to the lungs. Finally, carbon dioxide is then released back into the atmosphere which is necessary for the body to function properly."
177,393How does a nuclear reactor generate energy?,393,How does a coal-powered power station generate electricity?,Engineering,Biomedical and Health Sciences,How does a nuclear reactor generate energy?,Biomedical and Health Sciences,"(coal, combusts, heat) like (nuclear fuel, fissions, heat). (heat, produces, steam) like (heat, produces, steam). (steam, pushes, turbine) like (steam, pushes, turbine). (turbine, drives, generator) like (turbine, drives, generator)","In a coal-powered power station, coal is combusted to produce heat. This heat is used to produce steam that pushes a turbine. The turbine is connected to a generator, which is driven by the force of the steam. The generator then produces electricity, which is supplied to the power grid.","A nuclear reactor generates energy by fissioning the nuclear fuel. The fission reaction releases heat, which is used to produce steam. The pressure of the steam then pushes a turbine, which drives a generator. The generator then converts the mechanical energy of the turbine into electrical energy."," A nuclear reactor generates energy by fissioning the nuclear fuel. Immediately after, the turbine drives a generator. Subsequently, the fission reaction releases heat, which is used to produce steam. The pressure of the steam then pushes a turbine. Finally, the generator then converts the mechanical energy of the turbine into electrical energy."
178,290Describe the process of building an aircraft causing bad effects on the environment.,290,Describe the process of pollution causing bad effects on the enviroinment.,Natural Sciences,Engineering,Describe the process of building an aircraft causing bad effects on the environment.,Aerospace Engineering,"(Pollutants, released into, atmosphere) like (Emissions, released into, atmosphere). (Pollutants, accumulate in, environment) like (Waste, accumulate in, environment). (Pollutants, cause, health problems) like (Particles, cause, health problems)","Pollutants are released into the atmosphere as a result of human activities such as burning fossil fuels. These pollutants accumulate in the environment and can have a negative impact on air, water, and soil quality. The accumulation of pollutants can cause a variety of health problems, such as respiratory illnesses and skin diseases. In addition, the pollutants can cause acid rain, which can damage plants, animals and ecosystems.","The process of building an aircraft causes bad environmental effects. Emissions are released into the atmosphere, which contributes to global warming. Additionally, waste materials accumulate in the environment, causing the quality of air and water to deteriorate. This can lead to particles in the air that can cause health problems for people who are exposed to them."," The process of building an aircraft causes bad environmental effects. This can lead to particles in the air that can cause health problems for people who are exposed to them. Additionally, emissions are released into the atmosphere, which contributes to global warming. Finally, waste materials accumulate in the environment, causing the quality of air and water to deteriorate."
179,50How do antibodies form?,50,How do minerals form?,Natural Sciences,Biomedical and Health Sciences,How do antibodies form?,Immunology,"(ions, combine, to form) like (antigens, combine, to form). (minerals, precipitate, out of solution) like (antibodies, precipitate, out of solution). (crystals, grow, slowly) like (antibodies, grow, slowly)","Minerals form when ions combine to form a solid. This process usually involves minerals precipitating out of a solution. The ions then aggregate to form crystals, which grow slowly over time. The crystals form the mineral structure of the rock.",Antigens combine to form antigen-antibody complexes. These complexes then precipitate out of solution and form antibodies. The process of antibody formation is slow; it requires time for the antibodies to grow and become effective.," Antigens combine to form antigen-antibody complexes. The process of antibody formation is slow; it requires time for the antibodies to grow and become effective. After the antibodies have grown and become effective, antigen-antibody complexes precipitate out of solution and form antibodies."
180,211How does snow form?,211,How does rain occur?,Natural Sciences,Natural Sciences,How does snow form?,Meteorology,"(moisture, condenses, clouds) like (water vapor, condenses, snowflakes). (temperature, drops, below dew point) like (temperature, drops, below freezing point). (air pressure, increases, over the surface) like (air pressure, increases, over the ground)","Rain occurs when moisture in the air condenses in clouds. When the temperature drops to below the dew point, the air cannot hold the moisture any longer and the water droplets form. As the air pressure increases above the surface, the clouds become heavier and rain is released.","Snow forms when water vapor in the atmosphere condenses into snowflakes. The temperature must drop below the freezing point for the vapor to condense. Additionally, air pressure over the ground needs to increase for the vapor to form snow."," Water vapor in the atmosphere condenses into snowflakes. Following this, the temperature drops below freezing point. Finally, the air pressure over the ground increases."
181,947How does a refrigeration system work?,947,What happens during the water cycle?,Natural Sciences,Engineering,How does a refrigeration system work?,Mechanical Engineering,"(water vapor, condenses, liquid droplets) like (refrigerant vapor, condenses, liquid droplets) . (liquid droplets, evaporates, water vapor) like (liquid droplets, evaporates, refrigerant vapor) . (heat, transfers, water vapor) like (heat, transfers, refrigerant vapor)","During the water cycle, water vapor condenses into liquid droplets due to decreasing temperatures.  The liquid droplets then evaporate back into water vapor due to increased temperatures, which is caused by the transfer of heat. This process continues, with water vapor condensing and evaporating in a continuous cycle.","A refrigeration system works by using a refrigerant vapor to condense into liquid droplets. The liquid droplets are then heated, causing them to evaporate back into refrigerant vapor.  This process transfers heat away from the system, cooling it down.  The refrigerant vapor then travels back to the condenser, repeating the cycle and keeping the system cool."," The refrigeration system works by using a refrigerant vapor to condense into liquid droplets. This process then transfers heat away from the system, cooling it down. After cooling, the liquid droplets are heated, causing them to evaporate back into refrigerant vapor. Finally, the refrigerant vapor then travels back to the condenser, repeating the cycle and keeping the system cool."
182,466Describe the process of evaporation,466,Describe the process of desalination,Engineering,Natural Sciences,Describe the process of evaporation,Earth Science,"(saltwater, is heated, to create vapour) like (water, is heated, to create vapour). (vapour, is condensed, to form freshwater) like (vapour, is condensed, to form water). (brine, is discharged, into the ocean) like (water, is discharged, onto land)","The process of desalination involves heating saltwater in order to create vapour. The vapour is then condensed to form freshwater, which is collected and used. The remaining brine is then discharged back into the ocean.","Evaporation is the process of heating water to create water vapour. The vapour is condensed to form liquid water, which is then discharged onto land. The heat from the sun causes the liquid water to evaporate, which means that it changes state from liquid to gas. As the vapour rises, it cools and is condensed back into liquid water, which is then discharged onto land."," The process of heating water to create water vapour begins. Then, the heat from the sun causes the liquid water to evaporate again. After evaporation, the water vapour is condensed to form liquid water. The liquid water is then discharged onto the land. As the evaporated vapour rises, it cools down. Again, the vapour is condensed back into liquid water. Finally, the liquid water is then discharged onto land again."
183,422How does data get from its source to a database?,422,How does coal get from the ground to a power station?,Engineering,Social Sciences,How does data get from its source to a database?,Database Management,"(miners, extract, coal) like (programmers, extract, data). (truck, transport, coal) like (network, transport, data). (power station, process, coal) like (database, process, data)","Miners extract coal from the ground. This coal is then transported to the power station in trucks. Once it arrives at the power station, the coal is processed and used to generate electricity.","Programmers extract the data from its source. The data is then transported through a network, such as the internet or a local network. The network then delivers the data to the database, where it is processed and stored."," The data is first transported through a network, such as the internet or a local network. After the data has been transported, programmers then extract the data from its source. The network then delivers the extracted data to the database. Finally, the data is processed and stored in the database."
184,1183How does a filter remove pollutants from air?,1183,How does a water purifier work?,Engineering,Engineering,How does a filter remove pollutants from air?,Environmental Engineering,"(water, passes through, filter) like (air, passes through, filter). (sediment, trapped by, membrane) like (particles, trapped by, membrane). (chemicals, removed by, adsorption) like (toxins, removed by, adsorption)","A water purifier works by passing water through a filter. The filter traps sediment, such as dirt and other particles, in its pores. The water is then passed through a membrane that traps the sediment, preventing it from passing through. Chemicals, such as chlorine and other contaminants, are removed from the water by adsorption, which means that the chemicals are attracted to the filter and held there.","When air passes through the filter, particles such as dust, pollen, and other pollutants are trapped by the filter's membrane. The membrane also helps to remove toxins from the air by adsorption. The particles and toxins are then collected in the filter and removed from the air, thus purifying it."," When air passes through the filter, the particles and toxins are immediately collected in the filter and removed from the air, thus purifying it. After the air has been purified, particles such as dust, pollen, and other pollutants are then trapped by the filter's membrane. Finally, the membrane helps to remove toxins from the air by adsorption."
185,619How does a gas exchange system in the lungs work?,619,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Social Sciences,How does a gas exchange system in the lungs work?,Biology,"(oxygen, diffuses, red blood cells) like (air, diffuses, alveoli). (hemoglobin, transports, oxygen) like (mucus, transports, gases). (blood vessels, circulates, oxygen) like (bronchioles, circulates, air)","Oxygen diffuses from the air into red blood cells. Hemoglobin, a protein found in red blood cells, then binds to the oxygen and transports it throughout the body. The circulation of oxygen-rich blood through the blood vessels allows the oxygen to reach all the cells in the body.","The gas exchange system in the lungs works by allowing air to diffuse into the alveoli from the bronchioles. Mucus transports the gases between the alveoli and the bronchioles, allowing for the efficient circulation of air. The bronchioles circulate the air throughout the lungs, allowing for the exchange of gases between the alveoli and the atmosphere."," Initially, mucus transports the gases between the alveoli and the bronchioles. Following this, air diffuses into the alveoli from the bronchioles. Finally, the bronchioles circulate the air throughout the lungs, allowing for the exchange of gases between the alveoli and the atmosphere."
186,742How do submarines use sonar?,742,How do bats use echolocation?,Natural Sciences,Engineering,How do submarines use sonar?,Naval Engineering,"(bats, emit, sound waves) like (submarines, emit, sound waves). (echolocation, interpret, echoes) like (sonar, interpret, echoes). (pulses, bounce off, objects) like (pings, bounce off, objects)","Bats use echolocation to navigate and find food. They emit sound waves and interpret the echoes to determine the location and distance of objects. The sound waves are emitted in short pulses and bounce off of objects in the environment. The echoes are then used to identify the size, shape, and location of the object.","Submarines use sonar to detect and interpret objects in their environment. They emit sound waves, which then bounce off objects in the water. These sound waves, also known as pings, generate echoes. Sonar interprets these echoes and helps submarines locate objects in the water."," Submarines use sonar to detect and interpret objects in their environment. Immediately, sonar interprets these echoes and helps submarines locate objects in the water. Afterward, they emit sound waves, which bounce off objects in the water. Finally, these sound waves generate echoes."
187,949How does the hydrologic cycle work?,949,What happens during the water cycle?,Natural Sciences,Natural Sciences,How does the hydrologic cycle work?,Hydrology,"(evaporation, transfers, water vapor) like (precipitation, transfers, liquid water). (condensation, forms, clouds) like (infiltration, forms, groundwater). (runoff, flows, rivers) like (transpiration, flows, atmosphere)","The water cycle is the process by which water is continuously recycled on Earth. The first step is evaporation, where water on the surface of the Earth evaporates and transfers into the atmosphere as water vapor. The water vapor then condenses, forming clouds, which eventually precipitate and fall back to the Earth. The water that returns to the Earth's surface as rain or snow is known as runoff, and it then flows into rivers and eventually back into the oceans.","The hydrologic cycle is a continuous cycle of water movement through the Earth's land, oceans, and atmosphere. Precipitation, such as rain, snow, and hail, transfers liquid water from the atmosphere to the land and oceans. The liquid water can then infiltrate the ground, forming groundwater. Plant transpiration then flows the water back into the atmosphere, completing the cycle."," Precipitation, such as rain, snow, and hail, transfers liquid water from the atmosphere to the land and oceans. Then, plant transpiration flows the water back into the atmosphere, completing the cycle. After the cycle is completed, the liquid water can then infiltrate the ground, forming groundwater."
188,830How does a bacteria cause infection?,830,How does a virus cause disease?,Biomedical and Health Sciences,Natural Sciences,How does a bacteria cause infection?,Microbiology,"(virus, invades, host cells) like (bacteria, invades, host cells). (virus, reproduces, itself) like (bacteria, reproduces, itself). (virus, triggers, immune response) like (bacteria, triggers, immune response)","A virus is a microscopic organism that invades a host cell and reproduces itself. The virus will then spread to other host cells and continue to reproduce. The virus reproducing in the host cell triggers an immune response from the body, which causes inflammation and other symptoms associated with disease.","When bacteria invade a host, they will reproduce themselves within the host cells. This multiplication of bacteria triggers the host's immune response as the body attempts to fight off the infection. The bacteria can also produce toxins which further exacerbate the infection, leading to further tissue damage and inflammation."," When bacteria invade a host, they produce toxins which exacerbate the infection, leading to further tissue damage and inflammation. After producing toxins, the bacteria reproduce within the host cells. Finally, the host's immune response is triggered as the body fights off the infection."
189,529Describe the life cycle of a butterfly,529,Describe the life cycle of a rabbit,Natural Sciences,Natural Sciences,Describe the life cycle of a butterfly,Biology,"(rabbit, reproduces, offspring) like (butterfly, reproduces, larvae). (rabbit, feeds, vegetation) like (butterfly, feeds, nectar). (rabbit, moves, grassland) like (butterfly, moves, meadow)","Rabbits reproduce to create their offspring. They feed on vegetation such as grass, clover, and other vegetation found in the grasslands. They are also adept at moving around the grasslands in search of food and shelter. After a few weeks, the offspring will reach maturity and the cycle begins again with the rabbit reproducing more offspring.","The life cycle of a butterfly begins with reproduction. The female butterfly lays eggs which will eventually hatch into larvae. The larvae feed on plant leaves and grow. When they reach maturity, they form a chrysalis and later emerge as an adult butterfly. The adult butterfly feeds on nectar and moves around the meadow in search of food and mates. The cycle then begins again with the female butterfly reproducing larvae."," The life cycle of a butterfly begins with reproduction. The eggs then hatch into larvae which feed on plant leaves and grow. After the larvae have hatched, the female butterfly lays eggs. When they reach maturity, they form a chrysalis. The larvae then emerge as adult butterflies and feed on nectar. They move around the meadow in search of food and mates. The cycle then begins again with the female butterfly reproducing larvae."
190,466Describe the process of filtration,466,Describe the process of desalination,Engineering,Engineering,Describe the process of filtration,Chemical Engineering,"(saltwater, heated, vapor) like (contaminated water, heated, steam). (vapor, condensed, pure water) like (steam, condensed, filtered water). (salt crystals, filtered, out of the solution) like (solids, filtered, out of the solution)","The process of desalination involves heating saltwater in order to produce vapor. This vapor is then condensed to form pure water, while the salt crystals are filtered out of the solution. The vapor is condensed into a liquid form, and the salt crystals are removed, leaving behind pure water.","Filtration is the process of removing impurities from a liquid or gas. Contaminated water is heated until it forms steam. The steam is then condensed back into a liquid, resulting in filtered water. During this process, the solids are filtered out of the solution, leaving only clean, filtered water."," During the filtration process, the solids are filtered out of the solution, leaving only clean, filtered water. Following this, the contaminated water is heated until it forms steam. Finally, the steam is then condensed back into a liquid, resulting in filtered water."
191,703Describe the process of climate change,703,Describe the process of the greenhouse effect,Natural Sciences,Social Sciences,Describe the process of climate change,Social Sciences,"(greenhouse gases, trap, heat) like (greenhouse gases, trap, infrared radiation). (sunlight, passes through, atmosphere) like (sunlight, passes through, atmosphere). (temperature, rises, surface) like (average temperature, rises, surface)","The greenhouse effect is a natural process that occurs when certain gases in the atmosphere trap heat. These greenhouse gases allow the sun's rays to pass through the atmosphere and reach the Earth's surface, but they trap the heat emitted from the surface, causing the temperature to rise. This process is vital for sustaining life on Earth, but it can also be damaging if it becomes too extreme.","Climate change is caused by the accumulation of greenhouse gases in the atmosphere. These gases trap infrared radiation, which causes the average temperature of the Earth's surface to rise. Sunlight passes through the atmosphere, however the radiation that is reflected back to the surface is trapped by the accumulation of greenhouse gases. This causes the average temperature to rise and results in climate change."," Climate change is caused by the accumulation of greenhouse gases in the atmosphere. These gases trap infrared radiation. Sunlight passes through the atmosphere. However, the average temperature of the Earth's surface begins to rise. The radiation that is reflected back to the surface is trapped by the accumulation of greenhouse gases. This trapping of radiation causes the average temperature to rise even more. This results in climate change."
192,300How does a virus cause infection?,300,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Biomedical and Health Sciences,How does a virus cause infection?,Biomedical and Health Sciences,"(bacteria, invade, host cells) like (virus, invade, host cells). (bacteria, secrete, toxins) like (virus, secrete, proteins). (bacteria, multiply, rapidly) like (virus, replicate, rapidly)","Bacteria can cause disease when they invade host cells. These bacteria are able to secrete toxins that can damage the cells, leading to infection and illness. Additionally, these bacteria can multiply rapidly, leading to a high concentration of bacteria that can further damage the host cells.","When a virus invades a host cell, it releases proteins that allow it to hijack the cell and take control. These proteins also allow the virus to replicate rapidly. Once the virus has replicated enough times, it can cause an infection."," When a virus invades a host cell, it causes an infection after replicating enough times. Following the infection, the virus releases proteins that allow it to hijack the cell and take control. These proteins then allow the virus to replicate rapidly."
193,494Describe the process of homeostasis,494,Describe the process of hibernation,Natural Sciences,Biomedical and Health Sciences,Describe the process of homeostasis,Biomedical and Health Sciences,"(body, lowers, temperature) like (body, regulates, temperature). (heart rate, slows down, significantly) like (heart rate, decreases, significantly). (metabolism, decreases, drastically) like (metabolism, slows down, drastically)","The process of hibernation is an energy-saving state that animals enter during the winter months. During hibernation, the body lowers its temperature and the heart rate slows down significantly. Additionally, the metabolism decreases drastically. As a result, the animal is able to conserve energy and survive through the winter with minimal food.","Homeostasis is the process by which the body regulates its internal environment and maintains a stable state. For example, when the body experiences cold temperatures, it responds by increasing its internal temperature. This is achieved through the speeding up of the heart rate, which increases the circulation of the blood, and the acceleration of the metabolism, which produces more body heat. On the other hand, when the body experiences hot temperatures, its heart rate decreases significantly and its metabolism slows down drastically, allowing it to cool down."," The body starts the process of homeostasis. When the body experiences hot temperatures, it responds by increasing its internal temperature. This is achieved through the speeding up of the heart rate, which increases the circulation of the blood, and the acceleration of the metabolism, which produces more body heat. On the other hand, when the body experiences cold temperatures, its heart rate decreases significantly and its metabolism slows down drastically, allowing it to cool down."
194,879How does a cloud form?,879,How does rain occur?,Natural Sciences,Social Sciences,How does a cloud form?,Meteorology,"(evaporation, transforms, water from liquid to gas) like (condensation, transforms, water from gas to liquid) . (low temperatures, cause, water vapor to condense) like (high temperatures, cause, water vapor to evaporate) . (water droplets, form, clouds) like (raindrops, form, rain)","Rain occurs when water is transformed from liquid to gas through evaporation. The water vapor then rises into the atmosphere and cools due to low temperatures. This causes the water vapor to condense and form water droplets that collect in clouds. When the clouds become full of water droplets, they eventually release the water in the form of rain.","Clouds form when air rises and cools down. When this happens, the condensation process transforms water from gas to liquid. As the air continues to rise, high temperatures cause the water vapor to evaporate and form tiny water droplets. These droplets then increase in size and become raindrops that fall from the clouds, ultimately forming rain."," Clouds form when air rises and cools down. These droplets then increase in size and become raindrops. As the air continues to rise, high temperatures cause the water vapor to evaporate and form tiny water droplets. When this happens, the condensation process transforms water from gas to liquid. Finally, raindrops fall from the clouds, ultimately forming rain."
195,1053How does the atmosphere retain heat?,1053,How does a greenhouse stay warm?,Engineering,Natural Sciences,How does the atmosphere retain heat?,Atmospheric Science,"(glass, traps, solar radiation) like (atmosphere, traps, infrared radiation). (insulation, prevents, heat loss) like (humidity, prevents, heat loss). (water vapor, absorbs, infrared radiation) like (greenhouse gases, absorbs, infrared radiation)","A greenhouse stays warm by trapping solar radiation through its glass walls and roof. Insulation such as bubble wrap is often added to the walls and roof, to prevent heat loss. Water vapor that is naturally present in the air also helps absorb infrared radiation, further trapping the heat inside the greenhouse.",The atmosphere is able to trap and retain heat due to its ability to absorb infrared radiation. High humidity in the atmosphere prevents heat loss as it acts like an insulating layer. Greenhouse gases such as carbon dioxide and methane also contribute to heat retention by absorbing infrared radiation from the sun.," The atmosphere absorbs infrared radiation and can trap and retain heat. Then, greenhouse gases such as carbon dioxide and methane also contribute to heat retention by absorbing infrared radiation from the sun. After the greenhouse gases have absorbed the heat, high humidity in the atmosphere acts like an insulating layer preventing heat loss."
196,459How does smog form?,459,How does acid rain form?,Natural Sciences,Engineering,How does smog form?,Environmental Engineering,"(sulfur dioxide, combines with, water vapor) like (nitrogen dioxide, combines with, water vapor). (carbon dioxide, reacts with, oxygen) like (volatile organic compounds, reacts with, oxygen). (nitrogen oxides, produces, sulfuric acid) like (nitrogen oxides, produces, nitric acid)","Acid rain forms when sulfur dioxide combines with water vapor in the atmosphere. The reaction between carbon dioxide and oxygen also contributes to the formation of acid rain. When nitrogen oxides combine with oxygen, it produces sulfuric acid, which is the main component of acid rain.","Smog is created when nitrogen dioxide combines with water vapor in the atmosphere. Volatile organic compounds also react with oxygen to produce smog. The reaction of nitrogen oxides with oxygen produces nitric acid, which is a major component of smog. Smog is a complicated mixture of pollutants that can have a negative impact on human health and the environment."," Nitrogen dioxide combines with water vapor in the atmosphere to create smog. Following this, the reaction of nitrogen oxides with oxygen produces nitric acid, which is a major component of smog. After the formation of nitric acid, volatile organic compounds react with oxygen to produce more smog. Finally, smog, a complicated mixture of pollutants, negatively impacts human health and the environment."
