,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,distractor_target_paragraph,random_target_paragraph
209,665Describe the process of purifying wastewater,665,Describe the process of desalination,Engineering,Engineering,Describe the process of purifying wastewater,Environmental Engineering,"(salt, removed from, seawater) like (contaminants, removed from, wastewater). (reverse osmosis, filters, water) like (filtration, filters, water). (membrane, separates, salt and water) like (filter, separates, contaminants and water)","Desalination is the process of removing salt from seawater. This is usually done through a process called reverse osmosis. During reverse osmosis, the water is filtered through a membrane which separates the salt and water. The salt is then removed from the water, and the remaining water is clean and drinkable.","The process of purifying wastewater involves removing contaminants from the water. This is done through a process of filtration, where water is passed through filters that separate contaminants and water. The filter captures the contaminants, preventing them from entering the purified water. Once the water is filtered, it is ready to be used or disposed of safely."," Wastewater is taken for purification. After the purification process, the water is ready to be used or disposed of safely. Then, the water is filtered which separates the contaminants from the water. Finally, the filter captures the contaminants, preventing them from entering the purified water.","Bats fly through an area.
The bat makes sounds with their mouth or nose.
The sound waves travel away from the bat.
The sound waves hit objects.
The sound waves bounce off the objects back towards the bat.
The bat hears the sound waves echoing off the objects.
The bat knows where the objects are because of where the sound echoed from.
The bat doesn't hurt itself by hitting the objects."
210,1078Describe the process of cell division.,1078,Describe the process of DNA replication.,Biomedical and Health Sciences,Natural Sciences,Describe the process of cell division.,Biology,"(DNA strands, separate, double helix) like (chromosomes, separate, nucleus). (nucleotides, replicate, DNA strands) like (chromosomes, replicate, cells). (DNA polymerase, catalyzes, copying process) like (microtubules, catalyzes, mitotic process)","DNA replication is the process of creating two identical copies of DNA strands. The two strands of the double helix separate, allowing for the nucleotides to replicate each strand. The copying process is catalyzed by DNA polymerase, which binds to the DNA strands and replicates the nucleotides. Once the strands are replicated, they are then joined together to form two identical copies of the original DNA.","Cell division is the process by which a single cell divides into two identical daughter cells. The process begins when the chromosomes in the nucleus separate and replicate. The replicated chromosomes are then pulled apart by microtubules, which catalyzes the mitotic process. Finally, the two daughter cells are formed, each containing the same genetic material as the parent cell."," Two identical daughter cells are formed, each containing the same genetic material as the parent cell. Following this, a single cell begins to divide. Then, the chromosomes in the nucleus separate and replicate. Finally, the replicated chromosomes are pulled apart by microtubules, catalyzing the mitotic process.","Energy is stored in a battery.
The energy is released from the battery as electrical current.
The electrical current goes to a motor.
The motor makes the needle of the sewing machine go up and down.
The needle is pressed through the piece of clothing at a constant rate.
Thread is attached and used to stitch the clothing."
211,422How does a mineral get from an underground mine to a processing plant?,422,How does coal get from the ground to a power station?,Engineering,Natural Sciences,How does a mineral get from an underground mine to a processing plant?,Extractive Metallurgy,"(coal, excavated, ground) like (mineral, extracted, mine). (truck, transports, coal) like (conveyor belt, transports, mineral). (power station, receives, coal) like (processing plant, receives, mineral)","Coal is excavated from the ground, usually by large machines. It is then transported to the power station by truck. Once it arrives at the power station, the coal is unloaded and stored, ready to be used to generate electricity.","The mineral is first extracted from the mine. It is then transported to the processing plant via a conveyor belt. The conveyor belt is used to move the mineral from the mine to the processing plant, where it is received for further processing."," The mineral is transported to the processing plant via a conveyor belt from the mine. After being transported, the mineral is then extracted from the mine. Finally, at the processing plant, the mineral is received for further processing.","People separate different materials to be recycled.
The recyclable materials go to a recycling center.
The recycling center further separates the materials.
Large equipment compacts the materials into bales.
The recyclable materials are shipped to other recycling centers.
The other recycling centers further process the materials that center specializes in.
The materials are purchased by manufacturers.
The manufacturers process the recycled materials the same way they would use new materials.
The recycled materials are incorporated into new products."
212,1265How does a robot construct a shelter?,1265,How does a bird build a nest?,Natural Sciences,Engineering,How does a robot construct a shelter?,Robotics Engineering,"(bird, gathers, twigs) like (robot, gathers, components). (bird, arranges, twigs) like (robot, arranges, parts). (bird, interlocks, twigs) like (robot, assembles, components)",A bird builds a nest by gathering twigs from the surrounding environment. The bird then arranges the twigs in the desired location. The twigs are then interlocked together to form the structure of the nest. This allows the bird to create a safe place to lay its eggs and protect them from predators.,"A robot can construct a shelter by first gathering the components needed. The robot then arranges the parts to create the structure of the shelter. It then assembles the components together to complete the shelter. The robot then ensures that the components are firmly secured, allowing it to construct a secure shelter."," A robot starts by gathering the components needed for the shelter construction. It then ensures that the components are firmly secured. After securing the components, the robot arranges the parts to create the structure of the shelter. Finally, the robot assembles the components together to complete the shelter.","Solar radiation reaches Earth's atmosphere.
Some is reflected back into space.
The rest of the energy is absorbed by land and oceans, heating the Earth.
Heat radiates from Earth to space.
Some of this heat is trapped by greenhouse gases in the atmosphere.
Human activities such as burning fuel are increasing the amount of greenhouses gases.
This causes more heat radiation to stay trapped in our atmosphere.
The Earth's temperature rises."
213,1293Describe the typical steps in making tea.,1293,Describe the typical steps in making coffee.,Engineering,Biomedical and Health Sciences,Describe the typical steps in making tea.,Biomedical and Health Sciences,"(coffee, steep, water) like (tea, steep, water). (coffee beans, grind, powder) like (tea leaves, grind, powder). (coffee powder, dissolve, liquid) like (tea powder, dissolve, liquid)","Making coffee typically involves steeping the coffee in water. The coffee beans are then grinded into a fine powder. The coffee powder is then added to the liquid, usually hot water, and allowed to dissolve. The result is a delicious cup of coffee.","A typical process of making tea begins with boiling water. Then, tea leaves are grinded into a fine powder. Once the tea powder has been prepared, it is steeped in the boiling water. The tea powder will then dissolve into the liquid, resulting in a cup of tea."," The process begins with grinding tea leaves into a fine powder. Then, water is boiled. After boiling the water, the tea powder is steeped in it. Finally, the tea powder dissolves into the liquid, resulting in a cup of tea.","Greenhouse gases are released into the air by human activities.
The earth changes energy from the sun into heat.
Heat rises from the ground.
Greenhouse gas molecules in the atmosphere prevent the heat from going into space.
The temperature of the earth increases.
The temperature continues to rise and melts the polar ice caps.
The temperature rises even faster."
214,494Describe the process of sleep,494,Describe the process of hibernation,Natural Sciences,Biomedical and Health Sciences,Describe the process of sleep,Biomedical and Health Sciences,"(hibernation, conserves, energy) like (sleep, conserves, energy). (hibernation, decreases, body temperature) like (sleep, decreases, body temperature). (hibernation, reduces, metabolic rate) like (sleep, reduces, metabolic rate)","Hibernation is a process that enables animals to conserve energy in order to survive in cold and harsh winter climates. During hibernation, animals enter a state of dormancy, which helps to decrease their body temperature and reduce their metabolic rate. This allows for the conservation of energy and helps the animal to survive the winter.","Sleep is a state of rest that conserves energy and decreases body temperature. During sleep, the body's metabolic rate is reduced, allowing for less energy to be used than when the body is awake. Sleep also helps to regulate hormones and restore the body's energy reserves. All of these effects work together to ensure the body is rested and ready for the next day."," Entering sleep, a state of rest that conserves energy and decreases body temperature. These effects work together to ensure the body is rested and ready for the next day. During this state, the body's metabolic rate is reduced. Finally, sleep helps to regulate hormones and restore the body's energy reserves.","The nuclei of some atoms have too few or too many neutrons.
The atoms become unstable.
The atoms split.
In alpha decay, two protons and two neutrons are released from the atom.
In beta decay, a neutron changes into a proton and an electron.
The proton joins the nucleus of the atom.
The electron is released."
215,808How does a cooling system of a refrigerator work?,808,How do you make ice cubes?,Engineering,Biomedical and Health Sciences,How does a cooling system of a refrigerator work?,Biomedical and Health Sciences,"(water, freezes, when cooled) like (coolant, cools, when circulated). (ice cubes, form, when frozen) like (cold air, forms, when chilled). (temperature, decreases, when cooled) like (temperature, decreases, when refrigerated)","Making ice cubes is a simple process. Water freezes when cooled and when the temperature decreases, ice cubes form when the water is frozen. The colder the water, the quicker it will freeze and the faster the ice cubes will form.","A cooling system of a refrigerator works by circulating a coolant around the refrigerator. When the coolant is circulated, it cools the interior of the refrigerator. The process of cooling creates cold air which then forms when the coolant is chilled. This cold air helps to lower the temperature of the refrigerator, thus decreasing the temperature when it is refrigerated."," A cooling system of a refrigerator works by circulating a coolant. This process forms cold air when the coolant is chilled. The circulated coolant then cools the interior of the refrigerator. The cooling process creates more cold air. Finally, this cold air helps to lower the temperature of the refrigerator.","Adult rabbits mate.
The female becomes pregnant.
The female gives birth to rabbit babies.
The rabbit babies grow into adult rabbits.
The new adults mate with other rabbits.
Produce more rabbits."
216,643Describe the reproduction of a bee,643,Describe the life cycle of a frog,Natural Sciences,Natural Sciences,Describe the reproduction of a bee,Entomology,"(tadpole, hatches, from egg) like (larva, hatches, from egg). (tadpole, develops, into adult) like (larva, develops, into adult). (frog, lays, eggs) like (bee, lays, eggs). (adult, returns, to pond) like (adult, returns, to hive)","The life cycle of a frog begins with an egg, which hatches into a tadpole. The tadpole will then develop into an adult frog. Once the frog has matured, it will lay eggs in the water and return to the pond. The eggs will hatch into tadpoles, which will then eventually develop into an adult frog, and the cycle will start over again.","The reproduction of a bee begins when an egg is laid by an adult bee. The larva hatches from the egg and develops into an adult bee. The adult bee then returns to the hive and lays more eggs, repeating the process. The larva will then hatch from the egg and develop into an adult bee."," The larva develops into an adult bee. Afterward, an adult bee lays an egg. Then, the larva hatches from the egg. The adult bee returns to the hive and lays more eggs, repeating the process. Finally, the larva hatches from the egg and develops into an adult bee.","Crude oil is pumped from the ground.
The crude oil is put into a tanker truck.
The crude oil is delivered to an oil refinery.
Impurities are removed from the oil.
The oil is bottled.
The bottled oil is delivered to gas stations by trucks."
217,892How does hail form?,892,How does snow form?,Natural Sciences,Natural Sciences,How does hail form?,Meteorology,"(water vapor, condenses, droplets) like (ice crystals, condenses, hailstones). (droplets, freeze, snowflakes) like (hailstones, freeze, hail). (low clouds, carries, snow) like (thunderclouds, carries, hail)",Snow forms when water vapor in the atmosphere condenses into tiny droplets. These droplets freeze into snowflakes when they reach a certain temperature. Low-level clouds can then carry the snowflakes to the ground.,"Hail forms when water droplets freeze and become ice crystals. These ice crystals condense and form hailstones, which grow in size as more water droplets freeze to them. Once the hailstones become heavy enough, they fall, and hail is formed. Thunderclouds carry the hail and can cause it to reach the ground."," Hail forms when water droplets freeze and become ice crystals. These ice crystals are then carried by thunderclouds and can cause it to reach the ground. After reaching the ground, these ice crystals condense and form hailstones. These hailstones grow in size as more water droplets freeze to them. Finally, once the hailstones become heavy enough, they fall, and hail is formed.","Suns heat enters atmosphere.
Green house gases enter from the earth.
Heat is trapped in atmosphere.
Different things on earth are hotter.
The overall planet is hotter."
218,834How does a fungus infect a plant?,834,How does a virus infect an animal?,Biomedical and Health Sciences,Natural Sciences,How does a fungus infect a plant?,Botany,"(virus, enter, host cell) like (fungus, enter, plant cell). (virus, reproduce, inside host cell) like (fungus, reproduce, inside plant cell). (virus, spread, to other cells) like (fungus, spread, to other parts of the plant)","A virus is able to infect an animal by entering a host cell. Once inside the cell, the virus will reproduce itself, creating more copies of the virus. These copies of the virus then spread to other cells, allowing the infection to spread throughout the animal's body.","Fungi can enter a plant cell through openings in the cell wall. Once inside, the fungus can reproduce and spread to other parts of the plant. The fungus multiplies quickly, and its spread can cause extensive damage to the plant. The infection can cause the plant to become weak and vulnerable to other diseases."," Once inside, the fungus reproduces and spreads to other parts of the plant. Then, fungi enter a plant cell through openings in the cell wall. After entering, the fungus multiplies quickly, causing extensive damage to the plant. Finally, the infection causes the plant to become weak and vulnerable to other diseases.","Rock begins as magma from a volcano.
The magma cools.
Crystals form and the magma become igneous rocks.
The igneous rocks break down into sediment.
Become sedimentary rocks.
If subjected to heat and/or pressure from plate-tectonic activity the sedimentary rocks become metamorphic rock.
The metamorphic rocks melt.
Become magma again."
219,381How does a bacteria infect a plant?,381,How does a virus infect an animal?,Biomedical and Health Sciences,Natural Sciences,How does a bacteria infect a plant?,Plant Biology,"(virus, enters, cell) like (bacteria, enters, cell). (virus, replicates, genetic material) like (bacteria, replicates, genetic material). (virus, produces, toxins) like (bacteria, produces, toxins)","A virus infects an animal by entering its cells. Once inside, the virus replicates its genetic material and produces toxins, which can cause the cell to malfunction or even die. The virus can then spread to other cells, causing more damage and eventually leading to the illness of the animal.","When a bacteria infects a plant, it enters a cell and replicates its genetic material. This process allows the bacteria to take over the cell and produce its own toxins. The toxins produced by the bacteria can cause damage to the plant's cells and can even lead to death of the plant."," When a bacteria infects a plant cell, the plant possibly dies. After the plant's death, the bacteria replicates its genetic material inside the cell. The bacteria then takes over the cell and produces its own toxins. Finally, the toxins damage the plant's cells.","A larva is born.
The caterpillar eats constantly until it grows bigger.
The caterpillar starts to form a cocoon around itself.
The caterpillar becomes a pupa.
After some time the cocoon hatches.
And a butterfly is born."
220,699Describe the process of recycling a plastic bottle,699,Describe the process of recycling an aluminum can,Engineering,Biomedical and Health Sciences,Describe the process of recycling a plastic bottle,Biomedical and Health Sciences,"(aluminum can, sorted, by hand) like (plastic bottle, sorted, by machine), (aluminum can, crushed, into small pieces) like (plastic bottle, crushed, into small pieces), (aluminum can, melted, down) like (plastic bottle, melted, down)","The process of recycling an aluminum can begins with sorting the cans by hand. After the cans are sorted, they are baled and transported to a recycling center, where they are melted down and formed into new aluminum products. The recycling process reduces the need for mining and manufacturing of new aluminum materials, conserving energy and resources.","The process of recycling a plastic bottle begins with machines sorting them according to their type of plastic. The bottle is then crushed into small pieces and melted down into a liquid form before it is molded into a new material. Similarly, an aluminum can is also crushed into small pieces and melted down with other metals to create a new material."," The process of recycling begins with machines sorting plastic bottles according to their type of plastic. The bottle is then immediately molded into a new material. After molding, the bottle is crushed into small pieces. The crushed bottle is then melted down into a liquid form. Similarly, an aluminum can is also crushed into small pieces. The crushed can material is then used to create a new material. After creating a new material, the crushed can is melted down with other metals.","The liver removes toxins from the blood.
Liver also cleans blood that has just been enriched with vitamins and minerals during digestion.
Liver processes the good stuff into forms that the rest of the body can use.
Waste or stuff your body doesn't need can be carried by bile back into the intestine or into the kidneys.
The liver also produces a digestive juice called bile that helps the body absorb fat into the bloodstream.
The liver also stores extra carbohydrates as glycogen for the body to use as fuel when needed."
221,64How do canyons form?,64,How are ravines formed?,Natural Sciences,Social Sciences,How do canyons form?,Geology,"(erosion, deepens, ravine) like (erosion, deepens, canyon). (flooding, widens, ravine) like (flooding, widens, canyon). (sediment, accumulates, ravine) like (sediment, accumulates, canyon)","Ravines are formed through a combination of erosion and flooding. Erosion deepens the ravine, while flooding can widen it. Over time, sediment accumulates in the ravine, which further increases its depth and width.","The formation of canyons is a result of erosion from water, wind, and ice. The erosion deepens the canyon, allowing water to flow and widen it. In addition, flooding can carry sediment, which accumulates in the canyon and adds to its size. Over time, this combination of erosion, flooding, and sediment accumulation forms the majestic canyons we see today."," Over time, the majestic canyons we see today are formed due to erosion, flooding, and sediment accumulation. Following this, erosion from water, wind, and ice forms canyons. The erosion then deepens the canyon, and water flows to widen it. Finally, sediment is carried by flooding, which accumulates and enlarges the canyon.","The coffee pot is filled with water.
Water is poured into the well of the machine.
A filter is placed in the basket.
Ground coffee is measured into the filter.
Turning on the machine starts the water heating.
The hot water rises up.
The water drops into the ground coffee.
The hot water passes through the grounds.
The coffee drips into the pot from the basket."
222,300Describe how viruses can cause infection.,300,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Engineering,Describe how viruses can cause infection.,Biomedical Engineering,"(bacteria, invade, organs) like (viruses, invade, cells). (bacteria, release, toxins) like (viruses, release, proteins). (bacteria, multiply, rapidly) like (viruses, replicate, quickly)","Bacteria can cause disease when they invade the organs of a living organism. Once inside, the bacteria release toxins that can damage the cells of the organism. Additionally, the bacteria can multiply rapidly, which can lead to more severe symptoms of the disease.","Viruses invade cells, hijacking the cell's machinery to replicate themselves. The replicated viruses then release proteins, which disrupt the normal functioning of the cell and cause infection. Viruses have a unique ability to replicate quickly, allowing them to spread and cause infection in a short amount of time."," Proteins disrupt the normal functioning of the cell and cause infection. Following this, viruses invade cells. After invading, viruses hijack the cell's machinery to replicate themselves. The replicated viruses then release proteins. Finally, viruses replicate quickly, allowing them to spread.","Warm air rises.
Then it expandes and cools.
Some of the vapor condenses onto tiny pieces of dust that are floating in the air.
Forms a tiny droplet around each dust particle.
Billions of these droplets come together they become a visible cloud."
223,936How does wind erosion affect soil composition?,936,What happens during erosion by the ocean?,Natural Sciences,Engineering,How does wind erosion affect soil composition?,Civil Engineering,"(ocean waves, erode, cliffs) like (wind, erode, soil). (saltwater, corrodes, rocks) like (wind, corrodes, particles). (tides, transport, sand) like (wind, transport, dust)",Erosion by the ocean is a process that occurs over time. Waves from the ocean erode cliffs and rocks. Saltwater from the ocean also corrodes the rocks it comes into contact with. The tides also transport sand and other sediment along the shoreline. All these factors contribute to the erosion of the coastline.,"Wind erosion is a process in which wind erodes the soil. The strong winds corrode the soil particles, breaking them down into smaller particles. The wind also has the ability to transport dust and other particles to other places. The wind carries away the eroded particles, which changes the composition of the soil and can lead to soil loss."," The wind carries away the eroded particles, changing the composition of the soil and leading to soil loss. After the soil loss, the wind erodes the soil, breaking down the soil particles into smaller particles. Finally, the wind transports dust and other particles to other locations.","Air is drawn in through the mouth.
The air goes down the esophagus.
The air moves into the lungs.
The carbon dioxide is removed.
The remaining oxygen enters the body.
The remaining carbon dioxide is expelled through the mouth."
224,874How does coal get from the ground to a power plant?,874,How does oil get from the ground to a gas station?,Engineering,Engineering,How does coal get from the ground to a power plant?,Mining Engineering,"(drill, extracts, oil) like (excavator, extracts, coal). (tanker truck, transports, oil) like (train, transports, coal). (refinery, processes, oil) like (power plant, processes, coal)","Oil is extracted from the ground by a drill. The extracted oil is then transported to a refinery via a tanker truck. At the refinery, the oil is processed and prepared for use. From the refinery, the oil is transported again via a tanker truck to a gas station and stored in tanks ready for purchase.","Coal is extracted from the ground by an excavator.  The excavated coal is then loaded onto a train and transported to a power plant. Once the coal arrives to the power plant, it is processed to generate electricity."," Coal is extracted from the ground by an excavator. Once the coal is extracted, it is immediately processed to generate electricity at the power plant. After the coal has been processed, it is then loaded onto a train and transported to the power plant.","Fish lays eggs.
Eggs hatch.
Tiny fish called fry emerge.
Fry eat and grow.
Fry become adult fish.
Fish mate and more eggs are produced."
225,140How does the human heart work?,140,How do the lungs work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the human heart work?,Cardiology,"(lungs, take in, oxygen) like (heart, take in, oxygen), (lungs, expel, carbon dioxide) like (heart, expel, carbon dioxide), (air, passes through, alveoli) like (blood, passes through, chambers)","The lungs are responsible for taking in oxygen from the atmosphere and exchanging it with carbon dioxide from the bloodstream. When we inhale, the lungs draw in oxygen from the air, and when we exhale, the lungs push out the carbon dioxide. This exchange of gases allows us to breathe and provide our body with the oxygen it needs to function.","The human heart is responsible for pumping oxygen-rich blood throughout the body. It takes in oxygen from the lungs and transports it through the arteries to all parts of the body. At the same time, the heart pumps out carbon dioxide from the body's cells, which is expelled by the lungs. The heart is therefore a crucial part of the body's circulatory system, ensuring that oxygen and carbon dioxide are exchanged between the body and the environment."," The heart first pumps out carbon dioxide from the body's cells, which the lungs expel. Following this, the human heart pumps oxygen-rich blood throughout the body. After pumping oxygen-rich blood, the heart takes in oxygen from the lungs and transports it through the arteries to all parts of the body. Finally, the heart is part of the body's circulatory system, ensuring that oxygen and carbon dioxide are exchanged between the body and the environment.","The consumer throws aluminum cans and foil into a recycle bin.
The aluminum is collected.
Taken to a treatment plant.
The aluminum is sorted and cleaned ready for reprocessing.
The aluminum is re-melted.
Turned into molten aluminum.
The aluminum is made into large blocks called ingots.
The ingots are sent to mills to be rolled out.
The rolled out product is made into new aluminum products."
226,925How does an artificial lung assist a patient's breathing?,925,What do lungs do?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does an artificial lung assist a patient's breathing?,Biomedical and Health Sciences,"(Lungs, absorb, oxygen) like (Artificial Lung, absorb, oxygen) . (Lungs, expel, carbon dioxide) like (Artificial Lung, expel, carbon dioxide) . (Lungs, exchange, gases) like (Artificial Lung, exchange, gases)","The lungs are vital organs that are used for the exchange of gases. They absorb oxygen from the atmosphere and expel carbon dioxide back into the atmosphere. The oxygen is then transported to the rest of the body and used in the production of energy. The lungs also help to remove excess carbon dioxide from the body. By exchanging these two gases, the lungs play an essential role in keeping the body functioning.",An artificial lung is a device used to assist a patient's breathing. It works by exchanging gases between the patient's lungs and the environment. The artificial lung absorbs oxygen from the environment and then expels carbon dioxide. This exchange of gases helps the patient to breathe and increases the oxygen levels in the patient's blood.," An artificial lung is used to assist a patient's breathing. This exchange of gases increases the oxygen levels in the patient's blood. Then, the artificial lung absorbs oxygen from the environment. Finally, the artificial lung expels carbon dioxide.","Minerals fill spaces between bits of sediment.
The sediments become glued together.
The glued together parts become hard like cement.
The sediment becomes a big rock.
The rocks erode slowly.
The rocks come apart.
The rocks become smaller rocks.
The rocks continue to erode into smaller rocks.
The process starts again."
227,1203How are hormones secreted in the body?,1203,How are proteins synthesized in a cell?,Biomedical and Health Sciences,Social Sciences,How are hormones secreted in the body?,Biomedical and Health Sciences,"(DNA, codes for, proteins) like (DNA, codes for, hormones). (ribosomes, synthesize, proteins) like (glands, secrete, hormones). (amino acids, build, proteins) like (amino acids, build, hormones)","Proteins are synthesized in a cell through a process known as translation. DNA codes for the information of the proteins, which is then used to synthesize the proteins. Ribosomes bind to the mRNA transcript of the gene and use the information to assemble amino acids together, which build the proteins.","The DNA codes for hormones, which are proteins that regulate biological processes in the body. To make these hormones, the body uses amino acids to build them. The glands in the body secrete these hormones into the bloodstream. As the hormones are released, they travel throughout the body to reach their target cells."," Initially, the glands in the body secrete hormones into the bloodstream. Following this, the DNA codes for these hormones. Subsequently, the body uses amino acids to build these hormones. Finally, the hormones are released and travel throughout the body to reach their target cells.","Get some seeds.
Pick a spot to plant them.
Dig a hole in the dirt.
Put the seed in the hole.
Pour some water on the seed and hole.
Cover up the hole.
Press down on it.
Spray some plant food on it."
228,619Describe how nutrients reach cells in the body,619,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Biomedical and Health Sciences,Describe how nutrients reach cells in the body,Biomedical and Health Sciences,"(alveoli, absorb, oxygen) like (intestines, absorb, nutrients). (oxygen, transported, bloodstream) like (nutrients, transported, bloodstream). (hemoglobin, carries, oxygen) like (albumin, carries, nutrients)","Oxygen enters the body through the alveoli in the lungs, where it is absorbed and transported into the bloodstream. The oxygen is then carried in the bloodstream by hemoglobin, which delivers the oxygen to cells throughout the body. The hemoglobin binds to the oxygen molecules and transports them to the cells, where they are used to produce energy.","The intestines absorb nutrients from the food that we eat. These nutrients are then transported by the bloodstream throughout the body. Albumin, a protein found in the blood, binds the nutrients and carries them to the cells in the body."," The intestines absorb nutrients from the food that we eat. Then, Albumin, a protein found in the blood, binds the nutrients and carries them to the cells in the body. Afterward, these nutrients are transported by the bloodstream throughout the body.","Plants produce fruit which contain seeds of the plant.
An animal eats the fruit from a plant.
The animal digests the fruit.
The seeds are not digested.
The seeds pass through the animal's digestive system.
The seeds are in the animal's droppings.
The seeds are now in another location and can grow."
229,1310Describe how humans prepare for winter.,1310,Describe how squirrels prepare for winter.,Natural Sciences,Social Sciences,Describe how humans prepare for winter.,Social Sciences,"(squirrels, store, food) like (humans, store, supplies). (squirrels, find, shelter) like (humans, seek, shelter). (squirrels, huddle, together) like (humans, socialize, together)","Squirrels prepare for the winter by storing food to sustain themselves throughout the cold months. They also find shelter to protect themselves from the harsh weather. To keep warm, squirrels huddle together to share their body heat. This helps them survive the winter and prepare for the spring.","As winter approaches, humans prepare for the cold season. One of the ways humans prepare for winter is by storing supplies, such as food and clothing, to help them survive the cold months. They also seek shelter from the winter elements and socialize together to stay warm. Humans also use fire and other sources of heat to help keep themselves warm during the winter."," As winter approaches, humans prepare for the cold season. They then use fire and other sources of heat to keep warm during the winter. After they have started keeping warm, they store supplies, such as food and clothing, to survive the cold months. Finally, humans seek shelter to be safe from the winter elements and socialize together to stay warm.","The frog eggs hatch.
The tadpole breaks free.
Slowly, the gills disappear over the next 6 weeks.
The hind legs begin to form at 8 weeks.
The front legs form at 12 weeks.
The tail shrinks.
The mouth grows larger.
The tadpole can live on land as a frog."
230,540How does a heart work?,540,How do lungs work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does a heart work?,Cardiology,"(lungs, inhale, oxygen) like (heart, pump, oxygen-rich blood). (lungs, exhale, carbon dioxide) like (heart, pump, carbon dioxide-rich blood). (lungs, exchange, oxygen and carbon dioxide) like (heart, exchange, oxygen-rich and carbon dioxide-rich blood)","Lungs are responsible for breathing in oxygen and exhaling carbon dioxide. They help to exchange oxygen and carbon dioxide in the body. This exchange is facilitated by the inhalation of oxygen and exhalation of carbon dioxide by the lungs. The oxygen is then used by the body while the carbon dioxide is expelled. The lungs are important in this exchange process, as they are responsible for bringing oxygen into the body and expelling carbon dioxide.",The heart is responsible for pumping oxygen-rich blood throughout the body and pumping carbon dioxide-rich blood back to the lungs. The heart is a muscular organ that continuously pumps and circulates blood throughout the body in order to exchange oxygen-rich and carbon dioxide-rich blood. It is the heart's job to keep the blood circulating and to ensure the body is supplied with oxygen-rich and carbon dioxide-rich blood.," The heart pumps oxygen-rich blood throughout the body. Then, the heart ensures the body is supplied with oxygen-rich and carbon dioxide-rich blood. After ensuring the supply, the heart pumps carbon dioxide-rich blood back to the lungs. Finally, the heart continuously circulates blood throughout the body to exchange oxygen-rich and carbon dioxide-rich blood.","The growing season starts.
Bark grows on a tree.
The inside of the tree grows.
The bark is pushed out around the tree trunk.
The bark leaves a ring.
The growing season slows down and ends."
231,794How do the kidneys work?,794,How do the lungs work?,Biomedical and Health Sciences,Natural Sciences,How do the kidneys work?,Anatomy and Physiology,"(lungs, take in, oxygen) like (kidneys, take in, nutrients). (lungs, expel, carbon dioxide) like (kidneys, expel, waste). (lungs, regulate, pH levels) like (kidneys, regulate, electrolyte levels)","The lungs are essential for our body to function properly. They take in oxygen from the atmosphere and expel carbon dioxide. The lungs also play an important role in regulating the pH levels in our bodies. Oxygen is taken in through the lungs, which is then circulated through our body by the bloodstream. Carbon dioxide is then expelled from the body through the lungs. The lungs also help to regulate the pH levels in our body by reducing the amount of acidity in the bloodstream.","The kidneys are important organs that help the body maintain its balance. They take in nutrients, expel waste, and regulate electrolyte levels. Nutrients are filtered through the kidneys and used to nourish the body. Waste is removed from the bloodstream and expelled from the body. The kidneys also help to regulate electrolyte levels, such as sodium and potassium, to ensure the body is functioning properly."," The kidneys take in nutrients. Following this, waste is removed from the bloodstream and expelled from the body. After the waste is expelled, nutrients are filtered through the kidneys and used to nourish the body. Finally, the kidneys help to regulate electrolyte levels, such as sodium and potassium.","The oil is extracted either onshore or offshore by large oil rigs.
Crude oil is transported to a refinery.
The refinery turns the crude oil into gasoline.
The gasoline is loaded onto tank trucks.
The tank trucks go to gas stations all over the place.
The gasoline is delivered to the gas station."
232,490Describe the process of respiration,490,Describe the process of digestion,Biomedical and Health Sciences,Natural Sciences,Describe the process of respiration,Biology,"(mouth, intakes, food) like (nose, intakes, oxygen). (stomach, breaks down, food) like (lungs, breaks down, oxygen). (small intestine, absorbs, nutrients) like (bloodstream, absorbs, oxygen). (large intestine, eliminates, waste) like (lungs, eliminates, carbon dioxide)","The process of digestion begins with the mouth, where food is taken in and mixed with saliva. The food then moves down the esophagus to the stomach, where it is broken down by stomach acids and enzymes. From the stomach, the food moves to the small intestine, where nutrients are absorbed and sent to the bloodstream. Finally, the large intestine eliminates the waste material from the body.","The process of respiration begins with the intake of oxygen through the nose. The oxygen is then transported to the lungs, where it is broken down into smaller molecules. These molecules can then be absorbed into the bloodstream, where they are then circulated throughout the body. The lungs also play an important role in respiration by eliminating carbon dioxide from the bloodstream."," The process of respiration begins with the intake of oxygen through the nose. Then, the lungs play an important role in respiration by eliminating carbon dioxide from the bloodstream. After that, the oxygen is transported to the lungs. There, it is broken down into smaller molecules. Finally, these molecules can then be absorbed into the bloodstream, where they are then circulated throughout the body.","Energy is stored in a battery.
The energy is released from the battery as electrical current.
The electrical current goes to a motor.
The motor makes the needle of the sewing machine go up and down.
The needle is pressed through the piece of clothing at a constant rate.
Thread is attached and used to stitch the clothing."
