,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,analogy_type,predicted_label
916,113What happens during digestion?,113,What happens during photosynthesis?,Natural Sciences,Social Sciences,What happens during digestion?,Human Biology,"(light, activates, chlorophyll) like (enzymes, activates, food molecules). (carbon dioxide, combines with, water) like (food molecules, combines with, saliva). (glucose, produced, by photosynthesis) like (nutrients, produced, by digestion)","During photosynthesis, light is absorbed by chlorophyll and activate it. This energy is used to combine carbon dioxide and water, releasing oxygen in the process. The energy is then used to create glucose, which is the end product of photosynthesis.","During digestion, enzymes in the stomach and small intestine activate food molecules, breaking them down into smaller molecules. The food molecules then combine with saliva and are further broken down. The process of digestion produces essential nutrients that the body needs in order to function properly.",,1
917,528Describe the breeding behavior of a rabbit,528,Describe the life cycle of a rabbit,Natural Sciences,Social Sciences,Describe the breeding behavior of a rabbit,Behavioral Sciences,"(infant, grows, into an adult) like (rabbit, matures, into an adult). (birth, marks, the beginning) like (mating, marks, the beginning). (humans, reproduce, sexually) like (rabbits, reproduce, sexually)","The life cycle of a rabbit begins at birth. Infants grow into adults over the course of several months, during which they develop the skills and behaviors needed for survival. Unlike humans, rabbits reproduce sexually, with the female giving birth to newborn kits. The kits grow quickly, reaching maturity in just a few months. At maturity, the rabbits are ready to reproduce and continue the life cycle.","Rabbits mature into an adult at around 4-5 months of age. When they reach this stage, mating marks the beginning of the breeding behavior. Rabbits reproduce sexually and the female rabbit is able to produce a litter every 28 to 35 days. The mating season for rabbits usually begins in late winter and continues until late summer. The litter size varies depending on the breed and can range from one to twelve rabbits.",,2
918,1158How does the respiratory system work?,1158,How does the digestive system work?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the respiratory system work?,Biomedical and Health Sciences,"(mouth, ingests, food) like (nose, inhales, air). (stomach, breaks down, food) like (lungs, oxygenate, blood). (intestine, absorbs, nutrients) like (alveoli, absorbs, oxygen)","The digestive system is responsible for breaking down food into its basic components, so that the body can absorb the nutrients.  The process begins in the mouth, where food is ingested.  The food is then passed to the stomach, where it is broken down further.  The broken down food is then sent to the intestine, where the body absorbs the nutrients.  The intestine absorbs the nutrients from the food and passes the waste material through the digestive system and out of the body.","The respiratory system begins with the nose, which inhales air. The air is then carried through the trachea and bronchi until it reaches the lungs, where it is oxygenated. The oxygenated air is then sent to the alveoli, where oxygen is absorbed into the blood. The blood then carries the oxygen throughout the body, providing energy to the cells.",,2
919,519Describe the metamorphosis of a butterfly,519,Describe the life cycle of a fish,Natural Sciences,Natural Sciences,Describe the metamorphosis of a butterfly,Biology,"(egg, hatch, larvae) like (caterpillar, become, chrysalis). (juvenile, grow, adult) like (chrysalis, transform, butterfly). (spawn, release, eggs) like (butterfly, lay, eggs)","The life cycle of a fish begins with an egg that hatches into a larvae. The larvae will grow and develop into a juvenile fish. As the fish matures, it will eventually become an adult. Adult fish will then spawn and release eggs into the water, starting the cycle all over again.","The metamorphosis of a butterfly starts with a caterpillar, which then becomes a chrysalis. The chrysalis undergoes a transformation process and eventually emerges as a butterfly. The butterfly then will lay eggs and the cycle will begin anew.",,1
920,1273How does the transmission of disease occur?,1273,How does pollination happen?,Natural Sciences,Biomedical and Health Sciences,How does the transmission of disease occur?,Biomedical and Health Sciences,"(bees, carry, pollen) like (mosquitoes, carry, viruses) . (flowers, attract, bees) like (hosts, attract, pathogens) . (pollen, fertilizes, ovule) like (viruses, infect, cells)","Pollination is the process of transferring pollen from the male part of a flower to the female part. This is usually done by animals, such as bees, which carry the pollen on their bodies. Flowers have developed structures such as nectar and bright colors to attract bees to carry the pollen. Once the pollen reaches the ovule, it fertilizes it, allowing it to grow and produce seeds.","Transmission of disease occurs when pathogens are carried from one host to another. For example, mosquitoes can carry viruses from one host to the next, thus allowing the disease to spread. These pathogens can be attracted to hosts, where they can infect cells and cause the disease to spread further.",,1
921,526Describe the life cycle of a society,526,Describe the life cycle of a human,Biomedical and Health Sciences,Social Sciences,Describe the life cycle of a society,Sociology,"(infants, grow, adults) like (villages, grow, cities); (adults, reproduce, children) like (communities, reproduce, cultures); (elders, pass away, death) like (societies, decline, dissolution).","The life cycle of a human beings starts with infancy, when newborns grow rapidly, developing into children and adolescents before reaching adulthood. As adults, they reach their peak physical and mental capabilities, and then slowly begin the decline of aging. Eventually, they reach the end of their life cycle, when they pass away. Throughout this process, infants grow into adults, while adults experience the gradual decline of aging.","A society typically starts from small villages that grow over time into cities. As the population of the society grows, adults reproduce and give birth to children. These children then grow up and become adults themselves, continuing the cycle of growth and reproduction.",,1
923,330How do solar cells convert sunlight into electricity?,330,How do green plants get the energy they need?,Natural Sciences,Engineering,How do solar cells convert sunlight into electricity?,Electrical Engineering,"(chlorophyll, absorbs, sunlight) like (photovoltaic cell, absorbs, light). (CO2, combines with, H2O) like (silicon, combines with, electrical charge). (sugar, creates, energy) like (electric current, creates, power)","Green plants get the energy they need through a process known as photosynthesis. This process involves chlorophyll absorbing sunlight, which is then used to combine carbon dioxide (CO2) and water (H2O) to create sugar molecules. This sugar is then used as an energy source for the plant.","Solar cells, also known as photovoltaic cells, are designed to absorb light and convert it into electricity. When sunlight hits the solar cell, the silicon within the cell combines with the electrical charge and creates an electric current. This electric current produces a flow of electrons, which in turn produces the power that can be used to power various devices.",,2
924,611Describe how bacteria can contaminate a water supply.,611,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Engineering,Describe how bacteria can contaminate a water supply.,Environmental Engineering,"(acidity, increases, corrosion) like (disease-causing bacteria, increases, water contamination). (rainwater, dissolves, pollutants) like (bacteria, multiplies, in water). (soil, absorbs, pollutants) like (water, absorbs, bacteria)","Bacteria can cause disease through a variety of mechanisms. For example, the acidity produced by bacteria can increase corrosion of the surfaces it contacts. Additionally, bacteria can dissolve pollutants in rainwater and the soil can absorb these pollutants. This can cause further damage to the environment and potentially harm humans and animals.","Disease-causing bacteria can increase the contamination of a water supply. The bacteria can be introduced to the water supply through various sources, and once present, it begins to multiply in the water. As the bacteria multiplies, the water absorbs more and more of it, resulting in a contaminated water supply.",,1
926,449What happens during the water cycle,449,What happens during the rock cycle,Natural Sciences,Social Sciences,What happens during the water cycle,ydrology,"(weathering, breaks down, rocks) like (evaporation, breaks down, water). (sediment, transported by, wind) like (water vapor, transported by, air). (lava, forms, igneous rocks) like (precipitation, forms, lakes/rivers)","The rock cycle is a continuous process that describes how rocks are continually changing between the three major rock types: sedimentary, igneous, and metamorphic. The process begins with weathering, which is the breaking down of rocks into smaller pieces. These pieces are then transported by wind, water, and ice, and form sedimentary rocks. When the sedimentary rocks are heated and pressurized, they form metamorphic rocks. Finally, when molten rock (lava) cools and solidifies, it forms igneous rocks.","The water cycle begins with the evaporation of water, which breaks down the water molecules into vapor. The water vapor is then transported by the air and rises up into the atmosphere. Once it cools, it condenses and forms clouds. Eventually, the clouds become heavy with water and precipitation forms, resulting in rain or snow that flows into lakes and rivers.",,2
928,1216How does a hormone regulate the body's metabolism?,1216,How does insulin help the body?,Biomedical and Health Sciences,Social Sciences,How does a hormone regulate the body's metabolism?,Biomedical and Health Sciences,"(insulin, triggers, glucose uptake) like (hormone, triggers, metabolic processes). (insulin, lowers, glucose levels) like (hormone, lowers, metabolic rate). (insulin, helps, cells absorb glucose) like (hormone, helps, cells absorb nutrients)","Insulin is a hormone that triggers the uptake of glucose into the cells of the body. It helps the cells to absorb glucose from the bloodstream, which lowers the glucose levels in the body. Without insulin, the cells cannot absorb glucose, leading to elevated glucose levels in the blood.","Hormones play an important role in regulating the body's metabolism. They act as messengers, triggering metabolic processes that help the body to better utilize stored energy. For instance, a hormone can lower the metabolic rate, thereby slowing the rate of energy expenditure. It can also help cells to absorb nutrients from the bloodstream more efficiently.",,2
929,1214How does a mechanical system of water pump works?,1214,How does insulin help the body?,Biomedical and Health Sciences,Engineering,How does a mechanical system of water pump works?,Mechanical Engineering,"(insulin, regulates, glucose levels) like (pump, regulates, water pressure). (hormone, facilitates, absorption of glucose) like (valve, facilitates, flow of water). (blood vessels, transport, glucose) like (pipes, transport, water)","Insulin is a hormone that helps regulate glucose levels in the body. It facilitates the absorption of glucose from the bloodstream into the cells. The hormone binds to receptors on the cells, allowing them to access glucose from the blood vessels and transport it into the cells. This helps to ensure that the body maintains a healthy level of glucose.","A mechanical system of water pump is used to regulate water pressure. A valve is used to facilitate the flow of water. The pump helps to increase the pressure of the water by pushing it through the pipes which transport it to the desired destination. The valve helps control the flow of water as it passes through the pipes. The pressure of the water is regulated by the pump, and the valve helps to ensure the right amount of water is flowing through the system.",,1
930,392How does a solar panel generate electricity?,392,How does a coal-powered power station generate electricity?,Engineering,Engineering,How does a solar panel generate electricity?,Electrical Engineering,"(coal, burns, heat) like (solar cells, absorb, sunlight). (heat, converts, thermal energy) like (sunlight, converts, electrical energy). (thermal energy, powers, generator) like (electrical energy, powers, inverter)","A coal-powered power station generates electricity by burning coal, which produces heat. This heat is used to convert water into steam, which creates thermal energy. This thermal energy is used to power a generator which produces electricity. The generator uses the thermal energy to rotate a turbine and create electricity. The electricity is then sent out to be used in homes and businesses.","A solar panel is made up of multiple solar cells that absorb sunlight. The solar cells convert the sunlight into electrical energy. The electrical energy is then used to power an inverter, which converts direct current (DC) electricity into alternating current (AC) electricity, making it suitable for powering household appliances.",,1
934,364Describe how air pollution can harm human health.,364,Describe how acid rain can affect the environment.,Natural Sciences,Natural Sciences,Describe how air pollution can harm human health.,Environmental Science,"(acid rain, corrodes, buildings) like (air pollution, damages, lungs). (acid rain, leaches, minerals) like (air pollution, releases, toxins). (acid rain, acidifies, soil) like (air pollution, contaminates, air)","Acid rain is formed when pollutants are released into the atmosphere and react with water droplets. This corrosive form of precipitation can have a disastrous effect on the environment. It can corrode buildings, leach minerals from the soil, and acidify the soil. Furthermore, acid rain can damage crops and harm aquatic life, leading to a decrease in biodiversity.","Air pollution can have a serious impact on human health. It releases various toxins into the air which can damage the lungs and other organs. Additionally, air pollution can contaminate the air, leading to health complications such as respiratory illnesses and various allergies. Prolonged exposure to air pollution can even lead to cancer.",,1
938,478Describe the photosynthesis process,478,Describe the process of the greenhouse effect,Natural Sciences,Natural Sciences,Describe the photosynthesis process,Botany,"(sunlight, absorbs, infrared radiation) like (sunlight, absorbs, carbon dioxide). (atmosphere, traps, heat) like (chloroplasts, traps, light energy). (greenhouse gases, increase, temperature) like (chlorophyll, increases, photosynthesis rate)","The greenhouse effect is a natural process that is essential for the Earth's climate. Sunlight is absorbed by the Earth's surface and re-emitted as infrared radiation. This infrared radiation is then trapped by the atmosphere, causing an increase in temperature. This is further amplified by the presence of greenhouse gases, which increase the amount of heat trapped in the atmosphere.","Photosynthesis is the process of transforming light energy from the sun into chemical energy. In this process, carbon dioxide is absorbed from the air and water is taken up from the ground. The chloroplasts in the plant cells trap the light energy from the sun, which is then converted into chemical energy. Chlorophyll in the plant cells helps to increase the photosynthesis rate.",,1
939,1064Describe the life cycle of a bee.,1064,Describe the life cycle of a mushroom.,Natural Sciences,Natural Sciences,Describe the life cycle of a bee.,Entomology,"(spore, germinates, hyphae) like (egg, hatches, larva). (hyphae, grows, mushroom) like (larva, develops, bee). (spores, disperse, environment) like (pollen, distributes, flowers)","The life cycle of a mushroom begins with a spore that germinates and grows into a network of filaments known as hyphae. The hyphae grow and develop into the body of the mushroom. When the mushroom matures, the spores disperse into the environment and the cycle begins again. The spores germinate and develop into hyphae, which then grows into a mushroom and the cycle continues.","The life cycle of a bee begins with an egg being laid. The egg then hatches into a larva, which develops over time into an adult bee. Once an adult, the bee will then collect nectar and pollen from flowers to feed itself and its colony. The pollen collected is also used to distribute to other flowers as part of the process of pollination.",,1
941,493Describe the process of metabolism,493,Describe the process of hibernation,Natural Sciences,Biomedical and Health Sciences,Describe the process of metabolism,Biomedical and Health Sciences,"(animal, slows down, heart rate) like (cell, slows down, energy production). (body temperature, drops, degrees Celsius) like (metabolic rate, drops, calories burned). (hibernation, conserves, energy) like (metabolism, conserves, nutrients)","Hibernation is a process in which an animal slows down its heart rate and body temperature drops several degrees Celsius. This helps conserve energy by reducing the animal's metabolic rate. During hibernation, the animal's energy expenditure is significantly reduced and it can survive on the stored energy.","Metabolism is the process that cells use to convert food into energy. When the cell slows down its energy production, the metabolic rate drops and fewer calories are burned. By conserving nutrients, metabolism helps maintain the body's energy balance and supports vital functions such as breathing and digestion.",,2
942,1208How does a society function effectively?,1208,How does the internal combustion engine work?,Engineering,Social Sciences,How does a society function effectively?,Social Sciences,"(combustion, powers, engine) like (culture, powers, society). (spark plug, ignites, fuel) like (values, ignite, behavior). (piston, compresses, fuel) like (laws, compress, behavior)","The internal combustion engine works by combustion, which powers the engine. The spark plug ignites the fuel, and the piston compresses the fuel, both of which create a spark, causing combustion. The combustion of the fuel produces energy that powers the engine. The energy from the combustion forces the piston to move, thus providing power to the engine.","Culture is the driving force behind any society. It provides the values that ignite the behavior of its citizens. The values that form culture are further compressed and structured through laws, which act as a framework to guide behavior. With these elements in place, a society can function effectively.",,1
945,1066Describe the life cycle of a wind turbine.,1066,Describe the life cycle of a mushroom.,Natural Sciences,Engineering,Describe the life cycle of a wind turbine.,Mechanical Engineering,"(spores, spread, environment) like (blades, spread, wind). (germination, initiates, growth) like (rotation, initiates, energy production). (mycelium, absorbs, nutrients) like (generator, absorbs, energy). (cap, produces, spores) like (tower, produces, electricity)","The life cycle of a mushroom begins when its spores spread and settle in the environment. This is followed by germination, which initiates the growth of the mushroom. The mycelium then forms and begins to absorb the necessary nutrients for growth. As the mushroom matures, a cap forms and produces more spores, thus completing the life cycle.","The life cycle of a wind turbine begins when the blades spread the wind, causing the turbine to rotate. This rotation initiates energy production, which is absorbed by the generator. The generator then converts the kinetic energy of the wind turbine into electricity. Finally, the electricity is carried down the tower, where it can be used for various purposes.",,1
949,1218How do organs form in the human body?,1218,How do forests form?,Natural Sciences,Biomedical and Health Sciences,How do organs form in the human body?,Biomedical and Health Sciences,"(seeds, germinate, soil) like (cells, divide, tissue). (trees, grow, sunlight) like (organs, develop, nutrients). (flora, interact, fauna) like (cells, interact, hormones)","Forests begin with small seeds that germinate in the soil. As the trees grow, they absorb sunlight which helps them to establish their roots and grow taller. Over time, other flora and fauna begin to interact and form the complex ecosystem that is a forest. The flora and fauna interact in such a way that it helps to maintain the balance of the environment.","The process of organs forming in the human body begins with cells dividing and forming different types of tissue. These cells interact with hormones and develop into organs as they absorb nutrients. The cells form various layers, each of which has a distinct structure and purpose. Each layer of cells is specialized for a particular function, allowing organs to perform complex tasks. Hormones and nutrients help facilitate the formation and growth of organs in the body.",,1
955,135How do people use communication techniques?,135,How do bats use echolocation?,Natural Sciences,Social Sciences,How do people use communication techniques?,Social Sciences,"(bats, emit, sound waves) like (people, emit, verbal messages). (sound waves, bounce off, objects) like (verbal messages, bounce off, social norms). (ultrasound, travels through, mediums) like (language, travels through, cultures)","Bats use echolocation to navigate their environment. They emit sound waves which bounce off of objects in their surroundings. These sound waves travel in the form of ultrasound, which can travel through different mediums such as air and water. The sound waves return to the bat, which then interprets the echoes to determine the size, shape, and location of the objects in their environment.",People use communication techniques to express their thoughts and feelings. They emit verbal messages that are shaped by the social norms they live in. These verbal messages bounce off the cultural context in which they are received. Language is a powerful tool that travels through cultures and can bring people together.,,1
956,555How does the body regulate the level of hormones?,555,How does the body control its blood sugar level?,Biomedical and Health Sciences,Natural Sciences,How does the body regulate the level of hormones?,Biochemistry,"(pancreas, produces, insulin) like (pituitary gland, produces, hormones). (blood sugar, rises, when food is eaten) like (hormone levels, rises, when stress is experienced). (insulin, lowers, blood sugar) like (hormones, lowers, hormone levels)","The body controls its blood sugar level by producing insulin in the pancreas. When food is eaten, the blood sugar rises. In response, the pancreas produces insulin, which is released into the bloodstream. Insulin helps to lower the blood sugar by encouraging cells to take in glucose from the bloodstream.","The pituitary gland produces hormones that regulate the body's functions. When the body experiences stress, the hormone levels in the body rise. The hormones produced by the pituitary gland act to lower the hormone levels in the body, thus helping to regulate the body's hormones and maintain homeostasis.",,2
957,921What causes an earthquake?,921,What causs a volcano to erupt?,Natural Sciences,Natural Sciences,What causes an earthquake?,Geology,"(magma, heats, rocks) like (tectonic plates, shifts, rocks). (volcanic gases, builds up, pressure) like (tectonic plates, builds up, tension). (eruption, releases, lava) like (earthquake, releases, seismic energy)","Volcanic eruptions are caused by the build up of pressure from the volcanic gases that are released as magma heats up the rocks. The pressure builds up until it is released through an eruption, which releases lava and ash into the atmosphere. The magma heats the rocks around the volcano, causing them to expand and increase the pressure, eventually leading to an eruption.","An earthquake is caused by the shifting of tectonic plates. The movement of rocks creates tension, which builds up over time. The sudden release of this tension results in the earthquake and the release of seismic energy.",,2
961,1224How does a solar energy system work?,1224,How does a nuclear power plant work?,Engineering,Social Sciences,How does a solar energy system work?,Renewable Energy Engineering,"(nuclear reactor, produces, thermal energy) like (solar cell, produces, electricity). (heat exchanger, converts, steam) like (inverter, converts, alternating current). (turbine, rotates, generator) like (panel, rotates, motor)","A nuclear power plant works by using a nuclear reactor to produce thermal energy. This thermal energy is then passed through a heat exchanger, which converts it into steam. The steam passes through a turbine, which causes it to rotate and in turn, rotates the generator. The generator then produces electricity from the rotation of the turbine.","A solar energy system works by using solar cells to produce electricity. The solar cells capture the energy from the sun and convert it into electricity. The electricity is then sent to an inverter, which converts it from direct current to alternating current. The panel is attached to a motor which rotates it to face the sun. This helps the solar cells to capture more sunlight, which in turn produces more electricity.",,1
965,112What happens during cellular respiration?,112,What happens during photosynthesis?,Natural Sciences,Natural Sciences,What happens during cellular respiration?,Biology,"(light, provides, energy) like (glucose, provides, energy), (chlorophyll, absorbs, light) like (mitochondria, absorbs, glucose), (carbon dioxide, is converted to, oxygen) like (oxygen, is converted to, carbon dioxide)","During photosynthesis, light energy is absorbed by chlorophyll molecules. This energy is then used to convert carbon dioxide and water into glucose, releasing oxygen as a by-product. The light energy provides the energy needed to drive this process.","Cellular respiration is a metabolic process that occurs in cells and involves the breakdown of glucose molecules to produce energy. Glucose provides the energy needed to power cellular activities. During this process, the chlorophyll in the cells absorbs light energy and converts it to the chemical energy that is used to power the cell.",,1
967,807How does a cooling system of a refrigerator work?,807,How do you make ice cubes?,Engineering,Engineering,How does a cooling system of a refrigerator work?,Mechanical Engineering,"(water, freeze, ice cubes) like (refrigerant, cools, air). (freezer, cools, water) like (compressor, pressurizes, refrigerant). (tray, holds, water) like (condenser, releases, heat)","To make ice cubes, you need to start with water. The water needs to be frozen, and this is done by placing it in the freezer. The freezer cools the water, and eventually it will freeze into ice cubes. An ice cube tray can be used to hold the water while it is freezing. Once the water is frozen, you can remove the ice cubes from the tray and enjoy them!","The cooling system of a refrigerator works by circulating refrigerant through the appliance. The refrigerant is pressurized by the compressor, causing it to become hotter. The refrigerant then passes through the condenser, releasing its heat and cooling the air. The cooled air is then circulated throughout the refrigerator, keeping it at a consistent temperature.",,1
971,1184How does an enzyme catalyze a reaction?,1184,How does does a battery produce electricity?,Engineering,Natural Sciences,How does an enzyme catalyze a reaction?,Biochemistry,"(battery, produces, electricity) like (enzyme, catalyzes, reaction). (electrons, flow through, circuit) like (substrates, flow through, active site). (chemical reaction, releases, energy) like (catalyzed reaction, releases, energy)","A battery produces electricity when electrons flow through a circuit. The process begins with a chemical reaction inside the battery, which releases energy. This energy is then converted into electrical energy, which causes the electrons to flow through the circuit. The electricity is then ready to be used in various applications.","Enzymes act as catalysts for chemical reactions. They accelerate the rate at which the reaction occurs without being used up in the process.  Enzymes catalyze reactions by binding the substrates, which flow through the active site. This binding causes a conformational change in the enzyme, which results in the catalyzed reaction that releases energy.",,1
972,1258How is a nuclear reactor formed?,1258,How is a black hole formed?,Natural Sciences,Engineering,How is a nuclear reactor formed?,Nuclear Engineering,"(gravity, compresses, matter) like (nuclear fission, compresses, fuel). (star, collapses, core) like (uranium, collapses, nucleus) . (singularity, forms, black hole) like (critical mass, forms, reactor)","A black hole is formed when gravity compresses matter together. This occurs when a star collapses and its core is unable to withstand the intense gravitational force. The matter is compressed until it becomes a singularity, which is so dense that its gravity forms a black hole.","A nuclear reactor is formed when nuclear fission compresses the fuel. The process of nuclear fission involves a uranium atom, which compresses and collapses its nucleus, resulting in a critical mass. This critical mass forms an atomic reaction that creates a nuclear reactor.",,1
974,939What happens during respiration in humans?,939,What happens during photosynthesis?,Natural Sciences,Biomedical and Health Sciences,What happens during respiration in humans?,Biomedical and Health Sciences,"(light, provides, energy) like (food, provides, energy) . (carbon dioxide, absorbs, sunlight) like (oxygen, absorbs, nutrients). (chlorophyll, converts, energy) like (mitochondria, converts, energy)","Photosynthesis is a process that occurs in plants and some bacteria. During this process, light from the sun provides energy to the plant. Carbon dioxide from the air absorbs the sunlight, which is then used by chlorophyll to convert the energy into usable forms. The energy is then used by the plant to produce food.","During respiration in humans, the food we consume provides us with energy. We absorb oxygen, which is then used to break down the nutrients in our food, releasing energy in the process. The energy is then transported to the mitochondria, where it is converted into a form that can be used by our cells.",,1
977,493Describe the process of healing from a wound,493,Describe the process of hibernation,Natural Sciences,Biomedical and Health Sciences,Describe the process of healing from a wound,Biomedical and Health Sciences,"(animal, enters, hibernation) like (body, enters, healing). (body, slows, metabolism) like (wound, slows, healing process). (body, lowers, body temperature) like (wound, lowers, inflammation)","When an animal enters the hibernation process, its body slows its metabolism and lowers its body temperature. This allows the animal to conserve energy and survive during colder times of the year. At this point, the animal will remain in a dormant state until the weather warms up and it is ready to come out of hibernation.","When a wound occurs, the body enters a healing process. The healing process involves the body repairing and regenerating the damaged cells. However, the wound can slow down the healing process, as the wound itself lowers the amount of inflammation, which is necessary for the healing process to be completed.",,1
979,978How does the burning of fossil fuels contribute to global warming?,978,How does coal contribute to acid rain?,Natural Sciences,Social Sciences,How does the burning of fossil fuels contribute to global warming?,Social Sciences,"(Coal, releases, sulfur dioxide) like (Fossil fuels, releases, carbon dioxide). (Sulfur dioxide, reacts with, moisture in the air) like (Carbon dioxide, absorbs, heat energy). (Acid rain, forms as a result, of the reaction) like (Global warming, forms as a result, of the absorption)",Coal releases sulfur dioxide when it is burned. The sulfur dioxide reacts with the moisture in the air and forms sulfuric acid. The sulfuric acid then combines with other elements to form acid rain as a result of this reaction.,"The burning of fossil fuels releases carbon dioxide into the atmosphere. This carbon dioxide is a greenhouse gas, which absorbs heat energy and traps it in the atmosphere. As a result of the absorption of this heat energy, global warming forms and the climate changes.",,2
981,931What happens during a cardiac arrest?,931,What happens during a vocanic eruption?,Natural Sciences,Biomedical and Health Sciences,What happens during a cardiac arrest?,Biomedical and Health Sciences,"(magma, erupts, from the earth's surface) like (blood, pumps, from the heart). (pressure, builds up, beneath the surface) like (oxygen, builds up, in the bloodstream). (ash, rises, into the atmosphere) like (carbon dioxide, rises, in the blood)","A volcanic eruption is a violent release of energy from within the Earth. It occurs when magma erupts from the Earth's surface due to pressure building up beneath the surface. As the magma reaches the surface, ash and other materials are ejected into the atmosphere. This ash rises into the atmosphere, often creating a spectacular display of ash clouds.","During a cardiac arrest, the heart stops pumping blood, and oxygen begins to build up in the bloodstream. At the same time, the levels of carbon dioxide in the blood rise, leading to a state of metabolic acidosis. This results in a lack of oxygen in the brain and other organs, which can cause them to become damaged if not treated quickly.",,1
983,264How does the economic system of sharing resources works?,264,How does recycling work?,Engineering,Social Sciences,How does the economic system of sharing resources works?,Economics,"(plastic, collected, from households) like (resources, collected, from producers). (plastic, recycled, into new products) like (resources, distributed, to consumers). (recycling centers, process, plastic) like (government, regulate, resources)","Recycling is the process of collecting used plastic from households and turning it into new products. Recycling centers are responsible for processing the plastic, which involves sorting, cleaning, and shredding it into small pieces. From there, the plastic is melted and molded into new products. The process of recycling helps to reduce waste, conserve resources, and protect the environment.",The economic system of sharing resources works by collecting resources from producers and distributing them to consumers. The government plays an important role in regulating the resources and ensuring that they are properly allocated. It is responsible for setting the rules and regulations that are necessary to ensure the efficient and effective use of resources.,,1
985,772How do organizations work?,772,How do lungs work?,Biomedical and Health Sciences,Social Sciences,How do organizations work?,Organizational Studies,"(alveoli, absorb, oxygen) like (employees, absorb, information). (diaphragm, contracts, chest cavity) like (leadership, contracts, organization structure). (trachea, transports, air) like (policies, transports, culture)","The lungs are responsible for taking oxygen from the air and transporting it to the body. Air from the environment is inhaled through the trachea and travels down to the lungs, which are made up of tiny air sacs called alveoli. As the diaphragm contracts, it expands the chest cavity and causes air to enter the lungs. The alveoli absorb the oxygen from the air, and the air is then exhaled as carbon dioxide.","Organizations rely on their employees to absorb information and ensure the successful implementation of their strategies. Leadership is responsible for establishing and maintaining contracts that define the organization's structure. Policies, procedures and initiatives are then developed to transport and sustain the culture of the organization.",,1
986,690Describe the process of gathering information for a research study.,690,Describe the process of planting crops.,Natural Sciences,Social Sciences,Describe the process of gathering information for a research study.,Social Sciences,"(seeds, sow, soil) like (questions, ask, participants). (fertilizer, provide, nutrients) like (data, provide, insights). (water, nourish, crops) like (feedback, nourish, understanding)","The process of planting crops begins with sowing seeds into the soil. Fertilizer is then added in order to provide the necessary nutrients for the crops to grow. Finally, the crops need to be watered regularly in order to nourish them and ensure that they remain healthy.","Gathering information for a research study involves asking questions to participants in order to collect data. This data provides insights into the research study, which can help nourish understanding of the topic. Feedback from participants is also important in gathering information for a research study.",,1
990,1310Describe how a mammal's body adapts to a cold climate.,1310,Describe how squirrels prepare for winter.,Natural Sciences,Biomedical and Health Sciences,Describe how a mammal's body adapts to a cold climate.,Biomedical and Health Sciences,"(squirrels, store, food) like (mammal, store, fat). (squirrels, build, nests) like (mammal, produce, more fur). (squirrels, hibernate, during winter) like (mammal, slow down, metabolic rate)","In preparation for winter, squirrels will store food in various locations to have a supply during the colder months. They will also build nests in trees which will serve as a cozy place to hibernate during the winter. In addition to storing food and building nests, squirrels will also hibernate during the winter months in order to conserve energy.","When mammals live in colder climates, their bodies adapt to the environment. One way they do this is by storing fat to keep their bodies insulated from the cold. Mammals also produce more fur which helps to keep them warm. Additionally, their metabolic rate will slow down to conserve energy. All of these adaptations help mammals survive in a cold climate.",,2
991,232How does magnetic resonance imaging work?,232,How does echolocation work?,Natural Sciences,Biomedical and Health Sciences,How does magnetic resonance imaging work?,Biomedical and Health Sciences,"(echolocation, uses, sound waves) like (magnetic resonance imaging, uses, magnetic fields). (sonar, measures, reflected sound waves) like (MRI, measures, signals from hydrogen atoms). (echolocation, identifies, objects) like (MRI, identifies, tissue structures)",Echolocation uses sound waves to identify objects. It works by emitting a sound wave and then measuring the reflected sound waves. The reflected sound waves are then analyzed to allow echolocation to identify objects in its vicinity.,"Magnetic resonance imaging (MRI) is a technique that uses powerful magnetic fields to generate signals from hydrogen atoms within the body. These signals are then used to measure the changes in the surrounding tissue. This allows MRI to identify and distinguish between different tissue structures, allowing for detailed imaging of the body.",,1
995,552Describe how a market economy works,552,Describe how the pancreas works,Biomedical and Health Sciences,Social Sciences,Describe how a market economy works,Economics,"(pancreas, produces, hormones) like (market, produces, goods and services). (pancreas, regulates, glucose) like (market, regulates, prices). (pancreas, stores, enzymes) like (market, stores, resources)","The pancreas is an organ that plays an important role in the body. It produces hormones such as insulin and glucagon, which help regulate glucose levels in the body. It also stores digestive enzymes that are released into the small intestine to help break down food. The pancreas works to keep the body healthy by regulating blood sugar levels, producing hormones, and storing enzymes.","A market economy is an economic system where goods and services are produced and exchanged by people in a market. The market regulates prices through the forces of supply and demand. It stores resources, allowing them to be used efficiently. Market economies are driven by incentives and competition, where the players in the market determine the prices, production and distribution of goods and services.",,1
