,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,analogy_type,target_events_order,target_new_events_order,explanation,new_paragraph
189,1059How does a water purification system work?,1059,How does a dishwasher work?,Engineering,Natural Sciences,How does a water purification system work?,Environmental Science,"(pump, circulates, water) like (pump, circulates, water)
 (filter, traps, particles) like (filter, traps, contaminants)
 (detergent, removes, grease) like (chemical, removes, bacteria)",A dishwasher is a device that helps with the cleaning of dishes and other kitchen items. It works by pumping water through the system and circulating it around the dishes to clean them. A filter present in the system traps particles such as dirt and debris. Detergent is added to the water to help break down and remove grease and other dirt from the dishes. The water is eventually drained after the cycle is finished.,"A water purification system works by using a pump to circulate the water.
 The water passes through a filter which helps to trap contaminants.
 Additionally, a chemical is used to remove bacteria and other impurities from the water.
 The combination of the filter and chemical helps to ensure that the water is clean and safe to use.",far analogy,"[1]: A pump is used to circulate the water in the system.
[2]: The water passes through a filter, which traps contaminants.
[3]: A chemical is used to further purify the water by removing bacteria and other impurities.
[4]: The filter and chemical process ensure the water is clean and safe to use.","[1]: A pump is used to circulate the water in the system.
[2]: A chemical is used to further purify the water by removing bacteria and other impurities.
[3]: The water passes through a filter, which traps contaminants.
[4]: The filter and chemical process ensure the water is clean and safe to use.","In the INPUT_PARAGRAPH_ORDER, we see that ""[2]: The water passes through a filter, which traps contaminants."" needs to occur before ""[3]: A chemical is used to further purify the water by removing bacteria and other impurities."" This is because the filtration process is designed to remove large contaminants from the water, then the chemical is used to deal with smaller bacterial and other impurities that the filter may not catch. If the chemical process happens before filtration, the chemical could potentially be filtered out, making it ineffective in purifying the water, which makes the NEW_PARAGRAPH_ORDER illogical."," A pump is used to circulate the water in the purification system. Then, a chemical is used to further purify the water by removing bacteria and other impurities. After the chemical treatment, the water passes through a filter, which traps contaminants. Finally, the combined process of filtration and chemical treatment ensures the water is clean and safe to use."
190,1061Describe the steps in conducting a survey research.,1061,Describe the steps in launching a satelite into space.,Engineering,Social Sciences,Describe the steps in conducting a survey research.,Social Sciences,"(rocket, launches, satellite) like (researcher, conducts, survey)
 (launchpad, provides, lift-off) like (questionnaire, provides, data)
 (fuel, propels, spacecraft) like (sampling, propels, analysis)","The first step in launching a satellite into space is to place it atop a rocket on a launchpad. The launchpad provides the lift-off and propulsion that is necessary to send the spacecraft into orbit. Fuel is then used to propel the rocket and satellite into space. Once the rocket has reached a certain elevation, the satellite is released and begins its journey in space.","The researcher conducts the survey by designing and distributing a questionnaire that provides the necessary data. The researcher then takes a sampling of the population to be studied in order to propel the analysis. The researcher then collects, tabulates, and interprets the data from the questionnaires. Finally, the researcher draws a conclusion from the analysis of the data.",far analogy,"[1]: The researcher designs and distributes a questionnaire to provide necessary data.
[2]: A sampling of the population to be studied is taken by the researcher in order to propel the analysis.
[3]: The researcher collects, tabulates, and interprets data from the questionnaires.
[4]: The researcher draws a conclusion from the analysis of the data.","[1]: The researcher designs and distributes a questionnaire to provide necessary data.
[2]: The researcher collects, tabulates, and interprets data from the questionnaires.
[3]: A sampling of the population to be studied is taken by the researcher in order to propel the analysis.
[4]: The researcher draws a conclusion from the analysis of the data.","From the INPUT_PARAGRAPH_ORDER, it is evident that ""[2]: A sampling of the population to be studied is taken by the researcher in order to propel the analysis"" must occur before ""[3]: The researcher collects, tabulates, and interprets data from the questionnaires"". Without a sampling, there would be no population to collect the data from, making it impossible to tabulate and interpret the data. Therefore, placing event [3] before event [2] in the NEW_PARAGRAPH_ORDER creates a logical inconsistency; the researcher cannot collect, tabulate, and interpret data from questionnaires before a population is sampled."," The researcher designs and distributes a questionnaire to provide necessary data. Then, the researcher collects, tabulates, and interprets data from the questionnaires. After the data is collected, a sampling of the population to be studied is taken by the researcher in order to propel the analysis. Finally, the researcher draws a conclusion from the analysis of the data."
191,1062Describe the steps in launching a weather balloon into the atmosphere.,1062,Describe the steps in launching a satelite into space.,Engineering,Natural Sciences,Describe the steps in launching a weather balloon into the atmosphere.,Atmospheric Science,"(rocket, propels, satellite) like (weather balloon, propels, payload)
 (ground station, controls, trajectory) like (ground station, controls, flight path)
 (launchpad, provides, lift-off) like (launchpad, provides, lift-off)","Launching a satellite into space involves several steps. 
 The first step is to attach the satellite to the rocket, which propels the satellite into space. 
 Next, a ground station is used to control the trajectory of the rocket. 
 Finally, the rocket is brought to a launchpad where it is provided with lift-off.","The first step in launching a weather balloon is to make sure the payload is securely attached to the balloon. The payload is then propelled into the atmosphere by the weather balloon. A ground station is used to control the flight path of the balloon. Finally, a launchpad provides the lift-off to get the balloon into the atmosphere.",close analogy,"[1]: The payload is securely attached to the weather balloon.
[2]: The payload, attached to the balloon, is propelled into the atmosphere.
[3]: A ground station is used to control the flight path of the balloon.
[4]: A launchpad provides the lift-off to get the balloon into the atmosphere.","[1]: The payload is securely attached to the weather balloon.
[2]: The payload, attached to the balloon, is propelled into the atmosphere.
[3]: A launchpad provides the lift-off to get the balloon into the atmosphere.
[4]: A ground station is used to control the flight path of the balloon.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[3]: A ground station is used to control the flight path of the balloon."" must happen before ""[4]: A launchpad provides the lift-off to get the balloon into the atmosphere."" because before launching the balloon, the flight path has to be controlled to ensure that the balloon reaches its required position in the atmosphere without any hindrance, via the control of the ground station. But in NEW_PARAGRAPH_ORDER, it is illogical as it is mentioned that the balloon has already been launched even before its flight path has been controlled, hence making the NEW_PARAGRAPH_ORDER indeed illogical."," The first step in launching a weather balloon is to make sure the payload is securely attached to the balloon. The payload, attached to the balloon, is then propelled into the atmosphere. A launchpad provides the lift-off to get the balloon into the atmosphere. Finally, after the balloon is already in the atmosphere, a ground station is used to control the flight path of the balloon."
192,1063Describe the steps in launching a rocket into orbit.,1063,Describe the steps in launching a satelite into space.,Engineering,Natural Sciences,Describe the steps in launching a rocket into orbit.,Aerospace Engineering,"(satellite, launched, into space) like (rocket, launched, into orbit)
 (rocket boosters, propel, satellite) like (thrusters, propel, rocket)
 (satellite, stabilized, in orbit) like (rocket, stabilized, in orbit)","The first step in launching a satellite into space is to attach it to a rocket booster.
 The rocket boosters provide the force necessary to propel the satellite into space.
 Once the satellite has reached its desired altitude, the rocket boosters separate and the satellite is stabilized in orbit.
 The satellite is then commanded to begin its mission and collect data or provide communications services.","The first step in launching a rocket into orbit is to ignite the thrusters.
 The thrusters propel the rocket upward, creating enough velocity to reach orbit.
 Once the rocket has reached the desired altitude and speed, it must be stabilized in orbit.
 This is done by orienting the rocket and using its thrusters to establish a balance between gravity and the rocket's thrust.
 Finally, the rocket is launched into orbit, where it can remain for an extended period of time.",close analogy,"[1]: Ignition of the thrusters as the first step in launching a rocket.
[2]: The thrusters propel the rocket upward, creating enough velocity to reach orbit.
[3]: Once the rocket has reached the desired altitude and speed, it must be stabilized in orbit.
[4]: The rocket is oriented and its thrusters are used to establish a balance between gravity and the rocket's thrust.
[5]: The rocket is launched into orbit, where it stays for an extended period of time.","[1]: Ignition of the thrusters as the first step in launching a rocket.
[2]: Once the rocket has reached the desired altitude and speed, it must be stabilized in orbit.
[3]: The thrusters propel the rocket upward, creating enough velocity to reach orbit.
[4]: The rocket is oriented and its thrusters are used to establish a balance between gravity and the rocket's thrust.
[5]: The rocket is launched into orbit, where it stays for an extended period of time.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The thrusters propel the rocket upward, creating enough velocity to reach orbit."" should happen before ""[3]: Once the rocket has reached the desired altitude and speed, it must be stabilized in orbit."" The rocket must be propelled upward to gain the velocity needed to reach the desired altitude and speed, only then can it be stabilized in orbit. A rocket cannot be stabilized in orbit before it's propelled upward and reach the desired altitude and speed, hence, NEW_PARAGRAPH_ORDER is illogical."," The first step in launching a rocket into orbit is to ignite the thrusters. Once the rocket has reached the desired altitude and speed, it must be stabilized in orbit. Then, the thrusters propel the rocket upward, creating enough velocity to reach orbit. The rocket is then oriented and its thrusters are used to establish a balance between gravity and the rocket's thrust. Finally, the rocket is launched into orbit, where it stays for an extended period of time."
193,842How does a hydraulic system of crane works?,842,How does an electromagnet work?,Engineering,Engineering,How does a hydraulic system of crane works?,Mechanical Engineering,"(electric current, creates, magnetic field) like (hydraulic pressure, creates, lifting force)
 (coil of wire, carries, electric current) like (cylinder, carries, hydraulic fluid)
 (core, amplifies, magnetic field) like (boom, amplifies, lifting force)",An electromagnet works by passing an electric current through a coil of wire. This creates a magnetic field around the wire. The core of the electromagnet is made of ferromagnetic material which amplifies the magnetic field generated by the electric current. This amplified magnetic field creates a stronger force than that of a regular magnet.,"A hydraulic system of crane uses hydraulic pressure to create a lifting force. 
 The pressure is generated by a pump that sends hydraulic fluid through a cylinder. 
 The fluid is then directed to the various components of the crane. 
 The pressure of the fluid creates a lifting force that is used to move the crane's boom. 
 The boom amplifies the lifting force and allows the crane to carry heavier loads.",close analogy,"[1]: A hydraulic system of crane uses hydraulic pressure to create a lifting force.
[2]: The pressure is generated by a pump that sends hydraulic fluid through a cylinder.
[3]: The fluid is then directed to the various components of the crane.
[4]: The pressure of the fluid creates a lifting force that is used to move the crane's boom.
[5]: The boom amplifies the lifting force and allows the crane to carry heavier loads.","[1]: A hydraulic system of crane uses hydraulic pressure to create a lifting force.
[2]: The fluid is then directed to the various components of the crane.
[3]: The pressure is generated by a pump that sends hydraulic fluid through a cylinder.
[4]: The pressure of the fluid creates a lifting force that is used to move the crane's boom.
[5]: The boom amplifies the lifting force and allows the crane to carry heavier loads.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The pressure is generated by a pump that sends hydraulic fluid through a cylinder."" should logically happen before ""[3]: The fluid is then directed to the various components of the crane."" In the NEW_PARAGRAPH_ORDER, the fluid is getting directed to the components of the crane before the pressure is generated from the pump, which is illogical because the pressure to pump fluid through the cylinder must be made first before the fluid can be directed towards the components. If the fluid is directed without the pressure being generated, no fluid will move due to lack of a driving force, which is achieved through generating pressure. Hence, the NEW_PARAGRAPH_ORDER is illogical."," A hydraulic system of crane uses hydraulic pressure to create a lifting force. The fluid is then directed to the various components of the crane. After the fluid is directed, the pressure is generated by a pump that sends hydraulic fluid through a cylinder. The pressure of the fluid creates a lifting force that is used to move the crane's boom. Finally, the boom amplifies the lifting force and allows the crane to carry heavier loads."
194,900How does photosynthesis work?,900,How does the human auditory system work?,Biomedical and Health Sciences,Natural Sciences,How does photosynthesis work?,Biology,"(ear, receives, sound waves) like (leaf, receives, sunlight)
 (cochlea, transforms, sound waves) like (chloroplast, transforms, sunlight)
 (auditory nerve, sends, electrical signals) like (sugar molecules, sends, energy)","The human auditory system begins with the ear, which receives sound waves from the environment. 
 These sound waves travel through the ear canal and enter the cochlea, which transforms the sound waves into electrical signals.
 The auditory nerve then sends these electrical signals to the brain, where the sound is processed. 
 The cochlea is responsible for transforming sound waves into electrical signals, which then travel through the auditory nerve to the brain.","Photosynthesis is the process by which plants convert sunlight into energy.
 The leaves of a plant receive sunlight and the chloroplasts inside the leaves transform the sunlight into energy.
 This energy is then used to combine carbon dioxide and water molecules to form sugar molecules.
 The sugar molecules are then sent out to the rest of the plant, providing it with the energy it needs to survive.",far analogy,"[1]: Plant leaves receive sunlight.
[2]: The chloroplasts inside the leaves transform the sunlight into energy.
[3]: This energy is used to combine carbon dioxide and water molecules to form sugar molecules.
[4]: The sugar molecules are sent out to the rest of the plant, providing it with the energy it needs to survive.","[1]: Plant leaves receive sunlight.
[2]: The sugar molecules are sent out to the rest of the plant, providing it with the energy it needs to survive.
[3]: The chloroplasts inside the leaves transform the sunlight into energy.
[4]: This energy is used to combine carbon dioxide and water molecules to form sugar molecules.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The chloroplasts inside the leaves transform the sunlight into energy."" must happen before ""[4]: The sugar molecules are sent out to the rest of the plant, providing it with the energy it needs to survive."" because the chloroplasts inside the leaves transform the sunlight into energy that is used to combine carbon dioxide and water molecules to form sugar molecules, which then provide energy for the plant. Without this transformation process, sugar molecules cannot be formed or sent out to the rest of the plant, making the process in the NEW_PARAGRAPH_ORDER illogical."," The leaves of a plant receive sunlight. Immediately, the sugar molecules are sent out to the rest of the plant, providing it with the energy it needs to survive. Afterward, the chloroplasts inside the leaves transform the sunlight into energy. Finally, this energy is used to combine carbon dioxide and water molecules to form sugar molecules."
195,1073How does the human heartbeat occur?,1073,How does lightning occur?,Natural Sciences,Biomedical and Health Sciences,How does the human heartbeat occur?,Biomedical and Health Sciences,"(Thunderclouds, accumulate, electrical charge) like (Heart, accumulates, electrical impulse)
 (Electricity, travels, between clouds and ground) like (Electricity, travels, between heart cells)
 (Lightning, is a discharge of electricity) like (Heartbeat, is a discharge of electrical impulse)","Thunderclouds accumulate an electrical charge as the air inside them rises and falls.
 The accumulation of electrical charge creates an imbalance in the electrical field and electricity travels between the clouds and the ground to restore balance.
 This discharge of electricity is what we know as lightning, and is the result of the buildup of electrical charge.","The human heart accumulates an electrical impulse. This electrical impulse is generated when the heart muscles contract, causing the heart cells to send electricity and travel between each other. This process of electricity travelling between cells is what causes the heartbeat and is a discharge of the electrical impulse.",far analogy,"[1]: The human heart accumulates an electrical impulse.
[2]: This electrical impulse is generated when the heart muscles contract.
[3]: The heart cells send electricity and travel between each other.
[4]: This process of electricity travelling between cells is what causes the heartbeat.
[5]: The heartbeat is the discharge of the electrical impulse.","[1]: The heartbeat is the discharge of the electrical impulse. 
[2]: This electrical impulse is generated when the heart muscles contract.
[3]: The human heart accumulates an electrical impulse.
[4]: The heart cells send electricity and travel between each other.
[5]: This process of electricity travelling between cells is what causes the heartbeat.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[1]: The human heart accumulates an electrical impulse."" must happen before ""[2]: This electrical impulse is generated when the heart muscles contract."", which then leads to ""[5]: The heartbeat is the discharge of the electrical impulse."". The electrical impulse cannot be discharged before it is generated, so it's illogical. In the new order, the heartbeat is discharged before the heart accumulates an electrical impulse and before the heart muscles contract, which is impossible."," The heartbeat is the discharge of the electrical impulse. Following this, the electrical impulse is generated when the heart muscles contract. Subsequently, the human heart accumulates an electrical impulse. Then, the heart cells send electricity and travel between each other. Finally, this process of electricity travelling between cells is what causes the heartbeat."
196,1099How do antibodies work?,1099,How do vaccinations work?,Biomedical and Health Sciences,Natural Sciences,How do antibodies work?,Immunology,"(vaccine, stimulates, immune system) like (antigen, stimulates, antibodies)
 (vaccine, activates, T-cells) like (antigen, activates, B-cells)
 (vaccine, produces, memory cells) like (antigen, produces, memory B-cells)","Vaccinations work by stimulating the body's immune system.
 A vaccine contains an inactive version of a virus or bacteria.
 When the vaccine is injected into the body, it activates the T-cells, which are the immune system's main defense against pathogens.
 The T-cells recognize the inactive virus or bacteria and respond by producing memory cells.
 These memory cells remain in the body, allowing the immune system to recognize the virus or bacteria if it is encountered again and respond quickly, preventing the infection from taking hold.","Antigens stimulate the production of antibodies by activating B-cells. After the antibodies are produced, memory B-cells are created to recognize the same antigen if it enters the body again. The antibodies then recognize and bind to the antigen, helping to protect the body from infection or disease.",far analogy,"[1]: Antigens stimulate the production of antibodies by activating B-cells.
[2]: After the antibodies are produced, memory B-cells are created to recognize the same antigen if it enters the body again.
[3]: The antibodies then recognize and bind to the antigen, helping to protect the body from infection or disease.","[1]: Antigens stimulate the production of antibodies by activating B-cells.
[2]: The antibodies then recognize and bind to the antigen, helping to protect the body from infection or disease.
[3]: After the antibodies are produced, memory B-cells are created to recognize the same antigen if it enters the body again.","When comparing INPUT_PARAGRAPH_ORDER, I noticed that ""[2]: After the antibodies are produced, memory B-cells are created to recognize the same antigen if it enters the body again."" must precede ""[3]: The antibodies then recognize and bind to the antigen, helping to protect the body from infection or disease."" While it's true that antibodies recognize and bind to antigens, it's also true that memory B-cells are formed after antibody production to recognize a recurring antigen. In the NEW_PARAGRAPH_ORDER, memory B-cells are formed after the antibodies have already done their job of recognizing and binding to the antigen, which is illogical since memory B-cells should be formed prior to the antigen re-entry."," Antigens stimulate the production of antibodies by activating B-cells. The antibodies then recognize and bind to the antigen, helping to protect the body from infection or disease. After the antibodies have done their job, memory B-cells are created to recognize the same antigen if it enters the body again."
197,1265How does an ant build an anthill?,1265,How does a bird build a nest?,Natural Sciences,Natural Sciences,How does an ant build an anthill?,Entomology,"(bird, collects, sticks) like (ant, collects, dirt)
 (bird, arranges, sticks) like (ant, arranges, dirt)
 (bird, shapes, nest) like (ant, shapes, anthill)","A bird builds a nest by first collecting sticks from the ground. Then, it arranges the sticks in a circular pattern and shapes the nest. Additionally, the bird may also use other materials such as grass, mud, or feathers to make the nest more comfortable for itself and its young.","An ant builds an anthill by collecting dirt from the surrounding environment. Once the ant has gathered enough material, it begins to arrange and shape the dirt into the structure of the anthill. The ant works diligently to form an intricate structure that can provide shelter and security. The ant continues to arrange and shape the dirt until the anthill is complete.",close analogy,"[1]: An ant collects dirt from the surrounding environment.
[2]: The ant begins to arrange and shape the dirt into the structure of the anthill.
[3]: The ant works to form an intricate structure that can provide shelter and security.
[4]: The ant continues to shape the dirt until the anthill is complete.","[1]: The ant begins to arrange and shape the dirt into the structure of the anthill.
[2]: An ant collects dirt from the surrounding environment.
[3]: The ant works to form an intricate structure that can provide shelter and security.
[4]: The ant continues to shape the dirt until the anthill is complete.","From looking at INPUT_PARAGRAPH_ORDER, I saw that ""[1]: An ant collects dirt from the surrounding environment."" must happen before ""[2]: The ant begins to arrange and shape the dirt into the structure of the anthill."" To build an anthill, the ant needs the materials (dirt) first. It can only begin to shape the dirt into the structure of the anthill after it collects these materials. Reversing these events as in NEW_PARAGRAPH_ORDER makes it illogical because shaping into the structure cannot happen without the dirt being collected first. The ant cannot work with nothing."," The ant begins to arrange and shape the dirt into the structure of the anthill. After starting the construction, the ant collects dirt from the surrounding environment. The ant then works to form an intricate structure that can provide shelter and security. Finally, the ant continues to shape the dirt until the anthill is complete."
198,1266How does a beaver build a dam?,1266,How does a bird build a nest?,Natural Sciences,Natural Sciences,How does a beaver build a dam?,Ecology,"(twigs, weave together, sticks) like (sticks, weave together, logs)
 (feathers, line, nest) like (grasses, line, dam)
 (mud, plaster, nest) like (mud, plaster, dam)","A bird builds a nest by weaving together twigs and sticks to create a sturdy foundation.
 They then line the nest with feathers for insulation.
 Finally, the bird plasters mud onto the nest to hold everything together and provide further insulation.","A beaver builds a dam by weaving together sticks and logs to form a barrier.
 Grasses are then lined along the dam to secure the structure.
 Lastly, mud is used to plaster the dam and help keep it strong and intact.",close analogy,"[1]: Beaver weaves together sticks and logs to form a barrier.
[2]: Grasses are lined along the dam to secure the structure.
[3]: Mud is plastered to keep the dam strong and intact.","[1]: Beaver weaves together sticks and logs to form a barrier.
[2]: Mud is plastered to keep the dam strong and intact.
[3]: Grasses are lined along the dam to secure the structure.","When viewing the INPUT_PARAGRAPH_ORDER, it's clear that ""[2]: Grasses are lined along the dam to secure the structure."" should occur before ""[3]: Mud is plastered to keep the dam strong and intact."". The grasses must be added first to fortify the structure before the mud, which seals everything together, is added. If the order changed to NEW_PARAGRAPH_ORDER and the mud was plastered first, the beaver would not be able to line the dam with grasses as the mud would have solidified, preventing the grasses from penetrating and securing the structure. Thus, it's illogical."," A beaver weaves together sticks and logs to form a barrier. Then, mud is plastered to keep the dam strong and intact. After the mud has been plastered, grasses are lined along the dam to secure the structure."
199,1266How do ants build a nest?,1266,How does a bird build a nest?,Natural Sciences,Natural Sciences,How do ants build a nest?,Entomology,"(bird, collects, twigs) like (ants, collects, soil)
 (bird, interweaves, twigs) like (ants, molds, soil)
 (bird, lines, nest) like (ants, lines, nest)","A bird begins building a nest by collecting twigs from its surroundings. It then interweaves the twigs together to form the base of the nest. Once the base is complete, the bird lines the nest with soft materials such as feathers and grass to provide insulation and comfort.",Ants build their nests by collecting soil from their surroundings and molding it into the desired shape. The ants then use their mandibles to line the interior of the nest with the soil. This process helps to fortify the nest and protect the ants from the elements.,close analogy,"[1]: Ants collect soil from their surroundings.
[2]: Ants mold the soil into the desired shape.
[3]: Ants use their mandibles to line the interior of the nest with the soil.","[1]: Ants use their mandibles to line the interior of the nest with the soil.
[2]: Ants collect soil from their surroundings.
[3]: Ants mold the soil into the desired shape.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[1]: Ants collect soil from their surroundings."" must happen before ""[3]: Ants use their mandibles to line the interior of the nest with the soil."" because the ants need soil as a primary resource before they can line the interior of the nest. Both collecting and molding soil should occur first to have enough material and the right shape for the nest. Without soil, there would be nothing to line the interior of the nest with, rendering it impossible. Therefore, the NEW_PARAGRAPH_ORDER is illogical."," Ants use their mandibles to line the interior of the nest with the soil. After lining the nest, ants collect soil from their surroundings. Finally, ants mold the collected soil into the desired shape."
200,1266How does a spider weave a web?,1266,How does a bird build a nest?,Natural Sciences,Natural Sciences,How does a spider weave a web?,Zoology,"(bird, collects, twigs) like (spider, collects, silk strands) 
 (bird, shapes, twigs) like (spider, shapes, silk strands)
 (bird, assembles, twigs) like (spider, assembles, silk strands)
 (bird, secures, twigs) like (spider, secures, silk strands)","A bird builds a nest by first collecting twigs from its environment. 
 The bird then shapes the twigs to form a structure that can support it. 
 After forming the structure, the bird assembles the twigs to create the nest. 
 Finally, the bird secures the twigs together to make the nest sturdy and safe.","A spider weaves a web through a process of collecting, shaping, assembling, and securing silk strands.
 The spider collects the silk strands from its spinnerets and shapes them into the desired form.
 The spider then assembles the silk strands into the web pattern and uses glue to secure the strands in place.
 Finally, the spider completes the web by adding more silk strands, reinforcing the structure and creating a strong, intricate web.",close analogy,"[1]: A spider collects the silk strands from its spinnerets and shapes them into the desired form.
[2]: The spider assembles the silk strands into the web pattern and uses glue to secure the strands in place.
[3]: The spider completes the web by adding more silk strands, reinforcing the structure and creating a strong, intricate web.","[1]: The spider assembles the silk strands into the web pattern and uses glue to secure the strands in place.
[2]: A spider collects the silk strands from its spinnerets and shapes them into the desired form.
[3]: The spider completes the web by adding more silk strands, reinforcing the structure and creating a strong, intricate web.","In the original order, the spider first collects and shapes the silk strands before it can assemble and secure them. Without first collecting and shaping the silk, the spider cannot assemble anything. Therefore, swapping these two events makes the sequence illogical as the spider must have silk to start with before it can proceed with the assembling and securing process."," The spider begins by assembling the silk strands into the web pattern and uses glue to secure the strands in place. After the web is assembled, the spider collects the silk strands from its spinnerets and shapes them into the desired form. Finally, the spider completes the web by adding more silk strands, reinforcing the structure and creating a strong, intricate web."
201,1295How does a filtration system remove pollutants from air?,1295,How does a desalination plant remove salt from water?,Engineering,Social Sciences,How does a filtration system remove pollutants from air?,Environmental Science,"(sea water, pumps, desalination plant) like (contaminated air, pumps, filtration system)
 (salt, filtered out, reverse osmosis membrane) like (pollutants, filtered out, air filter)
 (desalinated water, produced, outlet) like (purified air, produced, outlet)","Sea water is pumped into the desalination plant.
 The salt is then filtered out through a reverse osmosis membrane.
 This membrane is designed to allow water to pass through while blocking the salt molecules.
 The desalinated water is then produced at the outlet of the plant.","Contaminated air is pumped through the filtration system.
 The pollutants present in the air are filtered out as the air passes through the air filter.
 This process results in the production of purified air, which is released through the outlet.",close analogy,"[1]: Contaminated air is pumped through the filtration system.
[2]: The pollutants present in the air are filtered out as the air passes through the air filter.
[3]: The production of purified air.
[4]: The purified air is released through the outlet.","[1]: Contaminated air is pumped through the filtration system.
[2]: The production of purified air.
[3]: The pollutants present in the air are filtered out as the air passes through the air filter.
[4]: The purified air is released through the outlet.","By looking at INPUT_PARAGRAPH_ORDER, it is visible that ""[2]: The pollutants present in the air are filtered out as the air passes through the air filter."" must occur before ""[3]: The production of purified air."". The contaminants need to be removed from the air before pure air can be produced. Without doing this, the contaminants are still present in the air and therefore the air is still polluted. Swap these two events result in a illogical timeline."," Contaminated air is pumped through the filtration system. This process results in the production of purified air. Then, the pollutants present in the air are filtered out as the air passes through the air filter. Finally, the purified air is released through the outlet."
202,1295How does a dialysis machine remove waste from the blood?,1295,How does a desalination plant remove salt from water?,Engineering,Biomedical and Health Sciences,How does a dialysis machine remove waste from the blood?,Biomedical and Health Sciences,"(salt, removed, water) like (waste, removed, blood)
 (solution, passes through, membrane) like (plasma, passes through, filter)
 (pressure, drives, water flow) like (osmosis, drives, fluid flow)","A desalination plant removes salt from water by using a process called reverse osmosis.
 In this process, a concentrated salt solution passes through a membrane, which allows water molecules to pass through but blocks salt molecules.
 Pressure is applied to the solution to drive the flow of water through the membrane and separate out the salt, leaving fresh water on the other side.","The dialysis machine works by removing waste from the blood. The patient's blood is sent through a filter which allows the plasma to pass through, while blocking the larger molecules and cells. Osmosis then drives the fluid flow across the membrane, allowing for the removal of wastes from the blood.",far analogy,"[1]: The dialysis machine begins to work by removing waste from the blood.
[2]: The patient's blood is sent through a filter which allows the plasma to pass through while blocking larger molecules and cells.
[3]: Osmosis drives the fluid flow across the membrane, allowing for the removal of wastes from the blood.","[1]: The patient's blood is sent through a filter which allows the plasma to pass through while blocking larger molecules and cells.
[2]: The dialysis machine begins to work by removing waste from the blood.
[3]: Osmosis drives the fluid flow across the membrane, allowing for the removal of wastes from the blood.","By looking at INPUT_PARAGRAPH_ORDER, I identified that ""[1]: The dialysis machine begins to work by removing waste from the blood."" must happen before ""[2]: The patient's blood is sent through a filter which allows the plasma to pass through while blocking larger molecules and cells."" For the blood to be sent through the filter, the dialysis machine has to be operational first to remove the waste. Therefore, the NEW_PARAGRAPH_ORDER is illogical because the machine can't start the process after the patient's blood has already been sent through the filter."," The patient's blood is sent through a filter which allows the plasma to pass through while blocking larger molecules and cells. Then, the dialysis machine begins to work by removing waste from the blood. Finally, osmosis drives the fluid flow across the membrane, allowing for the removal of wastes from the blood."
203,1298How does a fish osmoregulate?,1298,How do kidneys filter blood?,Biomedical and Health Sciences,Natural Sciences,How does a fish osmoregulate?,Marine Biology,"(glomerulus, filters, blood) like (gills, filters, seawater)
 (tubule, absorbs, nutrients) like (gut, absorbs, nutrients)
 (ureter, excretes, urine) like (nephridia, excretes, wastes)","The kidneys are important organs in the body responsible for filtering blood.
 The glomerulus acts as a filter to remove blood cells and other unwanted substances from the blood.
 The tubule then absorbs important nutrients and electrolytes from the filtered blood and passes it back into the bloodstream.
 Finally, the ureter excretes the waste products in the form of urine.","Fish osmoregulate by regulating the concentration of salts and other particles in the water around them.
 Their gills filter the seawater and remove the salts and other particles.
 The gut then absorbs the nutrients that the fish needs for growth and sustenance.
 Finally, the nephridia excretes any waste that the fish does not need.",far analogy,"[1]: Fish osmoregulate by regulating the concentration of salts and other particles in the water around them.
[2]: Their gills filter the seawater and remove the salts and other particles.
[3]: The gut then absorbs the nutrients that the fish needs for growth and sustenance.
[4]: The nephridia excretes any waste that the fish does not need.","[1]: Fish osmoregulate by regulating the concentration of salts and other particles in the water around them.
[2]: The nephridia excretes any waste that the fish does not need.
[3]: Their gills filter the seawater and remove the salts and other particles.
[4]: The gut then absorbs the nutrients that the fish needs for growth and sustenance.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Their gills filter the seawater and remove the salts and other particles."" must happen before ""[4]: The nephridia excretes any waste that the fish does not need."" because gills filter the seawater and remove the salts from it. The nutrients from the filtered water are absorbed by the gut, which results in waste that the fish does not need. This waste is then eliminated by the nephridia. Therefore, the nephridia cannot excrete waste before the gills and the gut have done their job. Hence, the order of NEW_PARAGRAPH_ORDER is illogical."," Fish osmoregulate by regulating the concentration of salts and other particles in the water around them. Then, the nephridia excretes any waste that the fish does not need. Afterward, their gills filter the seawater and remove the salts and other particles. Finally, the gut absorbs the nutrients that the fish needs for growth and sustenance."
