,sample_id,source_paragraph,random1_target_paragraph,random2_target_paragraph,distractor_target_paragraph,analogous_target_paragraph,shuffled_candidates,ground_truth,random_paragraph,random_events_order,explanation,random_new_events_order,new_paragraph
382,515Describe the growth process of a plant,"A frog begins its life cycle as an egg, which hatches into a tadpole. The tadpole gradually develops legs, and eventually transitions into an adult frog. At this stage in its life cycle, the adult frog is able to reproduce and lays eggs, which start the life cycle again.","Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.","Plants make the seeds smell good, be attractive looking, and taste good.
Animals are attracted to the seeds on the plants.
The animals eat the seeds.
The animals go far away from the plants.
The animals defecate the seeds or drop them off their fur.
The seeds grow in the new place."," The process of a plant's growth begins with a seed germinating and producing a sprout. Immediately after sprouting, the plant produces flowers. Following the production of flowers, the sprout grows and develops leaves and a stem. Once the sprout has matured, the flowers produce seeds. The cycle then repeats, as the seeds germinate and sprouts grow and develop leaves.","The process of a plant's growth begins with a seed germinating and producing a sprout. This sprout grows and develops leaves and a stem as it matures. The plant will then produce flowers which will eventually produce seeds. The cycle then repeats, as the seeds germinate and sprouts grow and develop leaves.","[""Magma rises to the surface during a volcano.\nThe magma undergoes changes in temperature.\nThe magma undergoes changes in pressure.\nThe magma cools.\nThe magma solidifies.\nThe magma crystallizes.\nIgneous rock is formed."", ""Plants make the seeds smell good, be attractive looking, and taste good.\nAnimals are attracted to the seeds on the plants.\nThe animals eat the seeds.\nThe animals go far away from the plants.\nThe animals defecate the seeds or drop them off their fur.\nThe seeds grow in the new place."", "" The process of a plant's growth begins with a seed germinating and producing a sprout. Immediately after sprouting, the plant produces flowers. Following the production of flowers, the sprout grows and develops leaves and a stem. Once the sprout has matured, the flowers produce seeds. The cycle then repeats, as the seeds germinate and sprouts grow and develop leaves."", ""The process of a plant's growth begins with a seed germinating and producing a sprout. This sprout grows and develops leaves and a stem as it matures. The plant will then produce flowers which will eventually produce seeds. The cycle then repeats, as the seeds germinate and sprouts grow and develop leaves.""]",C4,,,,,
383,1136How do bats navigate in the dark?,"Owls have developed a unique hunting method to be able to find prey in the dark. They use echolocation to locate and capture their prey. By relying on their hearing, owls are able to pick up sounds that are too faint for human ears. This helps them to locate small rodents in the dark and then swoop down to capture them.","A bird lays an egg.
The egg hatches into a baby bird.
Baby bird eats.
Grows into an adult bird.
The bird finds a mate.
The pair build a nest.
The birds lay eggs.","Put the aluminum can into a recycle bin.
The cans are transported to a facility.
The cans are shredded by a machine.
The cans are heated to 1400 degrees to melt them.
The molten metal is poured into molds.
The molds are flattened and rolled into sheets to reuse."," Bats rely heavily on their sense of hearing to navigate in the dark. They listen for the echoes that bounce back from the sound waves they emitted. After listening for the echoes, they use a process called echolocation to detect their environment by emitting sound waves. These sound waves allow them to locate and hunt for insects in total darkness.",Bats rely heavily on their sense of hearing to navigate in the dark. They use a process called echolocation to detect their environment by emitting sound waves and listening for the echoes that bounce back. These sound waves allow them to locate and hunt for insects in total darkness.,"["" Bats rely heavily on their sense of hearing to navigate in the dark. They listen for the echoes that bounce back from the sound waves they emitted. After listening for the echoes, they use a process called echolocation to detect their environment by emitting sound waves. These sound waves allow them to locate and hunt for insects in total darkness."", ""Put the aluminum can into a recycle bin.\nThe cans are transported to a facility.\nThe cans are shredded by a machine.\nThe cans are heated to 1400 degrees to melt them.\nThe molten metal is poured into molds.\nThe molds are flattened and rolled into sheets to reuse."", ""A bird lays an egg.\nThe egg hatches into a baby bird.\nBaby bird eats.\nGrows into an adult bird.\nThe bird finds a mate.\nThe pair build a nest.\nThe birds lay eggs."", ""Bats rely heavily on their sense of hearing to navigate in the dark. They use a process called echolocation to detect their environment by emitting sound waves and listening for the echoes that bounce back. These sound waves allow them to locate and hunt for insects in total darkness.""]",C4,,,,,
384,422How does oil get from the ground to a refinery?,"Miners will dig up coal from the ground. The coal is then transported by trucks to a power station. At the power station, the coal is converted to electricity through combustion. The heat produced from the combustion is used to generate steam, which is used to turn turbines in order to generate electricity.","Electromagnet creates magnetic field with electricity.
Conductive copper wire is wrapped around a piece of metal.
An electric current gets introduced from power source.
Flows through the wire.
Magnetic field gets created in the wire.
And the metal gets magnetized.
When turned off it is no longer magnetic.","Some of the rock in the ground is made of limestone.
Over long periods of time rain can hit the limestone.
And cause a acidic reaction.
The limestone will slowly disintegrate.
A large gap with be where the limestone was.
Result in the cave."," At the refinery, the oil is refined in order to create usable products. After refining, the extracted oil is then transported by tankers to a refinery. Finally, drillers extract oil from the ground using specialized equipment.","Drillers extract oil from the ground using specialized equipment. The extracted oil is then transported by tankers to a refinery. At the refinery, the oil is refined in order to create usable products.","[""Electromagnet creates magnetic field with electricity.\nConductive copper wire is wrapped around a piece of metal.\nAn electric current gets introduced from power source.\nFlows through the wire.\nMagnetic field gets created in the wire.\nAnd the metal gets magnetized.\nWhen turned off it is no longer magnetic."", ""Some of the rock in the ground is made of limestone.\nOver long periods of time rain can hit the limestone.\nAnd cause a acidic reaction.\nThe limestone will slowly disintegrate.\nA large gap with be where the limestone was.\nResult in the cave."", "" At the refinery, the oil is refined in order to create usable products. After refining, the extracted oil is then transported by tankers to a refinery. Finally, drillers extract oil from the ground using specialized equipment."", ""Drillers extract oil from the ground using specialized equipment. The extracted oil is then transported by tankers to a refinery. At the refinery, the oil is refined in order to create usable products.""]",C4,,,,,
385,116How are coral reefs formed?,"Mountains are formed over time as layers of sedimentary rocks accumulate. Tectonic forces push up the landforms, and erosion removes material from the surface over time. Eventually, the landforms become much higher than the surrounding areas and are called mountains.","A virus enters a host body.
The virus has receptors that lock onto a target cell.
The virus enters the cell.
The virus uses the cell like a factory to make new copies of the virus.
The new copies of the virus leave the cell.
Infect other cells.
The host gets sick as its cells are damaged.","An isotope has too many protons.
The isotope is unstable.
The isotope emits radiation.
The isotope decays.
The isotope loses some atomic particles.
The isotope turns into a different element.
The isotope is finished decaying and emitting radiation."," Calcium carbonate accumulates from the skeletons of coral polyps to form the beginnings of coral reefs. The combination of these processes creates coral reefs that are found in shallow and warm water. After the formation of the reefs, wave action pushes up these calcium carbonate landforms. Finally, the process of bioerosion removes material.","Coral reefs are formed over time as calcium carbonate accumulates from the skeletons of coral polyps. Wave action pushes up the calcium carbonate landforms, and the process of bioerosion removes the material. The combination of the two processes creates coral reefs that are found in shallow and warm water.","[""A virus enters a host body.\nThe virus has receptors that lock onto a target cell.\nThe virus enters the cell.\nThe virus uses the cell like a factory to make new copies of the virus.\nThe new copies of the virus leave the cell.\nInfect other cells.\nThe host gets sick as its cells are damaged."", "" Calcium carbonate accumulates from the skeletons of coral polyps to form the beginnings of coral reefs. The combination of these processes creates coral reefs that are found in shallow and warm water. After the formation of the reefs, wave action pushes up these calcium carbonate landforms. Finally, the process of bioerosion removes material."", ""Coral reefs are formed over time as calcium carbonate accumulates from the skeletons of coral polyps. Wave action pushes up the calcium carbonate landforms, and the process of bioerosion removes the material. The combination of the two processes creates coral reefs that are found in shallow and warm water."", ""An isotope has too many protons.\nThe isotope is unstable.\nThe isotope emits radiation.\nThe isotope decays.\nThe isotope loses some atomic particles.\nThe isotope turns into a different element.\nThe isotope is finished decaying and emitting radiation.""]",C3,,,,,
386,80How are volcanoes formed?,"Mountains are formed when the land surface is uplifted due to tectonic plates pushing against the bedrock. The force of the collision between the two plates creates high points on the land surface, which we call mountains. Uplift from the tectonic plates is the primary cause of mountain formation as it raises the land surface and pushes the bedrock upwards.","Water from the surface seeps below the soil.
The water comes into contact with the rock below.
The rock over the years carves through the rock.
The space in the rock becomes larger and forms into a cave.
As more rather rushes through the cave becomes a cavern.","Air is taken through the mouth.
Enters the lungs.
The oxygen fills the sacs in your lungs.
Carbon dioxide is removed from the lungs and exhaled.
The oxygen is pass throughout your body."," Volcanic activity begins deep within the Earth's crust. Suddenly, a violent volcanic eruption occurs. Following the eruption, magma rises and pushes the land surface and bedrock upward. The pressure from the magma continues to build up. Finally, the eruption leads to the formation of volcanoes.",Volcanoes are formed by a process of volcanic activity. The magma that is released from deep within the Earth's crust rises and pushes the land surface and bedrock upward. The pressure created by the magma builds up until it is eventually released in a violent volcanic eruption. This eruption creates the formation of volcanoes.,"[""Water from the surface seeps below the soil.\nThe water comes into contact with the rock below.\nThe rock over the years carves through the rock.\nThe space in the rock becomes larger and forms into a cave.\nAs more rather rushes through the cave becomes a cavern."", ""Volcanoes are formed by a process of volcanic activity. The magma that is released from deep within the Earth's crust rises and pushes the land surface and bedrock upward. The pressure created by the magma builds up until it is eventually released in a violent volcanic eruption. This eruption creates the formation of volcanoes."", ""Air is taken through the mouth.\nEnters the lungs.\nThe oxygen fills the sacs in your lungs.\nCarbon dioxide is removed from the lungs and exhaled.\nThe oxygen is pass throughout your body."", "" Volcanic activity begins deep within the Earth's crust. Suddenly, a violent volcanic eruption occurs. Following the eruption, magma rises and pushes the land surface and bedrock upward. The pressure from the magma continues to build up. Finally, the eruption leads to the formation of volcanoes.""]",C2,,,,,
387,617Describe how fuel reaches an engine,"The lungs absorb oxygen from the air and send it through the bloodstream. The oxygen then travels through the bloodstream, allowing it to reach cells throughout the body. These cells require oxygen in order to function properly, so it is essential that oxygen reaches them.","Limestone is located under the soil.
Rain picks up carbon dioxide as it falls to earth.
The rain falls on the soil over the limestone.
The carbon dioxide in the rain washes through the soil.
The carbon dioxide turns into acid.
The acid in the rain gets to the limestone below the soil.
The acid dissolves the limestone.
Acid continues to erode the limestone with more rain over time.
The eroded limestone sometimes forms caves.","Electromagnet creates magnetic field with electricity.
Conductive copper wire is wrapped around a piece of metal.
An electric current gets introduced from power source.
Flows through the wire.
Magnetic field gets created in the wire.
And the metal gets magnetized.
When turned off it is no longer magnetic."," The fuel is first injected into the combustion chamber. Then, gasoline is absorbed by the fuel tank from the pump. After that, the fuel travels through the fuel line to the engine. Finally, the engine uses the fuel to generate power and operate.","The fuel tank absorbs gasoline from the pump. The fuel then travels through the fuel line to the engine, where it is injected into the combustion chamber. The engine requires fuel to generate power and operate.","[""The fuel tank absorbs gasoline from the pump. The fuel then travels through the fuel line to the engine, where it is injected into the combustion chamber. The engine requires fuel to generate power and operate."", "" The fuel is first injected into the combustion chamber. Then, gasoline is absorbed by the fuel tank from the pump. After that, the fuel travels through the fuel line to the engine. Finally, the engine uses the fuel to generate power and operate."", ""Electromagnet creates magnetic field with electricity.\nConductive copper wire is wrapped around a piece of metal.\nAn electric current gets introduced from power source.\nFlows through the wire.\nMagnetic field gets created in the wire.\nAnd the metal gets magnetized.\nWhen turned off it is no longer magnetic."", ""Limestone is located under the soil.\nRain picks up carbon dioxide as it falls to earth.\nThe rain falls on the soil over the limestone.\nThe carbon dioxide in the rain washes through the soil.\nThe carbon dioxide turns into acid.\nThe acid in the rain gets to the limestone below the soil.\nThe acid dissolves the limestone.\nAcid continues to erode the limestone with more rain over time.\nThe eroded limestone sometimes forms caves.""]",C1,,,,,
388,1265How does an ant build a nest?,"A bird builds a nest by first collecting twigs from its environment. The bird then shapes the twigs to fit the form of the nest it desires. Finally, the bird weaves the twigs together to form the structure of the nest.","A seed is planted.
It becomes a seedling.
The seedling grows into a full-grown plant.
The plant releases some kind of pollenating product.
The plant either self-pollinates or is spread by insects or birds.
Seeds are planted.
The cycle begins again.","An animal eats a lot of food to fatten up.
The animal finds or builds a suitable place to hibernate where they can stay warm and protected.
The animal moves into their den.
Their heart rate and breathing slow down to conserve energy.
They emerge from the den when the weather is warming up again."," The ant starts by weaving the soil together to finalize the nest structure. After that, the ant shapes the soil, assuring the nest walls are strong and stable. Finally, the ant collects soil from its surroundings.","An ant builds a nest by collecting soil from its surroundings. The ant then shapes the soil, making sure that the walls of the nest are strong and stable. Finally, the ant weaves the soil together to complete the structure of the nest.","["" The ant starts by weaving the soil together to finalize the nest structure. After that, the ant shapes the soil, assuring the nest walls are strong and stable. Finally, the ant collects soil from its surroundings."", ""An animal eats a lot of food to fatten up.\nThe animal finds or builds a suitable place to hibernate where they can stay warm and protected.\nThe animal moves into their den.\nTheir heart rate and breathing slow down to conserve energy.\nThey emerge from the den when the weather is warming up again."", ""A seed is planted.\nIt becomes a seedling.\nThe seedling grows into a full-grown plant.\nThe plant releases some kind of pollenating product.\nThe plant either self-pollinates or is spread by insects or birds.\nSeeds are planted.\nThe cycle begins again."", ""An ant builds a nest by collecting soil from its surroundings. The ant then shapes the soil, making sure that the walls of the nest are strong and stable. Finally, the ant weaves the soil together to complete the structure of the nest.""]",C4,,,,,
389,823How does a thermal power plant generate electricity?,"In a coal-powered power station, coal is combusted to generate heat. The heat produced is then used to boil water in a boiler, which produces steam. The steam is used to rotate a turbine, which in turn rotates a generator. The generator then produces electricity as the turbine rotates.","A bird hatches from an egg.
The bird is nurtured by its parents.
And is fed food for growth.
The bird grows.
Begins to learn how to fly.
The bird matures.
The bird leaves its nest.
The bird makes its own nest.","A satellite's need is determined.
A group of people work to design a satellite capable of accomplishing the need.
A team designs the physical structure of the satellite.
A crew builds the physical satellite.
The satellite is packed into a capsule.
The satellite capsule is loaded onto a rocket.
The rocket is launched into space."," A thermal power plant combusts fuel to produce energy. The rotation of the rotor is then used to power the alternator. Following this, the energy heats the air in the furnace. The hot air then drives the turbine blades and causes the rotor to rotate. Finally, the alternator generates electricity.","A thermal power plant generates electricity by combusting fuel to produce energy. The energy is used to heat the air in the furnace. The hot air then drives the turbine blades and causes the rotor to rotate. The rotation of the rotor is used to power the alternator, which generates electricity.","[""A bird hatches from an egg.\nThe bird is nurtured by its parents.\nAnd is fed food for growth.\nThe bird grows.\nBegins to learn how to fly.\nThe bird matures.\nThe bird leaves its nest.\nThe bird makes its own nest."", "" A thermal power plant combusts fuel to produce energy. The rotation of the rotor is then used to power the alternator. Following this, the energy heats the air in the furnace. The hot air then drives the turbine blades and causes the rotor to rotate. Finally, the alternator generates electricity."", ""A thermal power plant generates electricity by combusting fuel to produce energy. The energy is used to heat the air in the furnace. The hot air then drives the turbine blades and causes the rotor to rotate. The rotation of the rotor is used to power the alternator, which generates electricity."", ""A satellite's need is determined.\nA group of people work to design a satellite capable of accomplishing the need.\nA team designs the physical structure of the satellite.\nA crew builds the physical satellite.\nThe satellite is packed into a capsule.\nThe satellite capsule is loaded onto a rocket.\nThe rocket is launched into space.""]",C3,,,,,
390,872How does a mineral get from a mine to a factory?,"Oil is extracted from an underground reservoir using drilling techniques. Once extracted, it is transported via pipelines to a refinery where it is processed and refined into petroleum products, such as gasoline. Finally, the petroleum products are transported from the refinery to the gas station, where it is sold to consumers.","Chloroplasts in the leaf of the plant traps light from the sun.
The roots absorb water and minerals from the soil.
This combination of water and minerals flows from the stem into the leaf.
Carbon dioxide enters the leaf.
Light, water and minerals, and the carbon dioxide all mix together.
This mixture forms sugar (glucose) which is what the plant eats.
Oxygen goes out of the leaf through the stomata.","Sediment transport is the movement of solid particles (sediment).
The movement is due to a combination of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained.
Sediment transport occurs in natural systems where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay.
The fluid is air, water, or ice.
And the force of gravity acts to move the particles along the sloping surface on which they are resting.
Sediment transport due to fluid motion occurs in rivers, oceans, lakes, seas, and other bodies of water due to currents and tides.
Transport is also caused by glaciers as they flow."," The mineral is first extracted from an ore deposit. It is then processed into metals at the factory. After being processed, the mineral is transported via trucks to a factory. Finally, the various processes at the factory produce useful metals.","The mineral is extracted from an ore deposit. It is then transported via trucks to a factory where it is processed into metals. The process of extracting the mineral from the ore deposit and then transporting it to the factory is an important part of the mining industry. Once at the factory, the mineral is subjected to a variety of processes that result in the production of useful metals.","["" The mineral is first extracted from an ore deposit. It is then processed into metals at the factory. After being processed, the mineral is transported via trucks to a factory. Finally, the various processes at the factory produce useful metals."", ""The mineral is extracted from an ore deposit. It is then transported via trucks to a factory where it is processed into metals. The process of extracting the mineral from the ore deposit and then transporting it to the factory is an important part of the mining industry. Once at the factory, the mineral is subjected to a variety of processes that result in the production of useful metals."", ""Sediment transport is the movement of solid particles (sediment).\nThe movement is due to a combination of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained.\nSediment transport occurs in natural systems where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay.\nThe fluid is air, water, or ice.\nAnd the force of gravity acts to move the particles along the sloping surface on which they are resting.\nSediment transport due to fluid motion occurs in rivers, oceans, lakes, seas, and other bodies of water due to currents and tides.\nTransport is also caused by glaciers as they flow."", ""Chloroplasts in the leaf of the plant traps light from the sun.\nThe roots absorb water and minerals from the soil.\nThis combination of water and minerals flows from the stem into the leaf.\nCarbon dioxide enters the leaf.\nLight, water and minerals, and the carbon dioxide all mix together.\nThis mixture forms sugar (glucose) which is what the plant eats.\nOxygen goes out of the leaf through the stomata.""]",C2,,,,,
391,35How does a steel beam form?,"Igneous rock is formed when molten magma cools and solidifies. This magma is usually released from a volcanic eruption and as it cools, silica combines with other minerals to form the igneous rock. The cooling process can take up to thousands of years, depending on the environment and composition of the magma.","A man and woman mate.
Embryo is C.
Embryo grows and develops into a fetus inside the woman's womb.
The fetus is born.
Begins to grow and develop through infancy and childhood.
In the teenage years the human experiences puberty.
Reaches sexual maturity.
At 18 the human becomes an adult.
Adult may procreate continuing the cycle.","The coffee pot is filled with water.
Water is poured into the well of the machine.
A filter is placed in the basket.
Ground coffee is measured into the filter.
Turning on the machine starts the water heating.
The hot water rises up.
The water drops into the ground coffee.
The hot water passes through the grounds.
The coffee drips into the pot from the basket."," The molten steel cools, hardens, and takes the form of a steel beam. After the formation of the steel beam, molten steel is released from the furnace. Finally, iron combines with carbon to create the steel.","The steel beam forms when molten steel cools and hardens. The steel is released from the furnace and iron combines with carbon to create the steel. As the molten steel cools, it hardens and takes the form of a steel beam.","[""The steel beam forms when molten steel cools and hardens. The steel is released from the furnace and iron combines with carbon to create the steel. As the molten steel cools, it hardens and takes the form of a steel beam."", "" The molten steel cools, hardens, and takes the form of a steel beam. After the formation of the steel beam, molten steel is released from the furnace. Finally, iron combines with carbon to create the steel."", ""The coffee pot is filled with water.\nWater is poured into the well of the machine.\nA filter is placed in the basket.\nGround coffee is measured into the filter.\nTurning on the machine starts the water heating.\nThe hot water rises up.\nThe water drops into the ground coffee.\nThe hot water passes through the grounds.\nThe coffee drips into the pot from the basket."", ""A man and woman mate.\nEmbryo is C.\nEmbryo grows and develops into a fetus inside the woman's womb.\nThe fetus is born.\nBegins to grow and develop through infancy and childhood.\nIn the teenage years the human experiences puberty.\nReaches sexual maturity.\nAt 18 the human becomes an adult.\nAdult may procreate continuing the cycle.""]",C1,,,,,
392,936What happens during weathering by wind?,"The ocean's waves erode the coastline, carrying away sediment from the beaches. The water also dissolves minerals from the land, further contributing to erosion. As the waves hit the shore, they break down the rocks and soil and carry it away, slowly wearing down the coastline.","Volcanos contain magma.
The magma is very hot.
The magma rises toward the surface of the volcano.
The magma cools.
The magma starts to harden as it cools.
The magma is sometimes released from the volcano as lava.
The magma or lava becomes a hard rock as it solidifies.","Oxygen enters the body through the mouth or nose.
The oxygen travels into the lungs.
The oxygen binds to hemoglobin proteins within erythrocytes (red blood cells).
The erythrocytes are pumped through the body by the heart.
All cells receive the oxygen."," Wind erodes rocks and carries dust to the plains. This process then breaks rocks into smaller pieces over time. Following this, the air dissolves minerals that can be washed away by rain or wind. Finally, wind causes abrasion, eroding rock surfaces.","Wind is a powerful force that can erode rocks and carry dust away to the plains. The air can also dissolve minerals, which can be washed away by rain or blown away by the wind. Wind can also cause abrasion, which occurs when particles erode rock surfaces. This process can cause rocks to break up into smaller pieces over time.","[""Wind is a powerful force that can erode rocks and carry dust away to the plains. The air can also dissolve minerals, which can be washed away by rain or blown away by the wind. Wind can also cause abrasion, which occurs when particles erode rock surfaces. This process can cause rocks to break up into smaller pieces over time."", ""Volcanos contain magma.\nThe magma is very hot.\nThe magma rises toward the surface of the volcano.\nThe magma cools.\nThe magma starts to harden as it cools.\nThe magma is sometimes released from the volcano as lava.\nThe magma or lava becomes a hard rock as it solidifies."", ""Oxygen enters the body through the mouth or nose.\nThe oxygen travels into the lungs.\nThe oxygen binds to hemoglobin proteins within erythrocytes (red blood cells).\nThe erythrocytes are pumped through the body by the heart.\nAll cells receive the oxygen."", "" Wind erodes rocks and carries dust to the plains. This process then breaks rocks into smaller pieces over time. Following this, the air dissolves minerals that can be washed away by rain or wind. Finally, wind causes abrasion, eroding rock surfaces.""]",C1,,,,,
393,948How does the hydrological cycle work?,"The water cycle is a continuous cycle of water on Earth. During the water cycle, liquid water is converted to vapor through evaporation. This water vapor is then moved around the atmosphere and condensed back into liquid form, releasing the stored water in the form of precipitation. Additionally, transpiration cycles water through plants, where it is released back into the atmosphere.","Human beings burn fossil fuels (oil, gas, etc.).
Carbon dioxide from the burning fossil fuels enter the atmosphere.
The make-up of the atmosphere changes.
Some energy from the sun cannot escape back through the changed atmosphere.
The earth begins to heat because of the extra trapped energy.
Human beings cut down trees.
Human beings do not re-plant the trees.
Trees cannot help take the extra carbon dioxide from the atmosphere.
The extra trapped energy starts to change the earth's short term weather.
Eventually the long-term climate patterns start to change.","Get some pumpkin seeds.
Plant the pumpkin seeds in soil.
Water the plant if it starts to dry out.
Don't water directly on the leaves.
Male flowers appear.
Female flowers are open for one day.
Pumpkins mature 85-125 days after planting."," The hydrological cycle starts with evaporation, which converts liquid water into water vapor. Then, the liquid water is released as runoff or infiltration into the soil. After that, the water vapor is carried by the atmosphere and condenses into liquid water. Runoff also releases stored water from snow, rivers, and lakes. Finally, infiltration cycles water from the surface into the soil and groundwater.","The hydrological cycle starts with evaporation, which converts liquid water into water vapor. The water vapor is then carried by the atmosphere and condenses into liquid water. The liquid water is then released as runoff or infiltration into the soil, cycling the water back into the soil. Runoff also releases stored water from snow, rivers, and lakes. Infiltration cycles water from the surface into the soil and groundwater.","["" The hydrological cycle starts with evaporation, which converts liquid water into water vapor. Then, the liquid water is released as runoff or infiltration into the soil. After that, the water vapor is carried by the atmosphere and condenses into liquid water. Runoff also releases stored water from snow, rivers, and lakes. Finally, infiltration cycles water from the surface into the soil and groundwater."", ""The hydrological cycle starts with evaporation, which converts liquid water into water vapor. The water vapor is then carried by the atmosphere and condenses into liquid water. The liquid water is then released as runoff or infiltration into the soil, cycling the water back into the soil. Runoff also releases stored water from snow, rivers, and lakes. Infiltration cycles water from the surface into the soil and groundwater."", ""Get some pumpkin seeds.\nPlant the pumpkin seeds in soil.\nWater the plant if it starts to dry out.\nDon't water directly on the leaves.\nMale flowers appear.\nFemale flowers are open for one day.\nPumpkins mature 85-125 days after planting."", ""Human beings burn fossil fuels (oil, gas, etc.).\nCarbon dioxide from the burning fossil fuels enter the atmosphere.\nThe make-up of the atmosphere changes.\nSome energy from the sun cannot escape back through the changed atmosphere.\nThe earth begins to heat because of the extra trapped energy.\nHuman beings cut down trees.\nHuman beings do not re-plant the trees.\nTrees cannot help take the extra carbon dioxide from the atmosphere.\nThe extra trapped energy starts to change the earth's short term weather.\nEventually the long-term climate patterns start to change.""]",C2,,,,,
394,879How does fog form?,"Rain is a result of the water cycle.  Sunlight causes water to evaporate, forming water vapor in the atmosphere.  The warm air rises and eventually cools, causing the water vapor to condense and form clouds.  Once the clouds become heavy and full of water, the rain begins to fall.","Light energy is absorbed by chlorophyll in a plant.
The light energy is used to convert carbon dioxide.
The plant uses nutrients in the soil.
The plant uses carbon dioxide in the air to produce glucose.
The plant uses the glucose to give itself energy.
Oxygen is released as a by product.","Sediment becomes loose from the rest of the soil.
The sediment rolls down hill towards a river.
The heavy items sink to the bottom.
The lighter items float on the top and in convection cycles.
As the river flows the sediment is moved.
The sediment gets dumped through tributaries into lakes and the ocean.
The sediment keeps moving around the world in convection currents."," Water droplets in the atmosphere condense into fog. As the cool air rises, it cools and the water vapor condenses, forming fog. After the fog has formed, cool temperatures cause water vapor to evaporate and rise through the atmosphere.","Fog forms when water droplets in the atmosphere condense into fog. This process is aided by cool temperatures, which cause water vapor to evaporate and rise through the atmosphere. As the cool air rises, it cools and the water vapor condenses, forming fog.","["" Water droplets in the atmosphere condense into fog. As the cool air rises, it cools and the water vapor condenses, forming fog. After the fog has formed, cool temperatures cause water vapor to evaporate and rise through the atmosphere."", ""Sediment becomes loose from the rest of the soil.\nThe sediment rolls down hill towards a river.\nThe heavy items sink to the bottom.\nThe lighter items float on the top and in convection cycles.\nAs the river flows the sediment is moved.\nThe sediment gets dumped through tributaries into lakes and the ocean.\nThe sediment keeps moving around the world in convection currents."", ""Fog forms when water droplets in the atmosphere condense into fog. This process is aided by cool temperatures, which cause water vapor to evaporate and rise through the atmosphere. As the cool air rises, it cools and the water vapor condenses, forming fog."", ""Light energy is absorbed by chlorophyll in a plant.\nThe light energy is used to convert carbon dioxide.\nThe plant uses nutrients in the soil.\nThe plant uses carbon dioxide in the air to produce glucose.\nThe plant uses the glucose to give itself energy.\nOxygen is released as a by product.""]",C3,,,,,
395,300Describe how viruses can cause disease.,"Bacteria can cause disease by invading cells in the body. Once inside the cells, the bacteria can produce toxins that can cause damage to the cells or other areas of the body. Bacteria can also spread through contact with an infected person or object. In these cases, the bacteria can enter the body and cause disease.","People dig up coal from the ground.
People burn coal for heat or electricity.
Pollution from the coal goes into the sky.
Coal pollution enters clouds.
Clouds rain over an area.
The polluted rain becomes acid rain.","A conducting metal, like copper, is wrapped around a piece of metal.
An electrical source, like a battery, produces an electrical current.
The electrical current flows through the wire.
The electrical current creates a magnetic field around the wire, magnetizing the metal.
The magnetic field can be turned on and off by starting or stopping the electricity source."," Viruses spread through contact with an infected person or object, leading to further infection. After spreading, the viruses invade the cells of their host. Once inside, the invaded cells produce toxins which can be harmful to the body.","Viruses can cause disease by invading the cells of their host. They enter the cells and cause them to produce toxins, which can be harmful to the body. Additionally, viruses can spread through contact with an infected person or object, leading to further infection.","[""A conducting metal, like copper, is wrapped around a piece of metal.\nAn electrical source, like a battery, produces an electrical current.\nThe electrical current flows through the wire.\nThe electrical current creates a magnetic field around the wire, magnetizing the metal.\nThe magnetic field can be turned on and off by starting or stopping the electricity source."", ""Viruses can cause disease by invading the cells of their host. They enter the cells and cause them to produce toxins, which can be harmful to the body. Additionally, viruses can spread through contact with an infected person or object, leading to further infection."", ""People dig up coal from the ground.\nPeople burn coal for heat or electricity.\nPollution from the coal goes into the sky.\nCoal pollution enters clouds.\nClouds rain over an area.\nThe polluted rain becomes acid rain."", "" Viruses spread through contact with an infected person or object, leading to further infection. After spreading, the viruses invade the cells of their host. Once inside, the invaded cells produce toxins which can be harmful to the body.""]",C2,,,,,
