,sample_id,source_paragraph,random1_target_paragraph,random2_target_paragraph,random3_target_paragraph,analogous_target_paragraph,shuffled_candidates,analogy_type,ground_truth
242,745How do humans interact with one another?,"Bees are important pollinators for many plant species. They transfer pollen from the male parts of flowers to the female parts, enabling fertilization and reproduction. To do this, they collect nectar and use their hair to transport the pollen. In addition, they produce honey as a byproduct of their pollination.","Air is drawn in through the mouth.
The air goes down the esophagus.
The air moves into the lungs.
The carbon dioxide is removed.
The remaining oxygen enters the body.
The remaining carbon dioxide is expelled through the mouth.","Air is pulled into the lungs.
Oxygen moves from the lungs into the bloodstream.
Air is pushed through the vocal chords.
A person talks.
Other air is pushed out of the lungs into the environment.","Adult rabbits mate.
The female becomes pregnant.
The female gives birth to rabbit babies.
The rabbit babies grow into adult rabbits.
The new adults mate with other rabbits.
Produce more rabbits.","Humans interact with one another by exchanging information.
 They collect data from the environment and from each other to try to understand the world around them.
 By gathering and analyzing data, people are able to produce new knowledge.","[""Air is pulled into the lungs.\nOxygen moves from the lungs into the bloodstream.\nAir is pushed through the vocal chords.\nA person talks.\nOther air is pushed out of the lungs into the environment."", ""Air is drawn in through the mouth.\nThe air goes down the esophagus.\nThe air moves into the lungs.\nThe carbon dioxide is removed.\nThe remaining oxygen enters the body.\nThe remaining carbon dioxide is expelled through the mouth."", ""Adult rabbits mate.\nThe female becomes pregnant.\nThe female gives birth to rabbit babies.\nThe rabbit babies grow into adult rabbits.\nThe new adults mate with other rabbits.\nProduce more rabbits."", ""Humans interact with one another by exchanging information.\n They collect data from the environment and from each other to try to understand the world around them.\n By gathering and analyzing data, people are able to produce new knowledge.""]",far analogy,C4
243,747How do tunnels form?,"Caverns are formed when water erodes limestone.
 The water slowly wears away the limestone, creating large cavities.
 Stalactites hang from the ceiling of the cavern, and stalagmites rise from the floor.
 The erosion process continues over millions of years until the cavern is formed.","Water vapor gets into the atmosphere through a process called evaporation.
This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.
The water vapor rises in the atmosphere and there it cools down.
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.
These then turn into clouds.
When they all combine together, they grow bigger and are too heavy to stay up there in the air.
This is when they will fall to the ground as rain, or maybe snow or hail by gravity.","A frog lays eggs in the water.
Tadpoles develop inside of the eggs.
The eggs hatch.
The tadpoles eat and grow.
The tadpoles grow legs and form into frogs.
The frogs leave the water.","You breathe in through your nose or mouth.
The air travels through your windpipe.
Into your lungs.
Inside your lungs are tiny air sacs.
The air sacs transfer the oxygen into your blood.
The oxygen travels through your blood stream.
The carbon dioxide from your blood stream is transferred to your air sacs.
You breathe out and expel the carbon dioxide from your lungs.","Tunnels are formed by earthmoving machinery that erodes the soil and creates an underground space.
 To support the tunnel, rebar is hung from the ceiling.
 Concrete then rises from the floor to form the walls and ceiling of the tunnel.","[""A frog lays eggs in the water.\nTadpoles develop inside of the eggs.\nThe eggs hatch.\nThe tadpoles eat and grow.\nThe tadpoles grow legs and form into frogs.\nThe frogs leave the water."", ""Tunnels are formed by earthmoving machinery that erodes the soil and creates an underground space.\n To support the tunnel, rebar is hung from the ceiling.\n Concrete then rises from the floor to form the walls and ceiling of the tunnel."", ""Water vapor gets into the atmosphere through a process called evaporation.\nThis then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.\nThe water vapor rises in the atmosphere and there it cools down.\nWater vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.\nThese then turn into clouds.\nWhen they all combine together, they grow bigger and are too heavy to stay up there in the air.\nThis is when they will fall to the ground as rain, or maybe snow or hail by gravity."", ""You breathe in through your nose or mouth.\nThe air travels through your windpipe.\nInto your lungs.\nInside your lungs are tiny air sacs.\nThe air sacs transfer the oxygen into your blood.\nThe oxygen travels through your blood stream.\nThe carbon dioxide from your blood stream is transferred to your air sacs.\nYou breathe out and expel the carbon dioxide from your lungs.""]",far analogy,C2
244,747How does a volcano form?,"Caverns are formed by a process of erosion. Rainwater erodes the rocks and the sediment that comes along with it. The dissolved minerals in the water fill the cracks and crevices of the rocks. Over time, the ground water dissolves the limestone and other rocks, causing the formation of a cavern.","Minerals fill spaces between bits of sediment.
The sediments become glued together.
The glued together parts become hard like cement.
The sediment becomes a big rock.
The rocks erode slowly.
The rocks come apart.
The rocks become smaller rocks.
The rocks continue to erode into smaller rocks.
The process starts again.","Adult mushrooms produce spores.
Release them into the air by process of sporulation.
Spores are carried by the wind.
Land in a hospitable growing environment.
The spores germinate into the soil.
The mushroom starts growing.
The adult mushroom produce spores of its own to repeat the process.","Acid rain leaches aluminum from clay particles in soil.
Aluminum flows into streams and lakes.
Acid rain dissolves minerals and nutrients in soil.
Washes them away so plants can't benefit from them.
PH in soil and water gets affected which can kill plants and animals.
Acid rain in fog at higher elevations can strip foliage off trees.","Volcanoes form when magma from deep within the Earth's surface rises and begins to erode the rocks around it.
 As it rises further, the magma begins to dissolve the rocks, and the cracks and fissures created by the dissolving rocks fill with lava.
 Eventually, the magma builds up and erupts, forming a volcano.","[""Minerals fill spaces between bits of sediment.\nThe sediments become glued together.\nThe glued together parts become hard like cement.\nThe sediment becomes a big rock.\nThe rocks erode slowly.\nThe rocks come apart.\nThe rocks become smaller rocks.\nThe rocks continue to erode into smaller rocks.\nThe process starts again."", ""Adult mushrooms produce spores.\nRelease them into the air by process of sporulation.\nSpores are carried by the wind.\nLand in a hospitable growing environment.\nThe spores germinate into the soil.\nThe mushroom starts growing.\nThe adult mushroom produce spores of its own to repeat the process."", ""Acid rain leaches aluminum from clay particles in soil.\nAluminum flows into streams and lakes.\nAcid rain dissolves minerals and nutrients in soil.\nWashes them away so plants can't benefit from them.\nPH in soil and water gets affected which can kill plants and animals.\nAcid rain in fog at higher elevations can strip foliage off trees."", ""Volcanoes form when magma from deep within the Earth's surface rises and begins to erode the rocks around it.\n As it rises further, the magma begins to dissolve the rocks, and the cracks and fissures created by the dissolving rocks fill with lava.\n Eventually, the magma builds up and erupts, forming a volcano.""]",close analogy,C4
245,770How does a mechanical ventilator work?,"The lungs are responsible for exchanging oxygen and carbon dioxide.
 Air flows into the lungs and oxygen is absorbed by the blood.
 The lungs allow oxygen to be exchanged with the environment, while carbon dioxide is expelled.
 The oxygen is taken up by the bloodstream and transported to the body’s cells, while carbon dioxide is released into the atmosphere.","Two birds meet each other.
Egg is produced after fertilziation.
Mother sits on egg until it hatches.
Bird Hatches.
Grows up.
Flee the next.
Starts family.
Dies.","You inhale.
The air enters the mouth and nose.
The diaphragm contracts.
Air fills all the sacks in the lungs.
Oxygen passes through the sacks into capillaries.
The blood is passed to the blood in the capillaries.
The blood carries the oxygen to the heart.
The heart pumps the oxygenated blood to the body.","Items that can be reused are placed into recycling containers.
Recycling trucks pick up the items that are able to be reused.
The recyclable items travel to a recycling plant.
The items are sorted by what they are made of.
The items are broken down into small parts.
The small parts are melted to make new raw parts.
The raw parts are sold to manufactures to make new items.","A mechanical ventilator is a device used to exchange oxygen and carbon dioxide.
 Air is drawn into the ventilator and passed over the patient's lungs.
 The air is then circulated through the ventilator and out of the device.
 As the air passes over the lungs, blood absorbs oxygen from the ventilator, while carbon dioxide is expelled from the blood into the air.","[""A mechanical ventilator is a device used to exchange oxygen and carbon dioxide.\n Air is drawn into the ventilator and passed over the patient's lungs.\n The air is then circulated through the ventilator and out of the device.\n As the air passes over the lungs, blood absorbs oxygen from the ventilator, while carbon dioxide is expelled from the blood into the air."", ""You inhale.\nThe air enters the mouth and nose.\nThe diaphragm contracts.\nAir fills all the sacks in the lungs.\nOxygen passes through the sacks into capillaries.\nThe blood is passed to the blood in the capillaries.\nThe blood carries the oxygen to the heart.\nThe heart pumps the oxygenated blood to the body."", ""Items that can be reused are placed into recycling containers.\nRecycling trucks pick up the items that are able to be reused.\nThe recyclable items travel to a recycling plant.\nThe items are sorted by what they are made of.\nThe items are broken down into small parts.\nThe small parts are melted to make new raw parts.\nThe raw parts are sold to manufactures to make new items."", ""Two birds meet each other.\nEgg is produced after fertilziation.\nMother sits on egg until it hatches.\nBird Hatches.\nGrows up.\nFlee the next.\nStarts family.\nDies.""]",close analogy,C1
246,771How does a mechanical ventilation system work?,"Lungs are organs that allow us to breathe. They inhale oxygen from the air, and exhale carbon dioxide. The process of inhalation and exhalation is made possible by the alveoli, which are tiny air sacs in the lungs. The alveoli exchange gases between the lungs and the bloodstream. The oxygen is then transported by the blood vessels to the rest of the body.","People breathe and expel carbon dioxide.
Engines produce carbon dioxide.
Living things produce waste.
Waste decomposes.
Decomposition produces methane.
Water evaporates.
Water vapor joins the atmosphere.
Carbon dioxide, water vapor and methane are greenhouse gases.","The animal eats large quantities of food that will be stored as fat.
Winter comes and the animal finds a place to hibernate.
Over a period of days, the animal's heart rate and breathing rate drop slowly.
Electrical activity in the brain almost ceases completely, though some areas remain active.
The animal has entered hibernation mode.","A larva is born.
The caterpillar eats constantly until it grows bigger.
The caterpillar starts to form a cocoon around itself.
The caterpillar becomes a pupa.
After some time the cocoon hatches.
And a butterfly is born.",A mechanical ventilation system relies on a ventilator to draw in air from the outside and expel exhaust air out. Fans are used to exchange air between the two sides of the system. The air is then transported through the ducts to the desired location. The ventilator and fans work together to create an effective system that can bring fresh air into a space while expelling stale air out.,"[""People breathe and expel carbon dioxide.\nEngines produce carbon dioxide.\nLiving things produce waste.\nWaste decomposes.\nDecomposition produces methane.\nWater evaporates.\nWater vapor joins the atmosphere.\nCarbon dioxide, water vapor and methane are greenhouse gases."", ""A mechanical ventilation system relies on a ventilator to draw in air from the outside and expel exhaust air out. Fans are used to exchange air between the two sides of the system. The air is then transported through the ducts to the desired location. The ventilator and fans work together to create an effective system that can bring fresh air into a space while expelling stale air out."", ""The animal eats large quantities of food that will be stored as fat.\nWinter comes and the animal finds a place to hibernate.\nOver a period of days, the animal's heart rate and breathing rate drop slowly.\nElectrical activity in the brain almost ceases completely, though some areas remain active.\nThe animal has entered hibernation mode."", ""A larva is born.\nThe caterpillar eats constantly until it grows bigger.\nThe caterpillar starts to form a cocoon around itself.\nThe caterpillar becomes a pupa.\nAfter some time the cocoon hatches.\nAnd a butterfly is born.""]",far analogy,C2
247,771How does a gas exchange system function?,"The lungs work by allowing oxygen to enter and carbon dioxide to leave.
 Oxygen enters the lungs and is then drawn into the blood stream, where it is carried to the cells of the body.
 The blood then carries the oxygen to the cells and also carries carbon dioxide out of the cells, which then leaves the lungs.","Adult mushrooms produce spores.
Release them into the air by process of sporulation.
Spores are carried by the wind.
Land in a hospitable growing environment.
The spores germinate into the soil.
The mushroom starts growing.
The adult mushroom produce spores of its own to repeat the process.","Batteries are put in a flashlight.
The flashlight is turned on.
Two contact strips touch one another.
A circuit is completed between the batteries and the lamp.
The lamp in the flashlight begins to glow.
The reflector in the flashlight directs the lamp's beam.
A straight beam of light is generated.
The flashlight is turned off.
The circuit is broken.
The beam is no longer visible.","Sound enters the ears of a person.
The sound hits a drum that is inside the ear.
The drum inside the ear converts the sound to electrical impulses.
The electrical impulses are sent to the brain.
The brain can decode the impulses into sound.","A gas exchange system functions by allowing oxygen to enter the alveoli, while at the same time allowing carbon dioxide to leave. The oxygen enters the alveoli and is absorbed into the bloodstream, while the carbon dioxide is expelled from the alveoli into the air. The blood then carries the carbon dioxide away from the alveoli and eventually out of the body.","[""Sound enters the ears of a person.\nThe sound hits a drum that is inside the ear.\nThe drum inside the ear converts the sound to electrical impulses.\nThe electrical impulses are sent to the brain.\nThe brain can decode the impulses into sound."", ""A gas exchange system functions by allowing oxygen to enter the alveoli, while at the same time allowing carbon dioxide to leave. The oxygen enters the alveoli and is absorbed into the bloodstream, while the carbon dioxide is expelled from the alveoli into the air. The blood then carries the carbon dioxide away from the alveoli and eventually out of the body."", ""Adult mushrooms produce spores.\nRelease them into the air by process of sporulation.\nSpores are carried by the wind.\nLand in a hospitable growing environment.\nThe spores germinate into the soil.\nThe mushroom starts growing.\nThe adult mushroom produce spores of its own to repeat the process."", ""Batteries are put in a flashlight.\nThe flashlight is turned on.\nTwo contact strips touch one another.\nA circuit is completed between the batteries and the lamp.\nThe lamp in the flashlight begins to glow.\nThe reflector in the flashlight directs the lamp's beam.\nA straight beam of light is generated.\nThe flashlight is turned off.\nThe circuit is broken.\nThe beam is no longer visible.""]",close analogy,C2
248,771How does the cardiovascular system function?,"Lungs take in oxygen and expel carbon dioxide. This process is called respiration. The air we breathe is filled with oxygen.
 The bronchi transport oxygen to the alveoli, which are small air sacs in the lungs. The alveoli absorb the oxygen and then transfer it to the bloodstream. The lungs then expel the carbon dioxide that was produced when the body used the oxygen.","Open the Dishwasher.
Slide out the bottom rack.
Take a dirty plate.
Rinse the plate.
Place the dish in the rack.
Repeat leaving enough space for water to reach all items.
Fill the soap cup.
Turn on the dishwasher.","Items are collected.
The items are sorted.
Trash is removed from everything else.
Goes to a landfill.
The items go into a baler machine for each kind of material.
They come out as bales.
The bales are shipped to manufacturers to use to make products.","You eat food.
Your stomach digests the food.
Sugars from food enter your bloodstream.
Insulin helps turn sugars into energy.
Insulin helps your body store the energy in fat, muscle and liver cells.","The cardiovascular system is responsible for transporting oxygen and other essential nutrients throughout the body. The heart takes in oxygen and expels carbon dioxide. Blood vessels transport the oxygen to the capillaries, which absorb the oxygen and transport it to the cells. The combination of the heart and blood vessels helps to ensure that oxygen is delivered to the cells, while carbon dioxide is removed from the body.","[""Open the Dishwasher.\nSlide out the bottom rack.\nTake a dirty plate.\nRinse the plate.\nPlace the dish in the rack.\nRepeat leaving enough space for water to reach all items.\nFill the soap cup.\nTurn on the dishwasher."", ""The cardiovascular system is responsible for transporting oxygen and other essential nutrients throughout the body. The heart takes in oxygen and expels carbon dioxide. Blood vessels transport the oxygen to the capillaries, which absorb the oxygen and transport it to the cells. The combination of the heart and blood vessels helps to ensure that oxygen is delivered to the cells, while carbon dioxide is removed from the body."", ""You eat food.\nYour stomach digests the food.\nSugars from food enter your bloodstream.\nInsulin helps turn sugars into energy.\nInsulin helps your body store the energy in fat, muscle and liver cells."", ""Items are collected.\nThe items are sorted.\nTrash is removed from everything else.\nGoes to a landfill.\nThe items go into a baler machine for each kind of material.\nThey come out as bales.\nThe bales are shipped to manufacturers to use to make products.""]",close analogy,C2
249,773How do metals alloy together?,"Minerals form when elements combine to form compounds.
 These compounds form crystals which solidify into minerals.
 The minerals are held together through chemical bonds which hold the elements in place.
 By forming these bonds, minerals are then able to form and remain stable.","A tadpole is hatched.
The tadpole eventually grows hind legs.
The tadpole loses its tail.
The tadpole becomes a frog.
The frog mates with another frog to produce more offspring.
A tadpole is hatched.
The cycle begins again.","The dna strand of a cell decides to replicate.
Chemicals in the strand break up the helix.
The helix is split into two.
The helix forms as the basis of a new dna strand.
The cell replicates.","A person takes in oxygen through their nose or mouth.
The oxygen travels into the body.
Breaks down into glucose.
Carbon dioxide is produced by the glucose breakdown.
The carbon dioxide is exhaled out of the body through the nose or mouth.","Metals combine to form alloys by forming lattices of atoms. These atoms are held together by molecular bonds, which bond the metals together. As the metals alloy together, the molecular bonds become stronger and form a strong bond that holds the metals together.","[""A person takes in oxygen through their nose or mouth.\nThe oxygen travels into the body.\nBreaks down into glucose.\nCarbon dioxide is produced by the glucose breakdown.\nThe carbon dioxide is exhaled out of the body through the nose or mouth."", ""Metals combine to form alloys by forming lattices of atoms. These atoms are held together by molecular bonds, which bond the metals together. As the metals alloy together, the molecular bonds become stronger and form a strong bond that holds the metals together."", ""The dna strand of a cell decides to replicate.\nChemicals in the strand break up the helix.\nThe helix is split into two.\nThe helix forms as the basis of a new dna strand.\nThe cell replicates."", ""A tadpole is hatched.\nThe tadpole eventually grows hind legs.\nThe tadpole loses its tail.\nThe tadpole becomes a frog.\nThe frog mates with another frog to produce more offspring.\nA tadpole is hatched.\nThe cycle begins again.""]",far analogy,C2
250,775How do cultural norms evolve?,Minerals form when chemical elements combine to create compounds. Minerals can also be formed when heat and pressure transform existing materials. Crystallization is another process that produces minerals when the atoms in a material are arranged in an orderly fashion.,"Seeds are sown into the ground.
The earth where the seeds are planted is given water and fertilizer.
The seeds start to grow and become seedlings.
The plants are given water.
The seedlings grow into plants.
Weeds growing near the plants are removed.
The plants grow to maturity.","Blood sugar levels increase after a meal.
Cells in the pancreas release insulin.
Insulin causes the body to absorb glucose from the blood.
Blood sugar goes back to normal.
Blood sugar is too low.
The amount of insulin goes down.
Cells in the pancreas release glucagon.
The liver turns stored glycogen into glucose.
The liver releases the glucose into the blood.
Blood sugar goes back to normal.","Coal is harvested from a coal mine.
The coal is transported either by train or truck to power station.
The coal is burned in a furnace.
Water is turned into steam in the boiler.
The steam is cooled in cooling towers.
The steam turns the turbines.
The generator makes electricity.
The electricity is sent through transformers.","Cultural norms are formed through a combination of values.
 They are further shaped and evolved through social interactions, as people share their experiences, which in turn produces new cultural norms.
 These changes are then integrated into the culture, resulting in a transformation of the existing cultural norms.","[""Blood sugar levels increase after a meal.\nCells in the pancreas release insulin.\nInsulin causes the body to absorb glucose from the blood.\nBlood sugar goes back to normal.\nBlood sugar is too low.\nThe amount of insulin goes down.\nCells in the pancreas release glucagon.\nThe liver turns stored glycogen into glucose.\nThe liver releases the glucose into the blood.\nBlood sugar goes back to normal."", ""Seeds are sown into the ground.\nThe earth where the seeds are planted is given water and fertilizer.\nThe seeds start to grow and become seedlings.\nThe plants are given water.\nThe seedlings grow into plants.\nWeeds growing near the plants are removed.\nThe plants grow to maturity."", ""Coal is harvested from a coal mine.\nThe coal is transported either by train or truck to power station.\nThe coal is burned in a furnace.\nWater is turned into steam in the boiler.\nThe steam is cooled in cooling towers.\nThe steam turns the turbines.\nThe generator makes electricity.\nThe electricity is sent through transformers."", ""Cultural norms are formed through a combination of values.\n They are further shaped and evolved through social interactions, as people share their experiences, which in turn produces new cultural norms.\n These changes are then integrated into the culture, resulting in a transformation of the existing cultural norms.""]",far analogy,C4
251,783How do animals aid in the pollination of plants?,"Plants use animals to help disperse their seeds. The seeds are usually enclosed in fruits that are eaten by animals, such as birds, who then carry the seeds away from the parent plant. This helps to disperse the seeds far from the parent plants, allowing them to take root and grow in different locations.","The growing season starts.
Bark grows on a tree.
The inside of the tree grows.
The bark is pushed out around the tree trunk.
The bark leaves a ring.
The growing season slows down and ends.","Two birds meet each other.
Egg is produced after fertilziation.
Mother sits on egg until it hatches.
Bird Hatches.
Grows up.
Flee the next.
Starts family.
Dies.","A bird lays an egg.
The egg hatches into a baby bird.
Baby bird eats.
Grows into an adult bird.
The bird finds a mate.
The pair build a nest.
The birds lay eggs.","Animals play an important role in pollination.
 They carry pollen from one plant to another, helping disperse it to many different plants.
 Bees are one of the most important animals in pollination as they carry the pollen on their bodies and disperse it on their travels.
 Animals also eat the nectar of the plants, aiding in the pollination process as they move from plant to plant.","[""Two birds meet each other.\nEgg is produced after fertilziation.\nMother sits on egg until it hatches.\nBird Hatches.\nGrows up.\nFlee the next.\nStarts family.\nDies."", ""The growing season starts.\nBark grows on a tree.\nThe inside of the tree grows.\nThe bark is pushed out around the tree trunk.\nThe bark leaves a ring.\nThe growing season slows down and ends."", ""Animals play an important role in pollination.\n They carry pollen from one plant to another, helping disperse it to many different plants.\n Bees are one of the most important animals in pollination as they carry the pollen on their bodies and disperse it on their travels.\n Animals also eat the nectar of the plants, aiding in the pollination process as they move from plant to plant."", ""A bird lays an egg.\nThe egg hatches into a baby bird.\nBaby bird eats.\nGrows into an adult bird.\nThe bird finds a mate.\nThe pair build a nest.\nThe birds lay eggs.""]",close analogy,C3
252,784How do viruses use cells to help spread their genetic information?,"Plants rely on animals to help disperse their seeds.
 The seeds of a plant may attach themselves to the fur of an animal, who then carries the seeds to a new location.
 The animals may eat the seeds and, in the process, deposit them in a new area, thus ensuring the plants’ ability to spread to new locations.","Rinse the dishes before placing them in a dishwasher.
Load glasses and plastic wear on the top rack.
Put plates, bowls, pots, and pans on the bottom rack.
Place all the utensils in the utensil basket.
Put detergent into the detergent holder.
Close the door and push the start button.","A forest fire starts.
The trees and plants burn.
The animals lose their homes.
If the animals can not escape, they may die from smoke inhalation.
The plants that provide food are gone.
The animals have little to eat.","Mix flour, baking powder, sugar, and salt into a bowl.
Mix in milk, eggs, and melted butter.
Mix until smooth.
Heat a griddle or frying pan to medium high.
Pour batter onto the griddle.","Viruses rely on cells to help spread their genetic information.
 Viruses attach their genetic material to surface proteins of cells, which allows them to enter and use the cells to replicate.
 The cells then carry the genetic material of the virus and spread it to other cells, allowing the virus to spread its genetic material and replicate.","[""Rinse the dishes before placing them in a dishwasher.\nLoad glasses and plastic wear on the top rack.\nPut plates, bowls, pots, and pans on the bottom rack.\nPlace all the utensils in the utensil basket.\nPut detergent into the detergent holder.\nClose the door and push the start button."", ""Mix flour, baking powder, sugar, and salt into a bowl.\nMix in milk, eggs, and melted butter.\nMix until smooth.\nHeat a griddle or frying pan to medium high.\nPour batter onto the griddle."", ""A forest fire starts.\nThe trees and plants burn.\nThe animals lose their homes.\nIf the animals can not escape, they may die from smoke inhalation.\nThe plants that provide food are gone.\nThe animals have little to eat."", ""Viruses rely on cells to help spread their genetic information.\n Viruses attach their genetic material to surface proteins of cells, which allows them to enter and use the cells to replicate.\n The cells then carry the genetic material of the virus and spread it to other cells, allowing the virus to spread its genetic material and replicate.""]",far analogy,C4
253,796How does the photosynthesis process work?,"The lungs are responsible for taking in oxygen and expelling carbon dioxide. When we inhale, our lungs fill with oxygen. This oxygen is then circulated throughout the body in our bloodstream. On the exhale, the lungs expel the carbon dioxide that our body has produced. In this way, the lungs exchange the gasses that our body needs in order to function properly.","Magma is formed when rock melts inside the Earth's crust.
Magma rises.
Collects inside magma chambers underneath a volcano.
Pressure builds in the magma chambers as they fill.
Gain energy for eruption.
Some of the energy is converted into seismic activity (earthquakes).
If the magma building in the volcano is thick and sticky it will trap gases.
Results in an explosive eruption when the pressure becomes too intense.
If the magma is thin and runs.
The magma results in a low-pressure, slow-moving flow of magma instead of a violent eruption.","Ocean waves hit land.
Ocean water pulls sand off of beaches.
Ocean water breaks rocks off of cliffs.
Ocean water carries sand and rocks into the ocean.
Sand and rocks go to other land or the bottom of the ocean.","Begin the party.
Partake in activities.
Bring out the cake.
Sing ""Happy Birthday!"".
Blow out the candles.
Eat the cake.
Open the presents.","The photosynthesis process takes place in the chloroplasts of plants.
 These chloroplasts take in carbon dioxide from the air and expel oxygen.
 The chloroplasts exchange these gases, and the carbon dioxide is used to create glucose and other organic molecules.
 The oxygen is released into the atmosphere.","[""Magma is formed when rock melts inside the Earth's crust.\nMagma rises.\nCollects inside magma chambers underneath a volcano.\nPressure builds in the magma chambers as they fill.\nGain energy for eruption.\nSome of the energy is converted into seismic activity (earthquakes).\nIf the magma building in the volcano is thick and sticky it will trap gases.\nResults in an explosive eruption when the pressure becomes too intense.\nIf the magma is thin and runs.\nThe magma results in a low-pressure, slow-moving flow of magma instead of a violent eruption."", ""Begin the party.\nPartake in activities.\nBring out the cake.\nSing \""Happy Birthday!\"".\nBlow out the candles.\nEat the cake.\nOpen the presents."", ""The photosynthesis process takes place in the chloroplasts of plants.\n These chloroplasts take in carbon dioxide from the air and expel oxygen.\n The chloroplasts exchange these gases, and the carbon dioxide is used to create glucose and other organic molecules.\n The oxygen is released into the atmosphere."", ""Ocean waves hit land.\nOcean water pulls sand off of beaches.\nOcean water breaks rocks off of cliffs.\nOcean water carries sand and rocks into the ocean.\nSand and rocks go to other land or the bottom of the ocean.""]",far analogy,C3
254,796How does the human respiratory system work?,"The lungs are responsible for exchanging oxygen and carbon dioxide. 
 The alveoli absorb the carbon dioxide from the body and the bronchioles deliver oxygen-rich air to the alveoli. 
 The oxygen is then passed into the bloodstream, where it is circulated throughout the body. 
 The bronchioles also help to remove carbon dioxide from the body by delivering it back out of the lungs. 
 The exchange of oxygen and carbon dioxide is essential for the body to function properly.","Water evaporates from the earth.
The evaporated water condenses into water drops.
The water drops fall back to earth.
The water accumulates on the earth.
The water collects into bodies of water.
The water soaks into the earth.","You gather a writing utensil and a piece of paper.
You use the writing utensil to compose your letter on the paper.
You fold the paper.
Place it into an envelope.
You write the address of the recipient on the outside of the envelope.
You seal the envelope with moisture or tape.
You apply a stamp to the outside of the envelope.
You put the envelope in a mailbox for a letter carrier to collect.
The letter carrier takes the envelope to the correct address.","A person takes in oxygen through their nose or mouth.
The oxygen travels into the body.
Breaks down into glucose.
Carbon dioxide is produced by the glucose breakdown.
The carbon dioxide is exhaled out of the body through the nose or mouth.","The human respiratory system is responsible for exchanging oxygen and carbon dioxide.
 The bronchioles deliver the air to the lungs, where it passes through the alveoli.
 The alveoli absorb the oxygen from the air and expel the carbon dioxide.
 The oxygen is then carried by the blood to the rest of the body, while the carbon dioxide is exhaled.","[""A person takes in oxygen through their nose or mouth.\nThe oxygen travels into the body.\nBreaks down into glucose.\nCarbon dioxide is produced by the glucose breakdown.\nThe carbon dioxide is exhaled out of the body through the nose or mouth."", ""Water evaporates from the earth.\nThe evaporated water condenses into water drops.\nThe water drops fall back to earth.\nThe water accumulates on the earth.\nThe water collects into bodies of water.\nThe water soaks into the earth."", ""You gather a writing utensil and a piece of paper.\nYou use the writing utensil to compose your letter on the paper.\nYou fold the paper.\nPlace it into an envelope.\nYou write the address of the recipient on the outside of the envelope.\nYou seal the envelope with moisture or tape.\nYou apply a stamp to the outside of the envelope.\nYou put the envelope in a mailbox for a letter carrier to collect.\nThe letter carrier takes the envelope to the correct address."", ""The human respiratory system is responsible for exchanging oxygen and carbon dioxide.\n The bronchioles deliver the air to the lungs, where it passes through the alveoli.\n The alveoli absorb the oxygen from the air and expel the carbon dioxide.\n The oxygen is then carried by the blood to the rest of the body, while the carbon dioxide is exhaled.""]",close analogy,C4
255,823How does a human heart pump blood?,"A coal-powered power station generates electricity by burning coal in combustion turbines.
 The heat generated by the combustion turbines is used to turn a generator, which then produces electrical power.
 The electricity is then sent to a transformer, which increases the voltage of the electricity before it is sent to the grid.
 To regulate the current and ensure safety, a circuit breaker is used to detect and stop any faults in the system.","Acid rain makes waters acidic.
Causes them to absorb aluminum from soil.
The water runs off from the soil into lakes, streams, etc.
Fish and their eggs die.
Frogs and plants die.
Insects and other wildlife die.
The ecosystem is out of balance, causing further problems.","A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.","The body's temperature increases over 98.6 degrees F.
The hypothalamus in the brain sends a message to the body.
Sweat glands in the skin receive the message.
The sweat glands start combining water and chemicals to make sweat.
The sweat leaves the skin through pores.","The ventricles of the heart generate a pressure that pushes the blood out of the heart.
 Valves in the heart prevent the blood from flowing back in, which increases the blood flow throughout the body.
 The arteries then regulate the oxygen levels in the blood, ensuring that the body gets enough oxygen.","[""A large rocky area is formed.\nThe rocky area has a higher elevation than the surrounding areas.\nWater from precipitation falls in the area.\nThe water forms a stream.\nThe stream flows towards lower elevation.\nThe stream becomes a river.\nThe river continues to flow along the same path for a long time.\nThe river erodes the rocky area that it touches.\nThe eroded area cuts deeply into the rock."", ""The body's temperature increases over 98.6 degrees F.\nThe hypothalamus in the brain sends a message to the body.\nSweat glands in the skin receive the message.\nThe sweat glands start combining water and chemicals to make sweat.\nThe sweat leaves the skin through pores."", ""Acid rain makes waters acidic.\nCauses them to absorb aluminum from soil.\nThe water runs off from the soil into lakes, streams, etc.\nFish and their eggs die.\nFrogs and plants die.\nInsects and other wildlife die.\nThe ecosystem is out of balance, causing further problems."", ""The ventricles of the heart generate a pressure that pushes the blood out of the heart.\n Valves in the heart prevent the blood from flowing back in, which increases the blood flow throughout the body.\n The arteries then regulate the oxygen levels in the blood, ensuring that the body gets enough oxygen.""]",far analogy,C4
