,sample_id,source_paragraph,target_paragraph,ground_truth,type
540,78How does a concrete structure form?,"Sedimentary rock forms when sediment is deposited in layers and compressed over time. The particles of sediment are pushed together and compacted, which causes the particles to solidify into rock. As the sediment accumulates and is compacted, the pressure from the weight of the sediment causes the sediment to solidify into sedimentary rock."," Cement is used in the construction process. The particles of cement are then compressed together to form a solid mass. After the compression, the cement accumulates layers as it is added to the structure. Finally, the cement solidifies into concrete, forming a strong and durable structure.",0,distractor
541,874How does water get from the ground to a tap?,"Oil is drilled from underground using a drill and pipe. Once extracted from the ground, the oil is transported by pipes to a refinery. At the refinery, the oil is refined to create fuel which can then be transported to a gas station. The fuel is then pumped into cars at the gas station, ready for use.","Water is pumped from underground using a pump. Once it is extracted from the ground, it is transported by a network of pipes to a treatment plant. At the treatment plant the water is treated to remove impurities and then sent to households through the pipes. The water is then available for use from the tap.",1,analogy
542,64How does the erosion of land surface create canyons?,"Ravines are formed by erosion. The process starts when running water erodes the soil and sediment accumulates. The sediment accumulates in the ravine and the ravine grows in size as more and more soil is eroded. Eventually, the ravine is formed by the erosion caused by the water."," Erosion of the land surface occurs. Following this, sediment accumulates in the valley, leading to its deepening over time. After the sediment has accumulated, water erodes the rock, wearing away the terrain and leading to the formation of a steep-sided valley. Eventually, a canyon is formed by the erosion of the land surface.",0,distractor
543,536How does a filtration system clean water?,"Blood is responsible for transporting waste away from cells and organs in the human body. This waste is then filtered by the liver and toxins are removed, before the kidneys excrete the waste from the body. In this way, blood plays an important role in removing waste from the human body."," A filtration system is used to clean water. The pump then excretes the pollutants that have been filtered out, leaving the water clean and safe to consume. After the water has been cleaned, it is transported through the system, and any contaminants or pollutants it may contain are filtered out. Finally, the filter is designed to remove any pollutants from the water, thus purifying it.",0,distractor
544,441How does an air conditioning system keep a room cool?,"When someone perspires, sweat is released from their body onto the surface of their skin. The evaporation of this sweat absorbs the heat from their skin, helping to keep the body cool. As the sweat evaporates, it takes the heat away from the body, which causes the body to cool down.","DNA replication is initiated by proteins.
The hydrogen bonds that hold together a strand of DNA are broken.
A polymerase reads each side of the strand.
Adds complimentary nucleotides.
Once all the bases are matched, the new DNA strand is formed.
DNA ligase seals the new pieces into two new strands.",0,random
545,51How does a metal alloy form?,"Minerals form when atoms bond together to form molecules. These molecules then form crystals which grow in a solid form. The pressure of the surrounding environment can squeeze and heat rocks, creating the perfect conditions for mineral formation.","Metal alloys are formed when elements bond together to form an amalgam. This is done by heating and squeezing the metals together. As a result, the grains of the metals grow together to form a single alloy. The heat and pressure cause the elements to mix and form the alloy.",1,analogy
546,1295How does a filtration system remove particles from air?,"In a desalination plant, saline water passes through a membrane. The membrane acts as a filter, separating the salt from the water. The salt-free water is then collected, while the brine that is rich in salt is discharged from the system.","Contaminated air passes through the filter where particles get separated from the air. The filter helps to capture the particles, allowing clean air to be discharged from the system. This process helps to remove particles from the air, leaving it clean and free from contaminants.",1,analogy
547,280How does a magnetic field generated by a solenoid works?,"An electromagnet works by creating a magnetic field when an electric current passes through it. The current is typically carried in a coil, and when it passes through the coil it creates a magnetic field. This magnetic field then attracts ferromagnetic material, such as iron or steel, to the electromagnet."," A solenoid is an electrical device that carries an electric current. It then generates a magnetic field. After the magnetic field is generated, electric current flows through the solenoid. The magnetic field then attracts ferromagnetic particles. Finally, the attracted particles cling to the solenoid due to the strong magnetic field.",0,distractor
548,1028Describe the process of using solar energy to heat a house.,The process of using oil to heat a house begins with a furnace that combusts oil to produce heat. The thermostat regulates the temperature of the house by signaling the furnace to turn on and off. The pipe then carries the heated air created by the furnace throughout the house. The heated air is then used to warm the house.,"Solar energy is a great way to heat a house. A solar panel is installed on the roof of the house and absorbs sunlight. The light is converted into heat energy by the solar panel and is then passed through a thermostat, which regulates the temperature of the house. The heated air is then sent through a duct to the various rooms of the house, providing a comfortable and energy efficient way to heat a home.",1,analogy
549,116How are rivers formed?,"Mountains are formed when tectonic plates collide, pushing the Earth's crust up and creating a mountain range. Over time, sediment accumulates on the mountains, adding to their height. The process of erosion then wears away at the mountains, slowly reducing their size.","Sediment becomes loose from the rest of the soil.
The sediment rolls down hill towards a river.
The heavy items sink to the bottom.
The lighter items float on the top and in convection cycles.
As the river flows the sediment is moved.
The sediment gets dumped through tributaries into lakes and the ocean.
The sediment keeps moving around the world in convection currents.",0,random
550,1310How do bees prepare for winter?,"Squirrels prepare for winter by gathering food to store. They collect acorns, nuts, and other items to store in their nests. The nests provide insulation and protection from the cold weather. Squirrels also try to build their nests in trees or sheltered locations to keep the food safe. Gathering food and building nests allows squirrels to survive through the winter season.","Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",0,random
551,1142Describe how water pollution can negatively affect fish,"Forest fires can have a serious negative impact on animals. When a forest fire occurs, it releases toxic gases into the air, which can be inhaled by animals causing respiratory distress. It also destroys habitats, displacing animals that depend on those habitats for survival. In addition, the fire reduces oxygen levels in the air, making it harder for animals to breathe. Thus, forest fires can have devastating consequences for animals.","Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",0,random
552,1046How do you use a washing machine?,"Using a dishwasher is an easy way to get your dishes clean. Start by adding detergent to the dishwasher, which will help to clean the dishes. Then, fill the dishwasher with water. Once the dishes are placed in the dishwasher, the machine will circulate the water to clean the dishes. Once the cleaning process is finished, the dishwasher will use heat to dry the dishes.","Using a washing machine is a fairly straightforward task. First, you need to add the appropriate amount of detergent to the washing machine, which will help to clean your clothes. Next, you need to fill the machine with the desired amount of water. Finally, run the washing machine cycle to wash and dry your clothes. The detergent will help to clean your clothes while the water fills the washing machine, and the machine itself will dry the clothes.",1,analogy
553,300Describe how viruses can cause infection.,"Bacteria can cause disease when they invade the organs of a living organism. Once inside, the bacteria release toxins that can damage the cells of the organism. Additionally, the bacteria can multiply rapidly, which can lead to more severe symptoms of the disease.","Warm air rises.
Then it expandes and cools.
Some of the vapor condenses onto tiny pieces of dust that are floating in the air.
Forms a tiny droplet around each dust particle.
Billions of these droplets come together they become a visible cloud.",0,random
554,441Describe how an air conditioner helps to keep a room cool.,"Perspiration helps to keep someone cool by evaporating sweat from the skin. This process absorbs heat from the body, which helps to cool it down. As the sweat evaporates, the skin is cooled and the body temperature is reduced."," The fins of the air conditioner help to dissipate the heat. Following this, the air conditioner evaporates moisture from the air. Then, the air conditioner absorbs the heat and releases it outside. Afterward, the condenser of the air conditioner is cooled. Finally, a cool temperature is maintained in the room.",0,distractor
555,116How are coral reefs formed?,"Mountains are formed over time as layers of sedimentary rocks accumulate. Tectonic forces push up the landforms, and erosion removes material from the surface over time. Eventually, the landforms become much higher than the surrounding areas and are called mountains."," Calcium carbonate accumulates from the skeletons of coral polyps to form the beginnings of coral reefs. The combination of these processes creates coral reefs that are found in shallow and warm water. After the formation of the reefs, wave action pushes up these calcium carbonate landforms. Finally, the process of bioerosion removes material.",0,distractor
556,1310Describe how bears hibernate.,"Squirrels prepare for winter by storing acorns and gathering food to last them through cold months. They also create nests in tree hollows or in the ground, which provide insulation and keep them warm. Acorns provide a good source of food for squirrels, and by storing them, they are able to ensure that they have enough food for the winter."," Bears store fat to prepare for hibernation. During fall, they collect food to accumulate enough fat for the winter. After collecting food, they build dens to provide shelter for the cold months. In spring, they emerge from their dens. After emerging, the fat is converted into energy allowing them to survive until the next spring.",0,distractor
557,229How do levees help stop flooding?,"Dams can help stop flooding by impeding the water flow. They do this by storing the water and blocking any water from flowing downstream. The water is then released slowly and gradually, helping to reduce the risk of flooding in downstream areas.","The gravity of the sun pulls its mass inward.
There is a lot of pressure on the Sun.
The pressure forces atoms of hydrogen to fuse together in nuclear reactions.
The energy from the reactions gives off different kinds of light.
The light travels to the Earth.",0,random
558,468Describe the process of water purification,"Desalination is the process of removing salt from saltwater. The saltwater is heated until it evaporates into vapor. The vapor is then cooled, causing condensation that produces freshwater. The brine, which contains all of the salt, is then removed from the water, leaving behind pure freshwater.","The process of water purification involves taking contaminated water and removing pollutants from it. The contaminated water is heated and evaporated, turning it into vapor. The vapor is then filtered, which produces clean water. The pollutants are removed from the water through a filtration process, resulting in purified water that is safe to drink.",1,analogy
559,923How does a photosynthesis process work?,"The lungs are responsible for the exchange of gases in the body. They take in oxygen from the air and release carbon dioxide. The oxygen from the air is absorbed into the bloodstream, while carbon dioxide is expelled from the body. The lungs are continually exchanging oxygen and carbon dioxide, which helps maintain a healthy balance in the body."," Chloroplasts in plants take in, and release, carbon dioxide and oxygen to complete the photosynthesis process. Then, the energy from light is used to convert carbon dioxide into glucose. During this process, oxygen is released into the atmosphere. Finally, carbon dioxide is taken in from the atmosphere.",0,distractor
560,846How does the lymphatic system remove waste from the human body?,"Blood carries toxins and waste throughout the body. The kidney then filters the blood and removes these toxins from the body. The liver also plays an important role in the process of waste removal. It detoxifies the blood, breaking down toxins and helping the body to eliminate them."," The lymphatic system carries away toxins from the body. Then, the spleen works to detoxify the lymph, removing bacteria or viruses. After the spleen has detoxified the lymph, it circulates through the body carrying the toxins away. Finally, the lymph nodes filter the lymph by removing unwanted particles.",0,distractor
561,874How does electricity get from a power plant to a home?,"Oil is extracted from an underground reservoir, usually through a process of drilling. The oil is then transported through a pipeline to its destination. Once it arrives, the oil is stored in a tank until it is ready to be sold at a gas station. The tank helps to maintain the oil's quality and keeps it at a consistent temperature until it is ready to be used."," Electricity is generated from a power plant. Immediately, the generated electricity is used to power appliances and lights in the home. After being used, the electricity is then stored in a battery. Finally, the stored electricity is transmitted through power lines to the desired location.",0,distractor
562,852How does a shipment of goods get from the factory to its destination?,"Coal is extracted from the ground through mining. It is then transported to a power station via truck. The power station receives the coal, which is then burned in order to generate electrical energy."," The goods are first loaded onto the truck. Then, the goods are transported from the factory. After leaving the factory, the truck carries the shipment to its destination. Finally, the destination receives the goods.",0,distractor
563,808How does a cooling system of a refrigerator work?,"Making ice cubes is a simple process. Water freezes when cooled and when the temperature decreases, ice cubes form when the water is frozen. The colder the water, the quicker it will freeze and the faster the ice cubes will form.","Adult rabbits mate.
The female becomes pregnant.
The female gives birth to rabbit babies.
The rabbit babies grow into adult rabbits.
The new adults mate with other rabbits.
Produce more rabbits.",0,random
564,675Describe the process of sedimentation,"Fossilization is the process by which organic material is buried in sediment. Over time, the soft tissues of the organic material decay, and the minerals in the sediment take the place of the organic material. As the minerals replace the organic material, fossils are formed.","There is a lot of rain or a dam breaks.
Water levels of a river or lake get higher.
Water builds up on the ground.
Water covers streets.
Water gets deep in some places.
Water goes into houses and other buildings.
The rain stops or the dam is repaired.
Water flows into streams.
The rest of the floodwater evaporates.",0,random
565,1183How does a filter system work?,"A water purifier is an effective way to remove impurities from water. It is typically composed of a sediment filter, a carbon filter and other components. The sediment filter is designed to trap and remove larger particles from the water, such as dirt and debris. The carbon filter then absorbs pollutants, chemicals, and other impurities. The result is clean, safe drinking water.","A filter system removes contaminants from the water. The filter contains a screen that traps debris, such as dirt and other particles, from the water. An adsorber is also present which absorbs toxins, such as chemicals and heavy metals, from the water. The filter system then passes the clean water to the output.",1,analogy
566,611How can a virus cause an infection?,"Bacteria can cause disease in many ways. They can produce toxins which can cause harm to the body. They can also invade cells and interfere with the normal functioning of the body. In some cases, the bacteria can cause diseases such as pneumonia, urinary tract infections, and food poisoning."," A virus is a microscopic organism which can produce antigens. This virus can cause illnesses such as the common cold, flu, or more serious infections. These antigens can then trigger an immune response in the body, resulting in an infection. Finally, the virus can invade cells, causing them to replicate and spread the infection.",0,distractor
567,300Describe how viruses can cause infection.,"Bacteria are microscopic organisms that can invade cells and cause disease. Bacteria can produce toxins that can damage cells and cause inflammation. Once inside a cell, bacteria can replicate rapidly, leading to the spread of infection."," Viruses replicate rapidly. Following replication, they invade and damage cells. After damaging the cells, viruses produce proteins inside the cell. Finally, the replication of the virus leads to an infection.",0,distractor
568,475How does the greenhouse effect work?,"Global warming is caused by the process of trapping heat from sunlight that radiates onto the Earth's surface. Greenhouse gases such as water vapor, carbon dioxide and methane act like a blanket, trapping the heat in the atmosphere and preventing it from escaping into space. This increase in the atmospheric temperature causes the average global temperature to rise, resulting in climate change.","Choose what you want to write your letter on.
Think of what you want to say.
Write some nice things!.
Place the letter into an envelope.
Put a stamp on the top right corner of the face of the envelope.
Write the address of the recipient on the envelope.
Put the envelope in your mailbox.
Raise the flag on your mailbox, indicating to the mailman that you have outgoing mail.",0,random
569,1127Describe the process by which tornadoes form.,"Hurricanes are formed by a sequence of events beginning with warm air rising into the atmosphere. As the warm air rises, it cools and becomes more humid, causing water to condense in the atmosphere. This condensation causes cumulonimbus clouds to form, leading to the creation of a thunderstorm. The thunderstorm and the low-pressure created by the warm air rising drives the wind, creating a hurricane.","Tornadoes are formed by the interaction between warm and humid air. When warm air rises, it creates an area of low pressure. The warm air then condenses the atmosphere which adds moisture to the air. This forms a supercell which is a rotating thunderstorm. The low-pressure created by the warm air drives the wind creating a tornado.",1,analogy
570,1028Describe the process of using solar energy to heat a house.,"Oil is burned in an oil furnace to generate heat. This heat is then pumped through ducts throughout the house, where it is dispersed by vents. The furnace is regulated by a thermostat, which monitors the temperature of the house and adjusts the flow of heated air accordingly. The burning of the oil produces heat, which is then regulated by the thermostat to maintain a comfortable temperature in the home.","Solar energy is used to heat a house by absorbing heat from the sun. A solar panel is installed on the roof which absorbs this energy and converts it into heated air. The heated air is then circulated throughout the house via a fan. A solar controller is used to regulate the temperature in the house, ensuring it is not too hot or cold.",1,analogy
571,1183How does a water filtration system work?,"A water purifier works by using a filter to remove impurities from water. Charcoal is often used to absorb contaminants, while sediment can be used to trap particles. The filter will then remove any remaining particles, ensuring the water is purified.","Open the Dishwasher.
Slide out the bottom rack.
Take a dirty plate.
Rinse the plate.
Place the dish in the rack.
Repeat leaving enough space for water to reach all items.
Fill the soap cup.
Turn on the dishwasher.",0,random
572,1195How does a cheetah hunt for its prey?,An eagle is an amazing hunter with exceptional vision. The eagle sights its prey from a high altitude and then dives down to capture it. The eagle then uses its powerful claws and beak to capture the prey and bring it back to its nest. The eagle's ability to identify and capture its prey is remarkable and shows just how powerful its sight is.,"When hunting, a cheetah will first sight its prey from a distance. It then sprints towards the prey, typically reaching speeds of up to 70 mph. Once close enough, the cheetah will grab the prey in its powerful jaws and take it down.",1,analogy
573,466Describe the process of filtration,"The process of desalination involves heating saltwater in order to produce vapor. This vapor is then condensed to form pure water, while the salt crystals are filtered out of the solution. The vapor is condensed into a liquid form, and the salt crystals are removed, leaving behind pure water.","There is a lot of rain or a dam breaks.
Water levels of a river or lake get higher.
Water builds up on the ground.
Water covers streets.
Water gets deep in some places.
Water goes into houses and other buildings.
The rain stops or the dam is repaired.
Water flows into streams.
The rest of the floodwater evaporates.",0,random
574,666How does the filtration of water works?,"Desalination is the process of removing salt from water. This is achieved by separating the salt from the water, usually through the process of osmosis. Osmosis is a process that uses pressure to reduce the salt content in the water. The water is then passed through a reverse osmosis filter, which filters out the salt and other impurities, leaving clean water."," Filtration is a process used to separate contaminants from water. The water is then passed through a filter, trapping impurities in the filter and leaving the filtered water with a lower impurity content. After the water has been filtered, the process of adsorption helps to reduce the impurity content of the water by attracting and binding contaminants to a medium, such as a filter. Finally, the filtration process filters out unwanted particles, leaving clean and safe water.",0,distractor
575,1265How does a bee construct a hive?,"A bird builds a nest by collecting twigs from its surroundings. It then uses these twigs to line the nest and weave it together. Through this process, the bird is able to create a sturdy place to lay its eggs and rest. The twigs provide stability and insulation for the nest, allowing the bird to keep its eggs safe and warm."," A bee starts by lining the hive with wax, forming a structure. After forming the structure, the bee then goes out to collect wax from flowers. The bee then transports the collected wax back to the hive. Finally, the bee weaves the wax together to create the walls and hexagonal cells of the hive.",0,distractor
576,641Describe the growth and development of a butterfly,"A frog's life cycle begins when a female frog lays eggs in water. The eggs then hatch into tadpoles, which are small, fish-like creatures with a tail and gills. As the tadpole matures, it develops legs and lungs and eventually turns into a frog. The frog then lays eggs which start the life cycle over again.","The growth and development of a butterfly begins when a caterpillar hatches from an egg. It then goes through several moults before it forms a chrysalis. Inside the chrysalis, the caterpillar matures into a butterfly. Once it emerges from the chrysalis, the butterfly is ready to fly and lay eggs, completing the cycle of growth and development.",1,analogy
577,619Describe how carbon dioxide is transported in the body,"Our lungs absorb oxygen from the air we breathe. This oxygen is then carried by hemoglobin molecules in our blood. The capillaries then transport this oxygen to the cells in our body, allowing them to function properly.","The body exhales carbon dioxide from the lungs and this gas is then carried by hemoglobin, which circulates through the blood. The hemoglobin then delivers the carbon dioxide to the capillaries, where it is released into the tissues and organs. The carbon dioxide is then transported to the lungs, where the cycle starts again.",1,analogy
578,443How do robots pollinate plants?,"Bees collect nectar from flowers and transfer the pollen to other flowers while they are doing so. This process is known as pollination, and it helps the flowers to reproduce. As the bees move from flower to flower, they are effectively transferring pollen and helping to facilitate the pollination of plants."," Robots are designed to collect pollen from flowers. Then, the pollen is delivered to the correct location. After delivering the pollen, the robots identify the flowers in need of pollination. Following the identification, the process of transferring the pollen from one flower to another takes place. Finally, the plants are successfully pollinated.",0,distractor
579,1078Describe the process of cell division.,"DNA replication is the process of creating two identical copies of DNA strands. The two strands of the double helix separate, allowing for the nucleotides to replicate each strand. The copying process is catalyzed by DNA polymerase, which binds to the DNA strands and replicates the nucleotides. Once the strands are replicated, they are then joined together to form two identical copies of the original DNA."," Two identical daughter cells are formed, each containing the same genetic material as the parent cell. Following this, a single cell begins to divide. Then, the chromosomes in the nucleus separate and replicate. Finally, the replicated chromosomes are pulled apart by microtubules, catalyzing the mitotic process.",0,distractor
580,1005How does a device for cooling water works?,"Making ice cubes is a fairly easy process. You will need an ice tray and a freezer. The freezer cools the water, which causes the temperature of the water to decrease. The ice trays then help to freeze the water into cubes. Once the water is frozen, the ice cubes can be removed from the tray and used as desired.","A cooling device is used to cool water. The device consists of several cooling coils that are used to freeze the water. The water is passed through the coils, and as a result, the temperature of the water decreases. The cooled water is then circulated through the cooling device, which helps to keep the water at a lower temperature.",1,analogy
581,64How do canyons form?,"Ravines are formed through a combination of erosion and flooding. Erosion deepens the ravine, while flooding can widen it. Over time, sediment accumulates in the ravine, which further increases its depth and width.","The formation of canyons is a result of erosion from water, wind, and ice. The erosion deepens the canyon, allowing water to flow and widen it. In addition, flooding can carry sediment, which accumulates in the canyon and adds to its size. Over time, this combination of erosion, flooding, and sediment accumulation forms the majestic canyons we see today.",1,analogy
582,76How does a glacier form?,"Sedimentary rock is formed over time as sediments accumulate. These sediments are compacted into layers and gradually harden into rock. The sediments have been deposited by wind, water, and other geological processes, and then compressed and cemented together over time. This compaction and cementation of sediments is what forms sedimentary rock.","Humans are born as babies.
Babies become infants.
Infants become children.
Children learn skills.
Children become teenagers.
Teenagers undergo puberty.
Teenagers become adults.
Adults have children.
Adults become elderly.
Elderly humans die.",0,random
583,381How does a computer virus infect a computer?,"A virus is able to infect an animal when it enters the animal cell. Once inside the cell, the virus replicates its genetic material, which can cause diseases. The virus uses the resources of the cell to replicate itself, thus causing diseases in the animal.","Water from a lake or ocean evaporates.
The water vapor enters the atmosphere.
The water vapor accumulates.
The vapor becomes clouds.
The clouds become too heaavy.
Precipitation occurs.",0,random
584,1295How does a water filtration system purify water?,"Salt dissolves in water, making it difficult to remove. Desalination is the process of removing salt from seawater or brackish water. In a desalination plant, the water is filtered through a membrane which allows water molecules to pass through and leave the salt behind. This process creates a brine solution which is then discarded, removing the salt from the water.","A water filtration system purifies water by removing contaminants that have dissolved in the water. The filtration process removes the contaminants, leaving behind a filtered water called the filtrate. The filtrate is created by the filtration process, and it is free of contaminants.",1,analogy
585,20How is dust transported in the atmosphere?,"Gravity is the primary force responsible for carrying sediment across the Earth. Streams and rivers erode rocks and carry sediment downstream. Floods also transport sediment, and they tend to deposit it in large amounts in certain areas."," Cyclones occur, picking up dust from the ground and depositing it in other places. Following the cyclones, storms occur, eroding the soil and causing dust to be picked up by the wind. After the storms, winds blow, carrying dust from one place to another.",0,distractor
586,64How does the erosion of land surface create canyons?,"Ravines are formed by erosion. The process starts when running water erodes the soil and sediment accumulates. The sediment accumulates in the ravine and the ravine grows in size as more and more soil is eroded. Eventually, the ravine is formed by the erosion caused by the water.","The dna strand of a cell decides to replicate.
Chemicals in the strand break up the helix.
The helix is split into two.
The helix forms as the basis of a new dna strand.
The cell replicates.",0,random
587,1060How does a washing machine work?,"When a dishwasher is turned on, water flows from the water line into the dishwasher compartment. The water is then mixed with the detergent, which helps dissolve the soil particles on the dishes. The spray arms then rotate and spray the water and detergent mixture onto the dishes, cleaning them."," The washing machine works by allowing water to flow into the drum. Then, the agitator rotates the clothes to help remove any stubborn dirt particles. After the agitation, the detergent is added to dissolve and lift dirt particles from the clothes. The detergent also helps to break down the dirt particles so that they can be washed away. Finally, the rotation of the agitator helps to further break down dirt particles, allowing them to be washed away with the water.",0,distractor
588,369How does a mechanical system of water pump works?,"Plants obtain and use water mainly through their roots. The roots absorb water from the soil and use it to make sap. The sap is transported up the plant through the xylem. At the same time, moisture is released from the stomata of the leaves, which helps to evaporate the water through transpiration."," A pipe transports the liquid to the pump. Then, the water is absorbed by the pump. After that, the pump evaporates the water at a higher pressure and temperature. Following this, the pump releases the water through a valve. Finally, the evaporated water is then released back into the system.",0,distractor
589,433How do you grow crops?,"To grow vegetables, the first step is to plant the seeds in the soil. The soil should also be fertilized with nutrients to ensure the plants get the required nourishment. The plants need energy to grow, and this energy is provided by the sunlight. Finally, water should be added to the soil to nourish the plants and help them reach maturity.","Coal is burned in a boiler.
Steam is produced under pressure.
Flows into a turbine.
The turbine spins.
Creates electricity.",0,random
590,742How do dolphins use sonar?,"Bats use echolocation to navigate and find food in the dark. They emit sound waves and then listen for the echoes that bounce off nearby objects. By interpreting the echoes, bats can determine the size, distance, and direction of the object. This ability allows them to quickly find food and other resources even in complete darkness."," Dolphins first listen for the echoes that bounce off of objects in their environment. After listening, they emit sound waves into the water. By interpreting the echoes, dolphins are able to determine the size, shape and distance of objects.",0,distractor
591,1293Describe the typical steps in making tea.,"Making coffee typically involves steeping the coffee in water. The coffee beans are then grinded into a fine powder. The coffee powder is then added to the liquid, usually hot water, and allowed to dissolve. The result is a delicious cup of coffee.","Greenhouse gases are released into the air by human activities.
The earth changes energy from the sun into heat.
Heat rises from the ground.
Greenhouse gas molecules in the atmosphere prevent the heat from going into space.
The temperature of the earth increases.
The temperature continues to rise and melts the polar ice caps.
The temperature rises even faster.",0,random
592,1099How does a vaccine induce an immune response?,"Vaccinations work by introducing a weakened virus into the body. This triggers the body's immune system to produce antibodies and stimulates the production of T cells. The virus also activates B cells, which help to fight the virus and create more antibodies. The antibodies created by the body help to protect against future infection by the same virus.","The animal eats large quantities of food that will be stored as fat.
Winter comes and the animal finds a place to hibernate.
Over a period of days, the animal's heart rate and breathing rate drop slowly.
Electrical activity in the brain almost ceases completely, though some areas remain active.
The animal has entered hibernation mode.",0,random
593,879How does a cloud form?,"Rain occurs when water is transformed from liquid to gas through evaporation. The water vapor then rises into the atmosphere and cools due to low temperatures. This causes the water vapor to condense and form water droplets that collect in clouds. When the clouds become full of water droplets, they eventually release the water in the form of rain.","Clouds form when air rises and cools down. When this happens, the condensation process transforms water from gas to liquid. As the air continues to rise, high temperatures cause the water vapor to evaporate and form tiny water droplets. These droplets then increase in size and become raindrops that fall from the clouds, ultimately forming rain.",1,analogy
594,565How does a diesel engine work?,"A steam engine works by producing steam in the boiler. This steam is then directed into a cylinder, where it pushes a piston up and down, creating a mechanical motion. A valve regulates the flow of steam into the cylinder, allowing the operator to control the motion of the piston.","A diesel engine works by using pressure created by the combustion of fuel within a combustion chamber. The hot air produced by the combustion pushes the piston up and down in the cylinder. The valve then regulates the flow of fuel, controlling the timing of the piston's movement and the overall speed of the engine.",1,analogy
595,619How do nutrients reach cells in the body?,"Oxygen is inhaled through the nose and absorbed in the lungs. The oxygen is then transported by red blood cells to the cells in the body. The red blood cells carry the oxygen to the cells, thus providing the necessary oxygen for the cells to function."," Nutrients are ingested through the mouth. Immediately after ingestion, white blood cells carry these nutrients throughout the body. Subsequently, the nutrients are transported through the digestive system. Following this, the nutrients are absorbed in the intestines. Finally, the nutrients provide vital energy and support the body's functions.",0,distractor
596,949How does the hydrological cycle work?,"During the water cycle, rain falls from the atmosphere to the earth. The water then collects in rivers, lakes, and oceans. The sun's heat causes the water to evaporate from the surface and form clouds. The clouds move through the atmosphere and eventually the water condenses and falls to the earth as rain."," The hydrological cycle begins with the clouds becoming saturated. Following this, water from the surface of the earth is evaporated. Once the water vapor reaches the atmosphere it condenses and collects in clouds. The clouds eventually become saturated again and the water droplets precipitate, or fall down from the atmosphere, back to the earth's surface.",0,distractor
597,536How does a filtration system clean water?,"Blood is responsible for transporting waste away from cells and organs in the human body. This waste is then filtered by the liver and toxins are removed, before the kidneys excrete the waste from the body. In this way, blood plays an important role in removing waste from the human body.","A filtration system is used to clean water. Water is transported through the system, and any contaminants or pollutants it may contain are filtered out. The filter is designed to remove any pollutants from the water, thus purifying it. The pump then excretes the pollutants that have been filtered out, leaving the water clean and safe to consume.",1,analogy
598,1142Describe how human activities can negatively impact the environment,"Forest fires can have a devastating impact on animals. The flames from the fire can destroy the habitat of animals, reducing the available resources they need to survive. Additionally, the smoke from the forest fire can pollute the air quality, making it harder for animals to breathe."," Human activities occur which can negatively impact the environment. As a result, plants and animals may struggle to survive. These activities can then destroy habitats and reduce available resources. Furthermore, human activities can cause air pollution. The air quality is then detrimentally affected.",0,distractor
599,232How does ultrasound imaging work?,"Echolocation is a biological sonar system that sends out sound waves to detect objects. The sound waves are sent out and when they bounce off objects, they create echoes that echolocation can detect. By calculating the time it takes for the sound waves to return as echoes, echolocation can accurately determine the distance of the object."," An image is created using the information from the sound waves and echoes. After the image is created, sound waves are sent out which travel through the body and bounce off the organs and other structures. Then, the echoes are detected by the ultrasound imaging. Finally, the size and shape of the organs and other structures are calculated using the information from the sound waves and echoes.",0,distractor
600,834How does bacteria infect a plant?,"When a virus enters an animal, it attaches itself to a host cell. Once the virus has attached itself to the cell, it begins to replicate its genetic material. This replication process causes the virus to multiply, and can ultimately lead to the development of a disease in the animal.","Warm air rises.
Then it expandes and cools.
Some of the vapor condenses onto tiny pieces of dust that are floating in the air.
Forms a tiny droplet around each dust particle.
Billions of these droplets come together they become a visible cloud.",0,random
601,879How does fog form?,"Rain is a result of the water cycle.  Sunlight causes water to evaporate, forming water vapor in the atmosphere.  The warm air rises and eventually cools, causing the water vapor to condense and form clouds.  Once the clouds become heavy and full of water, the rain begins to fall."," Water droplets in the atmosphere condense into fog. As the cool air rises, it cools and the water vapor condenses, forming fog. After the fog has formed, cool temperatures cause water vapor to evaporate and rise through the atmosphere.",0,distractor
602,556How does an automated insulin delivery system work?,"The pancreas produces insulin which is responsible for controlling the body's blood sugar level. The glucose sensor monitors the levels of glucose in the blood, and sends signals to the pancreas accordingly. The insulin then works to regulate the sugar level in the body, either by stimulating the uptake of glucose from the blood into cells, or by reducing the amount of glucose that is produced in the body."," The automated insulin delivery system is introduced as a machine that produces insulin. If the glucose levels become too high, the machine automatically produces the appropriate amount of insulin. After the insulin is produced, the system is used to manage diabetes, monitoring the blood glucose levels with a glucose meter.",0,distractor
603,423How do drugs get from the manufacturer to pharmacies?,"The process of extracting coal starts with miners who take it out of the ground. The miners use specialist tools to extract the coal, which is then loaded onto trucks. The trucks transport the coal to a power station, where it is used to generate electricity."," Pharmaceutical companies extract drugs and package them for distribution. Immediately, the stored drugs are used to fulfill prescriptions and treat patients. After the drugs have been used, trucks transport the packaged drugs to pharmacies. Finally, the drugs arrive at the pharmacies and are logged and stored.",0,distractor
